Variable:,tas
,"Sri Lanka",Central,Eastern,"North Central","North Western",Northern,Sabaragamuwa,Southern,Uva,Western
2015,27.38,27.40,26.18,27.84,27.43,28.39,27.25,27.20,26.48,27.25
2016,27.49,27.49,26.30,27.99,27.53,28.52,27.29,27.23,26.55,27.30
2017,27.56,27.58,26.40,28.03,27.59,28.55,27.38,27.31,26.64,27.38
2018,27.60,27.63,26.42,28.09,27.66,28.64,27.43,27.36,26.68,27.44
2019,27.54,27.57,26.36,28.02,27.60,28.52,27.40,27.34,26.65,27.41
2020,27.56,27.63,26.39,28.05,27.64,28.58,27.41,27.33,26.65,27.40
2021,27.59,27.66,26.42,28.07,27.66,28.57,27.46,27.39,26.71,27.45
2022,27.69,27.71,26.53,28.18,27.74,28.70,27.52,27.44,26.77,27.52
2023,27.65,27.72,26.47,28.14,27.75,28.67,27.53,27.45,26.75,27.53
2024,27.74,27.80,26.57,28.21,27.82,28.72,27.63,27.57,26.87,27.64
2025,27.65,27.70,26.47,28.12,27.71,28.65,27.50,27.43,26.74,27.50
2026,27.72,27.77,26.53,28.22,27.80,28.74,27.58,27.50,26.81,27.57
2027,27.73,27.72,26.53,28.21,27.78,28.80,27.53,27.46,26.77,27.55
2028,27.71,27.73,26.56,28.17,27.75,28.70,27.55,27.48,26.80,27.54
2029,27.80,27.88,26.61,28.27,27.90,28.82,27.67,27.60,26.90,27.68
2030,27.74,27.79,26.57,28.24,27.82,28.75,27.59,27.52,26.83,27.59
2031,27.79,27.82,26.60,28.25,27.86,28.81,27.60,27.52,26.86,27.61
2032,27.85,27.90,26.72,28.30,27.90,28.79,27.71,27.64,26.97,27.70
2033,27.91,27.96,26.73,28.39,27.99,28.91,27.77,27.71,27.02,27.78
2034,27.85,27.89,26.66,28.34,27.91,28.87,27.69,27.62,26.93,27.70
2035,27.81,27.87,26.64,28.29,27.91,28.81,27.69,27.63,26.94,27.70
2036,27.92,27.96,26.71,28.41,28.00,28.96,27.76,27.67,26.97,27.77
2037,28.02,28.05,26.83,28.52,28.09,29.06,27.87,27.81,27.11,27.88
2038,28.02,28.10,26.83,28.48,28.13,29.02,27.90,27.84,27.13,27.92
2039,28.11,28.17,26.93,28.61,28.20,29.11,27.95,27.87,27.19,27.95
2040,27.98,28.00,26.78,28.50,28.02,29.02,27.80,27.74,27.05,27.80
2041,28.04,28.09,26.88,28.51,28.09,29.04,27.84,27.75,27.10,27.83
2042,28.15,28.17,27.01,28.62,28.19,29.13,27.99,27.92,27.26,27.98
2043,28.15,28.19,26.99,28.63,28.21,29.16,27.96,27.88,27.23,27.95
2044,28.06,28.10,26.92,28.55,28.13,29.02,27.92,27.86,27.18,27.93
2045,28.17,28.21,27.00,28.68,28.23,29.19,27.97,27.89,27.23,27.97
2046,28.16,28.21,26.99,28.66,28.21,29.16,28.01,27.93,27.23,28.00
2047,28.20,28.24,27.04,28.70,28.26,29.21,28.05,27.98,27.29,28.05
2048,28.21,28.32,27.01,28.68,28.34,29.23,28.16,28.08,27.32,28.17
2049,28.32,28.35,27.16,28.80,28.38,29.32,28.18,28.12,27.44,28.19
2050,28.21,28.23,27.06,28.69,28.26,29.20,28.07,28.02,27.34,28.08
2051,28.21,28.27,27.02,28.71,28.28,29.20,28.05,27.97,27.29,28.04
2052,28.32,28.42,27.14,28.84,28.44,29.34,28.23,28.15,27.43,28.24
2053,28.36,28.36,27.19,28.82,28.37,29.36,28.18,28.10,27.42,28.17
2054,28.31,28.40,27.16,28.77,28.39,29.25,28.17,28.08,27.41,28.17
2055,28.40,28.45,27.21,28.91,28.48,29.41,28.26,28.18,27.48,28.26
2056,28.35,28.38,27.20,28.84,28.42,29.36,28.19,28.12,27.45,28.20
2057,28.52,28.58,27.36,29.05,28.60,29.51,28.38,28.30,27.63,28.37
2058,28.42,28.48,27.24,28.90,28.48,29.38,28.32,28.26,27.54,28.31
2059,28.44,28.53,27.23,28.94,28.57,29.47,28.30,28.20,27.49,28.32
2060,28.67,28.74,27.52,29.14,28.74,29.69,28.52,28.43,27.77,28.51
2061,28.40,28.48,27.25,28.83,28.47,29.33,28.28,28.21,27.52,28.28
2062,28.41,28.41,27.22,28.89,28.45,29.43,28.25,28.18,27.47,28.27
2063,28.61,28.64,27.38,29.09,28.69,29.68,28.45,28.37,27.65,28.46
2064,28.52,28.64,27.31,29.04,28.67,29.56,28.42,28.34,27.61,28.44
2065,28.58,28.68,27.36,29.12,28.72,29.67,28.46,28.36,27.63,28.46
2066,28.61,28.68,27.43,29.08,28.70,29.57,28.51,28.43,27.72,28.50
2067,28.57,28.57,27.37,29.08,28.63,29.63,28.37,28.30,27.61,28.39
2068,28.72,28.79,27.55,29.24,28.81,29.72,28.56,28.45,27.76,28.56
2069,28.65,28.81,27.42,29.16,28.78,29.66,28.59,28.51,27.77,28.57
2070,28.55,28.62,27.35,29.03,28.65,29.55,28.42,28.36,27.65,28.44
2071,28.65,28.77,27.47,29.13,28.77,29.64,28.56,28.46,27.75,28.56
2072,28.70,28.72,27.50,29.18,28.74,29.77,28.53,28.46,27.77,28.52
2073,28.85,28.90,27.65,29.39,28.91,29.94,28.65,28.56,27.89,28.63
2074,28.62,28.68,27.45,29.11,28.73,29.65,28.53,28.46,27.74,28.54
2075,28.59,28.65,27.39,29.07,28.67,29.60,28.50,28.46,27.74,28.51
2076,28.72,28.78,27.53,29.21,28.80,29.74,28.57,28.49,27.78,28.57
2077,28.89,28.91,27.72,29.39,28.95,29.93,28.70,28.64,27.98,28.71
2078,28.62,28.71,27.43,29.12,28.72,29.63,28.54,28.46,27.73,28.54
2079,28.81,28.86,27.64,29.32,28.88,29.83,28.64,28.55,27.87,28.64
2080,28.87,28.89,27.66,29.39,28.95,30.01,28.72,28.65,27.93,28.74
2081,28.96,29.07,27.75,29.48,29.09,29.98,28.85,28.77,28.05,28.86
2082,28.70,28.79,27.51,29.19,28.83,29.72,28.60,28.53,27.81,28.63
2083,28.86,28.89,27.64,29.36,28.91,29.92,28.70,28.64,27.92,28.70
2084,28.89,29.00,27.71,29.39,29.01,29.88,28.78,28.69,27.99,28.78
2085,28.81,28.92,27.63,29.30,28.94,29.81,28.71,28.63,27.92,28.71
2086,28.90,28.93,27.74,29.41,28.97,29.94,28.73,28.65,27.97,28.74
2087,28.87,28.98,27.65,29.41,29.03,29.97,28.78,28.69,27.95,28.79
2088,28.75,28.79,27.56,29.22,28.82,29.82,28.63,28.56,27.86,28.64
2089,28.89,28.96,27.70,29.42,29.00,29.93,28.80,28.74,28.03,28.79
2090,28.91,28.94,27.71,29.44,29.00,29.98,28.73,28.65,27.94,28.75
2091,28.86,28.90,27.65,29.38,28.92,29.85,28.69,28.62,27.90,28.68
2092,28.90,28.92,27.72,29.36,28.96,29.94,28.77,28.72,28.01,28.78
2093,28.85,28.97,27.64,29.32,28.99,29.87,28.78,28.70,27.96,28.78
2094,29.02,29.09,27.75,29.54,29.11,30.10,28.86,28.76,28.02,28.85
2095,28.97,29.00,27.77,29.47,29.05,30.07,28.80,28.75,28.06,28.81
2096,29.05,29.05,27.81,29.56,29.09,30.11,28.84,28.77,28.06,28.85
2097,28.86,29.00,27.66,29.34,29.02,29.85,28.86,28.80,28.03,28.87
2098,28.90,29.02,27.70,29.44,29.04,29.93,28.78,28.71,28.03,28.78
2099,28.99,29.17,27.68,29.54,29.22,30.16,28.97,28.88,28.07,28.99
2100,29.00,29.14,27.78,29.49,29.13,30.01,28.96,28.89,28.13,28.94
