Variable:,tas
,"Republic of Montenegro",Andrijevica,Bar,Berane,"Bijelo Polje",Budva,Cetinje,Danilovgrad,"Herceg Novi",Kolasin,Kotor,Mojkovac,Niksic,Plav,Pljevlja,Pluzine,Podgorica,Rozaj,Savnik,Tivat,Ulcinj,Zabljak
2015,9.93,15.64,15.87,14.63,10.11,17.56,17.36,15.87,17.56,15.64,17.56,12.95,16.86,14.64,8.53,13.36,15.67,10.89,12.92,17.56,16.88,8.50
2016,9.68,15.40,15.63,14.39,9.90,17.37,17.16,15.64,17.37,15.40,17.37,12.72,16.66,14.40,8.33,13.16,15.43,10.64,12.70,17.37,16.61,8.30
2017,9.75,15.36,15.59,14.35,9.90,17.28,17.08,15.59,17.28,15.36,17.28,12.70,16.58,14.36,8.34,13.08,15.39,10.62,12.67,17.28,16.64,8.31
2018,9.84,15.46,15.69,14.43,10.02,17.39,17.18,15.69,17.39,15.46,17.39,12.81,16.69,14.44,8.47,13.22,15.49,10.60,12.79,17.39,16.70,8.44
2019,9.99,15.66,15.88,14.64,10.19,17.53,17.33,15.88,17.53,15.66,17.53,12.99,16.84,14.65,8.62,13.38,15.69,10.88,12.96,17.53,16.86,8.59
2020,10.04,15.64,15.86,14.64,10.22,17.46,17.27,15.86,17.46,15.64,17.46,13.00,16.79,14.65,8.67,13.44,15.67,10.96,12.98,17.46,16.78,8.64
2021,9.99,15.65,15.88,14.65,10.16,17.54,17.34,15.88,17.54,15.65,17.54,12.97,16.85,14.66,8.59,13.38,15.68,10.95,12.95,17.54,16.83,8.56
2022,10.45,16.11,16.33,15.09,10.65,18.00,17.80,16.34,18.00,16.11,18.00,13.45,17.31,15.10,9.09,13.88,16.14,11.30,13.43,18.00,17.28,9.06
2023,9.99,15.66,15.90,14.65,10.19,17.65,17.44,15.90,17.65,15.66,17.65,13.00,16.93,14.66,8.63,13.38,15.69,10.91,12.97,17.65,16.86,8.60
2024,10.26,15.96,16.18,14.93,10.43,17.77,17.58,16.18,17.77,15.96,17.77,13.27,17.10,14.94,8.85,13.67,15.99,11.13,13.24,17.77,17.09,8.82
2025,10.33,15.97,16.20,14.96,10.51,17.86,17.66,16.20,17.86,15.97,17.86,13.31,17.18,14.97,8.95,13.79,16.00,11.22,13.29,17.86,17.18,8.92
2026,10.40,16.13,16.35,15.11,10.60,17.97,17.77,16.35,17.97,16.13,17.97,13.43,17.29,15.12,9.01,13.86,16.16,11.33,13.41,17.97,17.33,8.98
2027,10.27,15.89,16.12,14.89,10.46,17.78,17.58,16.12,17.78,15.89,17.78,13.24,17.09,14.90,8.90,13.68,15.92,11.20,13.22,17.78,17.06,8.87
2028,10.52,16.18,16.40,15.16,10.71,18.06,17.86,16.41,18.06,16.18,18.06,13.52,17.37,15.17,9.15,13.91,16.21,11.38,13.49,18.06,17.33,9.12
2029,10.46,16.12,16.35,15.10,10.66,18.03,17.83,16.35,18.03,16.12,18.03,13.46,17.34,15.11,9.10,13.90,16.15,11.31,13.44,18.03,17.34,9.07
2030,10.36,16.08,16.31,15.05,10.56,18.01,17.80,16.31,18.01,16.08,18.01,13.39,17.31,15.06,8.98,13.82,16.11,11.25,13.37,18.01,17.22,8.95
2031,10.52,16.12,16.35,15.11,10.73,18.03,17.83,16.35,18.03,16.12,18.03,13.49,17.34,15.12,9.19,13.90,16.15,11.35,13.47,18.03,17.32,9.16
2032,10.72,16.23,16.45,15.23,10.89,18.07,17.87,16.45,18.07,16.23,18.07,13.63,17.40,15.24,9.37,14.02,16.26,11.53,13.60,18.07,17.42,9.34
2033,10.46,16.13,16.36,15.11,10.64,18.03,17.83,16.36,18.03,16.13,18.03,13.45,17.33,15.12,9.07,13.78,16.16,11.34,13.42,18.03,17.33,9.04
2034,10.55,16.22,16.44,15.22,10.76,18.10,17.90,16.45,18.10,16.22,18.10,13.56,17.42,15.23,9.20,13.99,16.25,11.51,13.54,18.10,17.42,9.17
2035,10.66,16.27,16.49,15.27,10.82,18.13,17.93,16.49,18.13,16.27,18.13,13.61,17.45,15.28,9.26,14.06,16.30,11.59,13.59,18.13,17.44,9.23
2036,10.70,16.37,16.59,15.36,10.88,18.25,18.05,16.60,18.25,16.37,18.25,13.69,17.57,15.37,9.32,14.18,16.40,11.62,13.68,18.25,17.52,9.28
2037,10.74,16.34,16.57,15.33,10.92,18.25,18.05,16.57,18.25,16.34,18.25,13.70,17.56,15.34,9.37,14.18,16.37,11.58,13.68,18.25,17.49,9.34
2038,10.80,16.46,16.68,15.45,10.99,18.29,18.10,16.68,18.29,16.46,18.29,13.79,17.61,15.46,9.42,14.14,16.49,11.69,13.76,18.29,17.63,9.39
2039,10.77,16.38,16.60,15.37,10.96,18.26,18.06,16.61,18.26,16.38,18.26,13.74,17.57,15.38,9.41,14.13,16.41,11.62,13.71,18.26,17.58,9.38
2040,10.79,16.41,16.63,15.42,10.97,18.24,18.05,16.63,18.24,16.41,18.24,13.76,17.56,15.43,9.42,14.12,16.44,11.76,13.73,18.24,17.52,9.39
2041,10.58,16.16,16.39,15.14,10.75,18.11,17.90,16.39,18.11,16.16,18.11,13.52,17.41,15.15,9.20,14.00,16.19,11.37,13.50,18.11,17.36,9.17
2042,10.65,16.32,16.54,15.31,10.85,18.19,17.99,16.54,18.19,16.32,18.19,13.65,17.50,15.32,9.28,14.03,16.35,11.59,13.62,18.19,17.52,9.25
2043,10.93,16.56,16.77,15.57,11.15,18.31,18.12,16.77,18.31,16.56,18.31,13.92,17.65,15.58,9.60,14.24,16.58,11.89,13.89,18.31,17.69,9.57
2044,10.76,16.34,16.58,15.33,10.95,18.32,18.11,16.58,18.32,16.34,18.32,13.71,17.61,15.34,9.41,14.09,16.37,11.61,13.69,18.32,17.57,9.38
2045,11.00,16.70,16.91,15.69,11.19,18.49,18.30,16.92,18.49,16.70,18.49,14.01,17.82,15.70,9.61,14.34,16.72,11.95,13.98,18.49,17.85,9.58
2046,10.92,16.52,16.73,15.53,11.08,18.32,18.13,16.74,18.32,16.52,18.32,13.87,17.66,15.54,9.52,14.30,16.55,11.86,13.84,18.32,17.63,9.49
2047,11.07,16.60,16.82,15.62,11.25,18.47,18.27,16.82,18.47,16.60,18.47,13.99,17.80,15.63,9.72,14.46,16.63,12.01,13.97,18.47,17.80,9.69
2048,11.30,16.87,17.10,15.85,11.48,18.81,18.60,17.10,18.81,16.87,18.81,14.24,18.11,15.86,9.94,14.63,16.90,12.09,14.22,18.81,18.07,9.91
2049,11.10,16.76,16.99,15.74,11.28,18.70,18.49,16.99,18.70,16.76,18.70,14.09,18.00,15.75,9.71,14.51,16.79,11.95,14.06,18.70,17.94,9.68
2050,11.17,16.81,17.04,15.81,11.36,18.74,18.53,17.04,18.74,16.81,18.74,14.15,18.05,15.82,9.80,14.64,16.84,12.09,14.14,18.74,18.01,9.77
2051,11.27,16.99,17.21,15.97,11.48,18.88,18.68,17.22,18.88,16.99,18.88,14.31,18.19,15.98,9.91,14.68,17.02,12.20,14.28,18.88,18.16,9.88
2052,11.23,16.82,17.04,15.82,11.42,18.68,18.48,17.04,18.68,16.82,18.68,14.19,18.00,15.83,9.87,14.60,16.85,12.13,14.16,18.68,18.02,9.84
2053,11.24,16.85,17.07,15.86,11.41,18.70,18.50,17.07,18.70,16.85,18.70,14.20,18.02,15.87,9.85,14.60,16.88,12.21,14.17,18.70,18.07,9.82
2054,11.21,16.92,17.13,15.88,11.41,18.68,18.49,17.13,18.68,16.92,18.68,14.24,18.02,15.89,9.84,14.63,16.94,12.02,14.21,18.68,18.13,9.81
2055,11.55,17.12,17.34,16.12,11.72,18.99,18.79,17.34,18.99,17.12,18.99,14.49,18.31,16.13,10.18,14.88,17.15,12.41,14.46,18.99,18.30,10.15
2056,11.32,16.89,17.11,15.90,11.49,18.74,18.54,17.11,18.74,16.89,18.74,14.26,18.07,15.91,9.94,14.73,16.92,12.24,14.24,18.74,18.13,9.91
2057,11.23,16.88,17.10,15.86,11.41,18.77,18.57,17.11,18.77,16.88,18.77,14.22,18.07,15.87,9.85,14.53,16.91,12.06,14.18,18.77,18.01,9.82
2058,11.58,17.08,17.29,16.07,11.77,18.85,18.66,17.29,18.85,17.08,18.85,14.49,18.20,16.08,10.26,14.96,17.10,12.35,14.48,18.85,18.23,10.23
2059,11.53,17.11,17.32,16.12,11.71,18.90,18.71,17.33,18.90,17.11,18.90,14.48,18.24,16.13,10.17,14.82,17.13,12.46,14.45,18.90,18.23,10.14
2060,11.42,17.06,17.29,16.06,11.60,18.95,18.75,17.29,18.95,17.06,18.95,14.40,18.26,16.07,10.03,14.79,17.09,12.34,14.37,18.95,18.26,10.00
2061,11.55,17.17,17.39,16.18,11.73,19.02,18.82,17.39,19.02,17.17,19.02,14.52,18.34,16.19,10.17,14.89,17.20,12.52,14.49,19.02,18.34,10.14
2062,11.41,16.97,17.18,15.99,11.59,18.73,18.54,17.18,18.73,16.97,18.73,14.35,18.08,16.00,10.05,14.74,16.99,12.35,14.32,18.73,18.08,10.02
2063,11.68,17.25,17.47,16.25,11.85,19.11,18.91,17.47,19.11,17.25,19.11,14.62,18.43,16.26,10.30,15.00,17.28,12.54,14.59,19.11,18.36,10.27
2064,11.45,17.11,17.33,16.09,11.64,18.97,18.77,17.33,18.97,17.11,18.97,14.44,18.29,16.10,10.07,14.88,17.14,12.33,14.42,18.97,18.24,10.04
2065,11.78,17.33,17.55,16.34,11.96,19.15,18.96,17.55,19.15,17.33,19.15,14.71,18.48,16.35,10.43,15.14,17.36,12.66,14.69,19.15,18.50,10.40
2066,11.69,17.37,17.59,16.35,11.90,19.25,19.05,17.60,19.25,17.37,19.25,14.70,18.56,16.36,10.33,15.05,17.40,12.57,14.67,19.25,18.55,10.30
2067,11.64,17.37,17.58,16.33,11.81,19.13,18.94,17.58,19.13,17.37,19.13,14.66,18.47,16.34,10.22,15.03,17.39,12.47,14.63,19.13,18.54,10.19
2068,11.77,17.45,17.65,16.44,11.96,19.16,18.98,17.66,19.16,17.45,19.16,14.77,18.52,16.45,10.39,15.14,17.47,12.72,14.75,19.16,18.51,10.36
2069,11.88,17.50,17.70,16.50,12.08,19.20,19.02,17.70,19.20,17.50,19.20,14.86,18.55,16.51,10.53,15.13,17.52,12.78,14.82,19.20,18.52,10.50
2070,11.33,17.06,17.29,16.04,11.51,18.93,18.73,17.28,18.93,17.06,18.93,14.36,18.24,16.05,9.92,14.73,17.09,12.26,14.33,18.93,18.30,9.89
