Variable:,tas
2015,26.75
2016,26.68
2017,26.89
2018,26.86
2019,26.83
2020,26.74
2021,26.79
2022,26.94
2023,26.98
2024,27.02
2025,26.94
2026,26.97
2027,26.96
2028,27.07
2029,27.14
2030,27.02
2031,27.09
2032,27.10
2033,27.14
2034,27.12
2035,27.14
2036,27.12
2037,27.34
2038,27.37
2039,27.28
2040,27.20
2041,27.31
2042,27.39
2043,27.31
2044,27.32
2045,27.37
2046,27.41
2047,27.46
2048,27.56
2049,27.50
2050,27.49
2051,27.50
2052,27.67
2053,27.57
2054,27.53
2055,27.68
2056,27.45
2057,27.77
2058,27.61
2059,27.83
2060,27.78
2061,27.57
2062,27.66
2063,27.82
2064,27.87
2065,27.85
2066,27.77
2067,27.76
2068,27.90
2069,27.90
2070,27.78
2071,27.82
2072,27.95
2073,28.00
2074,27.92
2075,27.93
2076,27.96
2077,28.07
2078,27.95
2079,28.03
2080,28.17
2081,28.16
2082,28.01
2083,28.11
2084,28.12
2085,28.08
2086,28.08
2087,28.04
2088,28.07
2089,28.11
2090,28.08
2091,28.05
2092,28.12
2093,28.11
2094,28.10
2095,28.19
2096,28.14
2097,28.13
2098,28.20
2099,28.22
2100,28.34
