Variable:,tas
,"Norfolk Island","Administrative unit not available"
2015,19.99,19.90
2016,20.06,19.90
2017,19.95,19.85
2018,20.08,19.95
2019,20.26,20.12
2020,20.13,20.00
2021,20.14,20.03
2022,20.13,20.00
2023,20.24,20.06
2024,20.26,20.13
2025,20.42,20.23
2026,20.29,20.10
2027,20.22,20.08
2028,20.20,20.14
2029,20.38,20.26
2030,20.47,20.27
2031,20.31,20.11
2032,20.35,20.24
2033,20.52,20.39
2034,20.46,20.31
2035,20.49,20.33
2036,20.51,20.37
2037,20.49,20.41
2038,20.53,20.46
2039,20.50,20.40
2040,20.63,20.53
2041,20.69,20.55
2042,20.69,20.48
2043,20.63,20.55
2044,20.61,20.48
2045,20.69,20.54
2046,20.78,20.62
2047,20.84,20.69
2048,20.74,20.53
2049,20.82,20.66
2050,20.78,20.68
2051,20.86,20.74
2052,20.82,20.62
2053,20.79,20.64
2054,20.94,20.65
2055,20.94,20.77
2056,20.94,20.73
2057,21.05,20.89
2058,20.89,20.70
2059,20.83,20.68
2060,21.00,20.92
2061,21.08,20.98
2062,20.95,20.82
2063,21.12,20.99
2064,21.14,21.07
2065,21.03,20.89
2066,21.22,21.13
2067,21.08,20.95
2068,21.25,21.14
2069,21.22,21.13
2070,21.21,21.06
2071,21.16,21.04
2072,21.06,20.92
2073,21.08,20.94
2074,21.31,21.20
2075,21.22,21.12
2076,21.19,21.06
2077,21.11,21.03
2078,21.43,21.27
2079,21.23,21.13
2080,21.40,21.27
2081,21.45,21.39
2082,21.37,21.25
2083,21.46,21.25
2084,21.35,21.23
2085,21.41,21.31
2086,21.48,21.36
2087,21.42,21.31
2088,21.34,21.25
2089,21.41,21.19
2090,21.47,21.38
2091,21.58,21.46
2092,21.51,21.39
2093,21.45,21.32
2094,21.44,21.32
2095,21.47,21.34
2096,21.42,21.28
2097,21.48,21.36
2098,21.60,21.47
2099,21.63,21.61
2100,21.53,21.45
