Variable:,tas
,Nigeria,Adamawa,"Akwa Ibom",Anambra,Benue,Borno,"Cross River",Delta,Edo,Abuja,Imo,Jigawa,Kaduna,Kano,Katsina,Kebbi,Kogi,Kwara,Lagos,Niger,Ogun,Osun,Oyo,Taraba,Yobe,Abia,Bauchi,Bayelsa,Ebonyi,Ekiti,Enugu,Gombe,Nassarawa,Ondo,Plateau,Rivers,Sokoto,Zamfara
2015,27.46,26.85,26.94,27.25,27.08,28.25,26.83,27.25,27.44,27.43,27.12,26.99,26.85,26.37,26.92,28.75,27.04,27.30,27.45,27.96,27.66,27.70,27.72,26.27,27.89,27.05,26.08,27.00,27.01,27.21,27.08,27.46,27.53,27.40,26.97,27.03,28.97,27.88
2016,27.46,26.87,26.88,27.16,27.02,28.31,26.75,27.15,27.33,27.39,27.05,27.05,26.87,26.40,26.95,28.76,26.96,27.22,27.37,27.95,27.57,27.55,27.61,26.24,28.03,27.00,26.08,26.93,26.94,27.09,27.03,27.51,27.49,27.30,26.94,26.96,29.02,27.91
2017,27.59,26.94,27.03,27.37,27.17,28.33,26.94,27.34,27.52,27.54,27.24,27.17,26.91,26.44,27.15,28.96,27.16,27.39,27.48,28.07,27.69,27.69,27.75,26.34,28.13,27.18,26.11,27.08,27.12,27.18,27.22,27.56,27.63,27.42,27.03,27.11,29.33,28.06
2018,27.52,26.95,27.04,27.26,27.09,28.25,26.89,27.30,27.44,27.48,27.19,27.15,26.88,26.49,27.04,28.83,27.03,27.30,27.50,28.00,27.69,27.66,27.74,26.33,28.03,27.13,26.15,27.07,27.03,27.18,27.08,27.55,27.57,27.41,26.99,27.11,29.15,28.02
2019,27.53,26.89,27.05,27.31,27.11,28.25,26.94,27.32,27.51,27.49,27.23,27.18,26.90,26.50,27.05,28.80,27.08,27.41,27.50,27.97,27.72,27.73,27.83,26.36,28.05,27.18,26.20,27.08,27.09,27.21,27.14,27.56,27.54,27.44,26.98,27.12,29.05,27.97
2020,27.49,26.85,27.03,27.31,27.07,28.34,26.90,27.30,27.50,27.40,27.20,27.15,26.82,26.43,27.02,28.70,27.06,27.27,27.51,27.86,27.71,27.73,27.73,26.24,28.13,27.14,26.09,27.07,27.05,27.25,27.12,27.47,27.48,27.45,26.89,27.11,29.04,27.87
2021,27.60,27.05,27.06,27.36,27.15,28.50,26.94,27.33,27.52,27.45,27.26,27.26,26.91,26.55,27.15,28.81,27.12,27.30,27.53,27.94,27.72,27.72,27.74,26.37,28.24,27.19,26.25,27.10,27.12,27.25,27.21,27.71,27.57,27.47,27.03,27.13,29.19,28.03
2022,27.75,27.14,27.12,27.39,27.28,28.57,27.05,27.37,27.59,27.61,27.25,27.44,27.09,26.71,27.31,29.07,27.24,27.50,27.60,28.21,27.82,27.88,27.91,26.51,28.35,27.21,26.38,27.16,27.22,27.31,27.29,27.78,27.70,27.53,27.18,27.18,29.38,28.23
2023,27.68,27.14,27.16,27.40,27.27,28.51,27.04,27.42,27.59,27.60,27.30,27.28,27.04,26.63,27.17,28.93,27.21,27.44,27.65,28.12,27.86,27.84,27.89,26.47,28.22,27.24,26.36,27.22,27.18,27.35,27.25,27.80,27.71,27.56,27.14,27.25,29.25,28.11
2024,27.89,27.28,27.32,27.55,27.40,28.75,27.19,27.55,27.74,27.77,27.46,27.60,27.28,26.84,27.43,29.16,27.36,27.61,27.77,28.32,27.98,28.03,28.03,26.62,28.54,27.41,26.56,27.35,27.36,27.50,27.43,27.96,27.88,27.71,27.32,27.38,29.51,28.37
2025,27.75,27.15,27.23,27.53,27.37,28.56,27.13,27.51,27.67,27.68,27.42,27.36,27.07,26.64,27.23,29.07,27.31,27.52,27.67,28.20,27.89,27.91,27.96,26.51,28.29,27.36,26.32,27.25,27.34,27.39,27.42,27.73,27.77,27.59,27.16,27.30,29.33,28.15
2026,27.87,27.22,27.22,27.51,27.35,28.76,27.06,27.52,27.68,27.79,27.39,27.59,27.26,26.89,27.51,29.25,27.34,27.61,27.70,28.32,27.90,27.94,27.98,26.55,28.50,27.32,26.55,27.28,27.26,27.45,27.36,27.95,27.84,27.64,27.28,27.31,29.57,28.41
2027,27.83,27.28,27.28,27.55,27.38,28.64,27.13,27.55,27.74,27.83,27.42,27.39,27.23,26.75,27.31,29.18,27.38,27.60,27.80,28.35,27.99,27.96,28.00,26.63,28.36,27.37,26.47,27.34,27.30,27.51,27.41,27.87,27.92,27.73,27.33,27.36,29.41,28.27
2028,27.91,27.25,27.33,27.67,27.48,28.74,27.23,27.61,27.82,27.88,27.53,27.54,27.25,26.87,27.45,29.28,27.48,27.68,27.80,28.40,28.00,28.00,28.03,26.63,28.47,27.47,26.50,27.33,27.41,27.53,27.51,27.88,27.97,27.74,27.34,27.39,29.59,28.40
2029,28.07,27.42,27.36,27.78,27.59,28.92,27.31,27.67,27.90,27.96,27.58,27.71,27.45,27.04,27.61,29.41,27.58,27.88,27.83,28.56,28.11,28.19,28.29,26.78,28.67,27.51,26.68,27.37,27.54,27.71,27.65,28.09,28.03,27.83,27.45,27.43,29.69,28.59
2030,27.85,27.24,27.22,27.55,27.39,28.65,27.16,27.48,27.72,27.81,27.38,27.48,27.24,26.78,27.36,29.21,27.39,27.62,27.71,28.32,27.95,27.98,28.04,26.60,28.41,27.32,26.53,27.23,27.33,27.52,27.42,27.86,27.91,27.67,27.33,27.28,29.41,28.33
2031,27.94,27.34,27.33,27.72,27.50,28.79,27.28,27.66,27.83,27.88,27.54,27.60,27.30,26.91,27.45,29.23,27.48,27.69,27.75,28.41,27.99,27.97,28.06,26.67,28.53,27.50,26.59,27.34,27.49,27.49,27.60,28.00,27.95,27.70,27.40,27.38,29.50,28.36
