Variable:,tas
,Nicaragua,"Atlantico Norte","Atlantico Sur",Boaco,Carazo,Chinandega,Chontales,Esteli,Granada,Jinotega,Leon,Madriz,Managua,Masaya,Matagalpa,"Nueva Segovia","Rio San Juan",Rivas
2015,25.56,25.22,25.58,26.67,27.07,27.44,26.56,26.67,27.02,23.66,27.59,26.49,27.48,27.31,25.66,25.75,26.64,27.12
2016,25.56,25.18,25.62,26.69,27.17,27.54,26.60,26.71,27.09,23.61,27.67,26.52,27.56,27.40,25.66,25.75,26.73,27.20
2017,25.71,25.36,25.75,26.83,27.34,27.65,26.74,26.84,27.24,23.79,27.82,26.64,27.72,27.56,25.83,25.89,26.84,27.34
2018,25.68,25.29,25.74,26.86,27.26,27.63,26.78,26.89,27.26,23.78,27.81,26.71,27.69,27.52,25.83,25.94,26.87,27.38
2019,25.64,25.26,25.69,26.83,27.22,27.61,26.71,26.82,27.18,23.76,27.75,26.63,27.64,27.47,25.80,25.88,26.79,27.29
2020,25.64,25.29,25.66,26.81,27.20,27.55,26.69,26.72,27.18,23.71,27.68,26.53,27.59,27.43,25.76,25.79,26.74,27.29
2021,25.78,25.42,25.83,26.98,27.39,27.70,26.88,26.90,27.36,23.88,27.88,26.71,27.78,27.62,25.95,25.97,26.97,27.47
2022,25.80,25.44,25.83,26.99,27.41,27.74,26.88,26.99,27.36,23.84,27.92,26.81,27.81,27.65,25.93,26.03,26.94,27.47
2023,25.87,25.50,25.89,27.07,27.43,27.83,26.92,27.06,27.38,24.01,27.99,26.88,27.87,27.69,26.04,26.13,26.98,27.47
2024,25.99,25.65,26.05,27.10,27.46,27.83,26.99,27.06,27.42,24.06,28.01,26.87,27.90,27.72,26.10,26.14,27.09,27.51
2025,25.84,25.46,25.89,27.04,27.44,27.80,26.95,27.01,27.45,23.94,27.93,26.83,27.83,27.67,25.99,26.07,27.02,27.58
2026,25.93,25.57,25.95,27.12,27.60,27.96,27.01,27.13,27.52,24.01,28.11,26.94,28.00,27.84,26.10,26.18,27.10,27.63
2027,25.89,25.56,25.89,26.96,27.39,27.78,26.87,26.99,27.34,23.95,27.92,26.81,27.80,27.64,25.95,26.05,26.98,27.45
2028,25.98,25.65,26.02,27.07,27.54,27.88,26.99,27.05,27.48,24.06,28.03,26.85,27.93,27.77,26.08,26.12,27.08,27.59
2029,26.06,25.70,26.14,27.31,27.60,27.97,27.17,27.20,27.61,24.12,28.09,27.02,28.00,27.84,26.23,26.26,27.21,27.71
2030,25.87,25.47,25.90,27.10,27.54,27.90,26.97,27.08,27.48,23.94,28.04,26.89,27.94,27.78,26.05,26.13,27.01,27.58
2031,26.06,25.69,26.10,27.22,27.69,27.97,27.13,27.18,27.62,24.17,28.15,26.99,28.06,27.91,26.20,26.25,27.19,27.72
2032,26.14,25.79,26.17,27.25,27.75,28.08,27.15,27.29,27.63,24.30,28.23,27.10,28.12,27.97,26.27,26.36,27.25,27.72
2033,26.06,25.74,26.08,27.17,27.58,27.92,27.04,27.09,27.49,24.12,28.02,26.90,27.93,27.79,26.16,26.17,27.08,27.57
2034,26.03,25.63,26.04,27.23,27.68,28.08,27.10,27.25,27.61,24.14,28.22,27.06,28.11,27.93,26.20,26.30,27.13,27.71
2035,26.08,25.70,26.13,27.25,27.64,28.04,27.13,27.20,27.59,24.16,28.19,27.00,28.08,27.90,26.23,26.26,27.20,27.68
2036,26.03,25.62,26.07,27.27,27.66,28.02,27.14,27.24,27.62,24.15,28.15,27.06,28.05,27.89,26.22,26.30,27.21,27.72
2037,26.28,25.89,26.30,27.49,27.88,28.26,27.34,27.53,27.82,24.36,28.46,27.34,28.33,28.15,26.44,26.56,27.38,27.91
2038,26.34,26.02,26.32,27.49,27.80,28.25,27.34,27.52,27.79,24.48,28.40,27.35,28.28,28.08,26.48,26.60,27.38,27.87
2039,26.29,25.95,26.32,27.44,27.80,28.17,27.35,27.39,27.82,24.39,28.35,27.20,28.23,28.06,26.42,26.46,27.39,27.95
2040,26.27,25.94,26.27,27.45,27.84,28.14,27.32,27.40,27.80,24.38,28.33,27.21,28.23,28.07,26.43,26.47,27.38,27.91
2041,26.26,25.91,26.29,27.45,27.89,28.21,27.32,27.42,27.80,24.39,28.39,27.23,28.29,28.13,26.44,26.49,27.41,27.88
2042,26.33,25.96,26.36,27.57,27.99,28.28,27.43,27.48,27.93,24.43,28.45,27.29,28.36,28.21,26.52,26.54,27.48,28.03
2043,26.29,25.93,26.29,27.45,27.81,28.20,27.33,27.51,27.80,24.45,28.39,27.33,28.27,28.08,26.45,26.58,27.42,27.90
2044,26.28,25.91,26.30,27.50,27.88,28.26,27.37,27.53,27.85,24.39,28.39,27.36,28.28,28.12,26.45,26.59,27.42,27.95
2045,26.31,25.95,26.34,27.46,27.94,28.27,27.36,27.51,27.85,24.42,28.44,27.32,28.33,28.17,26.46,26.57,27.45,27.94
2046,26.45,26.11,26.42,27.66,27.91,28.37,27.50,27.73,27.96,24.58,28.58,27.56,28.44,28.22,26.62,26.78,27.50,28.07
2047,26.47,26.12,26.51,27.65,28.06,28.39,27.55,27.58,28.03,24.55,28.55,27.39,28.45,28.29,26.62,26.65,27.65,28.13
2048,26.63,26.22,26.62,27.92,28.31,28.66,27.76,27.92,28.27,24.87,28.85,27.74,28.74,28.56,26.88,26.99,27.77,28.38
2049,26.54,26.16,26.55,27.75,28.13,28.51,27.61,27.73,28.08,24.70,28.71,27.53,28.59,28.40,26.73,26.79,27.61,28.18
2050,26.47,26.06,26.50,27.72,28.03,28.49,27.55,27.72,28.00,24.64,28.67,27.53,28.54,28.33,26.68,26.77,27.60,28.09
2051,26.53,26.15,26.52,27.82,28.14,28.56,27.63,27.80,28.10,24.73,28.76,27.61,28.63,28.43,26.78,26.86,27.58,28.18
2052,26.69,26.33,26.72,27.82,28.26,28.61,27.72,27.91,28.20,24.78,28.78,27.74,28.67,28.50,26.81,26.97,27.81,28.30
2053,26.60,26.28,26.61,27.66,28.14,28.50,27.58,27.75,28.07,24.76,28.63,27.58,28.52,28.37,26.71,26.84,27.68,28.18
2054,26.66,26.32,26.61,27.86,28.15,28.55,27.69,27.86,28.16,24.86,28.72,27.69,28.61,28.42,26.85,26.95,27.69,28.26
2055,26.78,26.44,26.78,28.02,28.32,28.76,27.86,28.00,28.31,24.94,28.94,27.81,28.81,28.61,26.99,27.06,27.88,28.39
2056,26.70,26.35,26.69,27.95,28.29,28.65,27.77,27.88,28.24,24.83,28.83,27.69,28.72,28.54,26.91,26.95,27.76,28.32
2057,26.94,26.59,26.97,28.16,28.46,28.82,28.03,28.11,28.47,25.06,29.04,27.93,28.92,28.73,27.12,27.18,28.09,28.57
2058,26.77,26.44,26.78,27.93,28.32,28.70,27.82,27.99,28.29,24.97,28.88,27.81,28.76,28.58,26.95,27.07,27.85,28.39
2059,26.89,26.51,26.87,28.09,28.54,28.90,28.00,28.21,28.52,25.13,29.10,28.03,28.97,28.80,27.10,27.27,28.02,28.65
2060,26.87,26.55,26.88,28.02,28.37,28.76,27.92,27.96,28.37,25.01,28.94,27.77,28.83,28.64,27.01,27.04,27.99,28.47
2061,26.70,26.38,26.71,27.81,28.21,28.61,27.68,27.82,28.13,24.81,28.75,27.64,28.63,28.46,26.81,26.89,27.75,28.20
2062,26.77,26.43,26.77,27.93,28.33,28.73,27.84,27.97,28.33,24.90,28.90,27.78,28.78,28.60,26.92,27.03,27.94,28.46
