Variable:,tas
,Netherlands,Drenthe,Flevoland,Friesland,Gelderland,Groningen,Limburg,Noord-brabant,Noord-holland,Overijssel,Utrecht,Zeeland,Zuid-holland
2015,10.51,10.52,10.60,10.51,10.76,10.12,10.72,11.07,10.87,10.62,10.74,11.07,11.05
2016,10.51,10.44,10.62,10.51,10.76,10.09,10.80,11.17,10.97,10.53,10.80,11.21,11.19
2017,10.32,10.34,10.37,10.31,10.61,9.87,10.67,11.02,10.74,10.45,10.56,10.99,10.99
2018,10.66,10.63,10.71,10.64,10.91,10.28,10.98,11.30,11.01,10.71,10.87,11.26,11.26
2019,10.78,10.78,10.92,10.73,11.03,10.38,10.97,11.34,11.21,10.88,11.06,11.36,11.38
2020,10.82,10.76,10.89,10.88,10.99,10.51,10.97,11.29,11.23,10.83,11.04,11.31,11.35
2021,10.75,10.78,10.83,10.70,11.04,10.26,11.06,11.34,11.16,10.90,11.00,11.39,11.35
2022,11.01,11.07,11.08,10.98,11.32,10.58,11.36,11.67,11.30,11.18,11.22,11.56,11.57
2023,10.57,10.54,10.63,10.54,10.81,10.18,10.87,11.22,10.97,10.63,10.81,11.28,11.25
2024,10.75,10.73,10.94,10.69,11.06,10.25,11.06,11.42,11.12,10.86,11.06,11.44,11.40
2025,10.91,10.90,11.02,10.87,11.21,10.41,11.27,11.54,11.34,11.02,11.18,11.54,11.53
2026,11.12,11.11,11.23,11.07,11.42,10.66,11.48,11.76,11.49,11.22,11.38,11.69,11.72
2027,10.97,10.96,11.07,10.94,11.20,10.58,11.16,11.49,11.35,11.06,11.21,11.50,11.51
2028,11.12,11.13,11.30,11.04,11.42,10.62,11.40,11.76,11.55,11.26,11.43,11.71,11.76
2029,10.94,10.94,11.02,10.91,11.19,10.52,11.21,11.55,11.31,11.05,11.18,11.57,11.56
2030,10.94,10.90,11.04,10.91,11.19,10.53,11.20,11.55,11.31,10.99,11.18,11.61,11.57
2031,11.15,11.10,11.29,11.12,11.43,10.72,11.44,11.79,11.56,11.20,11.44,11.71,11.77
2032,11.43,11.47,11.43,11.39,11.69,11.01,11.69,12.05,11.70,11.58,11.59,12.01,11.98
2033,11.04,11.02,11.16,11.02,11.29,10.63,11.29,11.60,11.43,11.12,11.30,11.59,11.61
2034,11.23,11.22,11.32,11.17,11.51,10.80,11.55,11.87,11.64,11.32,11.49,11.81,11.86
2035,11.27,11.25,11.45,11.19,11.60,10.74,11.60,11.95,11.74,11.39,11.60,11.90,11.95
2036,11.40,11.37,11.53,11.39,11.67,10.97,11.67,12.01,11.79,11.47,11.67,11.97,12.00
2037,11.24,11.26,11.32,11.16,11.52,10.84,11.55,11.88,11.54,11.37,11.46,11.80,11.82
2038,11.09,11.07,11.16,11.06,11.36,10.68,11.41,11.71,11.44,11.16,11.31,11.60,11.66
2039,11.21,11.19,11.28,11.18,11.45,10.81,11.44,11.78,11.60,11.29,11.44,11.76,11.80
2040,11.30,11.25,11.38,11.26,11.53,10.96,11.57,11.88,11.63,11.32,11.52,11.85,11.88
2041,11.19,11.19,11.29,11.16,11.48,10.73,11.54,11.86,11.59,11.30,11.45,11.83,11.84
2042,11.12,11.10,11.16,11.04,11.41,10.71,11.54,11.80,11.42,11.20,11.32,11.64,11.70
2043,11.30,11.26,11.41,11.24,11.57,10.90,11.58,11.92,11.62,11.35,11.54,11.86,11.87
2044,11.23,11.22,11.35,11.13,11.54,10.72,11.61,11.98,11.64,11.35,11.52,12.03,11.97
2045,11.15,11.15,11.25,11.12,11.43,10.73,11.48,11.80,11.50,11.25,11.40,11.77,11.76
2046,11.24,11.24,11.31,11.27,11.44,10.91,11.40,11.73,11.60,11.32,11.45,11.67,11.75
2047,11.57,11.59,11.63,11.48,11.83,11.13,11.84,12.17,11.94,11.70,11.79,12.13,12.18
2048,11.68,11.67,11.69,11.62,11.97,11.30,12.09,12.39,11.94,11.75,11.86,12.25,12.26
2049,11.47,11.46,11.54,11.46,11.70,11.11,11.68,12.02,11.82,11.55,11.68,12.01,12.00
2050,11.60,11.59,11.68,11.51,11.84,11.19,11.86,12.15,11.95,11.69,11.82,12.15,12.16
2051,11.59,11.57,11.68,11.56,11.85,11.18,11.89,12.22,11.99,11.67,11.84,12.23,12.22
2052,11.73,11.77,11.81,11.64,12.01,11.31,12.06,12.34,11.96,11.87,11.92,12.35,12.27
2053,11.53,11.53,11.63,11.50,11.76,11.14,11.74,12.05,11.90,11.63,11.76,12.05,12.08
2054,11.33,11.31,11.45,11.24,11.67,10.83,11.82,12.07,11.70,11.42,11.61,11.98,11.98
2055,11.75,11.76,11.86,11.65,12.05,11.31,12.14,12.38,12.04,11.88,11.98,12.30,12.30
2056,11.61,11.63,11.69,11.52,11.92,11.16,12.01,12.28,11.93,11.75,11.84,12.23,12.22
2057,11.65,11.66,11.69,11.58,11.90,11.25,11.97,12.27,11.95,11.75,11.84,12.33,12.24
2058,11.94,11.94,12.08,11.82,12.25,11.43,12.28,12.58,12.27,12.07,12.20,12.51,12.55
2059,11.51,11.50,11.59,11.42,11.85,11.01,12.02,12.30,11.85,11.62,11.76,12.28,12.20
