Variable:,tas
,"New Zealand",Auckland,"Bay Of Plenty",Canterbury,"East Cape","Hawke's Bay",Nelson-marlborough,Northland,Otago,Southland,Taranaki,Waikato,Wanganui-manawatu,Wellington,Westland
2015,10.92,15.82,11.95,8.95,13.05,11.92,9.52,15.97,8.66,9.10,14.03,13.34,12.98,12.63,8.79
2016,10.88,15.80,11.94,8.92,13.07,11.85,9.45,15.96,8.62,9.09,13.99,13.29,12.89,12.51,8.75
2017,10.74,15.58,11.87,8.76,12.99,11.76,9.32,15.78,8.47,8.92,13.74,13.15,12.74,12.48,8.58
2018,10.91,15.70,11.96,8.98,13.03,11.97,9.51,15.91,8.68,9.10,13.90,13.23,12.90,12.57,8.82
2019,11.03,15.93,12.14,9.10,13.27,12.02,9.58,16.12,8.78,9.22,13.99,13.36,12.96,12.67,8.88
2020,11.04,15.89,12.04,9.11,13.14,11.99,9.64,16.01,8.78,9.26,14.15,13.45,13.07,12.73,8.95
2021,10.83,15.74,11.87,8.81,13.00,11.80,9.43,15.94,8.59,9.10,13.96,13.22,12.84,12.54,8.68
2022,11.01,16.02,12.03,9.01,13.17,11.98,9.57,16.16,8.76,9.24,14.08,13.44,12.99,12.66,8.88
2023,10.93,15.86,11.93,8.95,13.08,11.89,9.52,16.00,8.66,9.15,13.99,13.31,12.95,12.66,8.82
2024,11.07,16.02,12.11,9.11,13.26,12.04,9.67,16.18,8.79,9.25,14.15,13.46,13.05,12.74,8.96
2025,11.24,16.14,12.29,9.31,13.36,12.21,9.82,16.29,8.98,9.39,14.27,13.66,13.23,12.85,9.17
2026,11.01,15.97,12.03,9.04,13.15,11.95,9.58,16.10,8.79,9.27,14.08,13.42,12.99,12.65,8.88
2027,11.04,15.93,12.05,9.08,13.19,11.96,9.63,16.06,8.84,9.30,14.11,13.42,13.00,12.69,8.96
2028,11.12,15.97,12.15,9.19,13.27,12.08,9.75,16.14,8.85,9.31,14.20,13.49,13.13,12.83,9.04
2029,11.18,16.10,12.23,9.19,13.30,12.16,9.78,16.24,8.91,9.38,14.27,13.62,13.20,12.84,9.09
2030,11.13,16.07,12.28,9.11,13.32,12.13,9.74,16.21,8.83,9.30,14.18,13.61,13.16,12.82,8.96
2031,11.15,16.10,12.20,9.18,13.34,12.11,9.72,16.25,8.92,9.32,14.23,13.56,13.13,12.83,8.99
2032,11.18,16.09,12.19,9.24,13.31,12.12,9.78,16.20,8.94,9.38,14.26,13.61,13.21,12.83,9.11
2033,11.24,16.20,12.29,9.27,13.37,12.20,9.88,16.35,8.94,9.41,14.36,13.68,13.25,12.90,9.13
2034,11.34,16.32,12.42,9.35,13.52,12.34,9.92,16.48,9.03,9.50,14.42,13.79,13.37,13.00,9.21
2035,11.27,16.21,12.30,9.29,13.40,12.22,9.85,16.32,9.02,9.51,14.32,13.70,13.26,12.88,9.18
2036,11.32,16.25,12.29,9.43,13.37,12.20,9.90,16.37,9.12,9.55,14.37,13.71,13.27,12.98,9.23
