Variable:,tas
,Peru,Amazonas,Ancash,Apurímac,Arequipa,Ayacucho,Cajamarca,Callao,Cusco,Huancavelica,Huánuco,Ica,Junín,"La Libertad",Lambayeque,Lima,Loreto,"Madre de Dios",Moquegua,Pasco,Piura,Puno,"San Martín",Tacna,Tumbes,Ucayali
2015,19.91,18.43,17.13,7.75,15.65,12.54,19.02,10.36,11.14,11.75,13.38,18.48,12.29,17.53,21.46,17.07,26.26,21.19,16.19,14.27,22.34,7.81,18.34,17.35,23.13,24.60
2016,20.02,18.57,17.37,7.79,15.82,12.66,19.24,10.48,11.15,11.93,13.56,18.71,12.45,17.76,21.70,17.34,26.40,21.21,16.39,14.44,22.55,7.81,18.52,17.58,23.32,24.65
2017,20.15,18.67,17.47,7.98,15.92,12.78,19.24,10.65,11.36,12.05,13.68,18.78,12.57,17.81,21.70,17.45,26.52,21.37,16.52,14.58,22.61,8.02,18.62,17.68,23.38,24.79
2018,20.14,18.60,17.46,7.93,15.87,12.75,19.25,10.57,11.33,11.99,13.64,18.73,12.52,17.82,21.73,17.43,26.51,21.42,16.40,14.50,22.61,7.98,18.60,17.58,23.36,24.82
2019,20.13,18.70,17.33,8.00,15.85,12.75,19.23,10.54,11.36,12.00,13.69,18.61,12.59,17.72,21.50,17.28,26.45,21.40,16.38,14.57,22.47,7.98,18.64,17.59,23.22,24.89
2020,20.08,18.64,17.40,7.96,15.90,12.74,19.21,10.59,11.33,11.98,13.65,18.70,12.54,17.79,21.62,17.38,26.40,21.34,16.43,14.55,22.58,7.92,18.60,17.62,23.35,24.74
2021,20.20,18.69,17.60,7.99,16.06,12.85,19.37,10.72,11.38,12.11,13.74,18.95,12.61,17.97,21.91,17.56,26.53,21.45,16.63,14.63,22.81,8.06,18.63,17.86,23.58,24.88
2022,20.31,18.84,17.49,8.10,15.95,12.88,19.34,10.68,11.45,12.09,13.80,18.80,12.69,17.85,21.71,17.44,26.72,21.60,16.53,14.70,22.69,8.09,18.78,17.74,23.50,24.99
2023,20.31,18.81,17.59,8.11,16.03,12.91,19.45,10.72,11.48,12.17,13.82,18.85,12.70,17.96,21.90,17.54,26.69,21.56,16.55,14.70,22.76,8.12,18.75,17.73,23.50,24.98
2024,20.41,18.84,17.61,8.32,16.22,13.08,19.44,10.86,11.65,12.28,13.93,18.95,12.86,18.01,21.87,17.60,26.74,21.70,16.75,14.87,22.81,8.28,18.86,17.94,23.57,25.15
2025,20.34,18.88,17.61,8.20,16.03,12.95,19.46,10.78,11.54,12.19,13.86,18.84,12.78,18.01,21.93,17.57,26.70,21.59,16.53,14.75,22.84,8.15,18.82,17.73,23.63,25.03
2026,20.43,18.90,17.74,8.27,16.17,13.08,19.52,10.89,11.67,12.33,13.94,19.06,12.90,18.10,21.95,17.69,26.75,21.72,16.75,14.82,22.89,8.30,18.89,17.98,23.70,25.12
2027,20.41,18.91,17.61,8.26,16.16,13.04,19.48,10.81,11.63,12.29,13.91,18.91,12.85,17.97,21.87,17.59,26.76,21.68,16.69,14.81,22.75,8.27,18.88,17.90,23.51,25.08
2028,20.41,18.88,17.67,8.22,16.13,12.98,19.53,10.84,11.61,12.24,13.91,18.87,12.81,18.06,22.01,17.62,26.80,21.63,16.69,14.81,22.87,8.30,18.84,17.92,23.65,25.06
2029,20.56,19.00,17.74,8.40,16.25,13.14,19.56,11.08,11.78,12.36,14.01,19.07,12.95,18.10,21.93,17.70,26.93,21.88,16.80,14.93,22.86,8.45,18.96,18.03,23.64,25.27
2030,20.31,18.82,17.59,8.17,16.07,12.92,19.39,10.80,11.52,12.18,13.84,18.87,12.71,17.96,21.82,17.53,26.68,21.58,16.61,14.70,22.76,8.19,18.74,17.79,23.50,24.95
2031,20.50,19.02,17.78,8.36,16.31,13.17,19.61,10.98,11.67,12.39,14.04,19.07,12.91,18.16,22.05,17.72,26.83,21.76,16.86,14.92,22.95,8.37,18.93,18.09,23.74,25.16
2032,20.62,19.07,17.89,8.46,16.38,13.26,19.64,11.08,11.82,12.49,14.10,19.25,13.00,18.24,22.12,17.87,26.97,21.91,16.96,14.98,23.08,8.51,19.05,18.12,23.90,25.29
