Variable:,tas
,"El Salvador",Ahuachapan,Cabanas,Chalatenango,Cuscatlan,"La Libertad","La Paz","La Union",Morazan,"San Miguel","San Salvador","San Vicente","Santa Ana",Sonsonate,Usulutan
2015,24.86,27.57,27.27,24.84,27.36,27.71,27.52,27.67,27.40,27.35,27.58,27.35,25.78,27.81,27.35
2016,24.96,27.71,27.43,24.96,27.52,27.86,27.68,27.83,27.56,27.51,27.72,27.51,25.90,27.96,27.51
2017,25.05,27.74,27.44,25.05,27.54,27.88,27.69,27.82,27.57,27.52,27.75,27.52,25.98,27.98,27.52
2018,25.03,27.74,27.45,24.99,27.54,27.89,27.70,27.89,27.59,27.53,27.75,27.53,25.93,27.99,27.53
2019,25.07,27.77,27.45,25.06,27.56,27.91,27.71,27.85,27.58,27.53,27.78,27.53,25.98,28.01,27.53
2020,24.94,27.73,27.37,24.92,27.49,27.87,27.65,27.78,27.50,27.45,27.73,27.45,25.88,27.97,27.45
2021,25.12,27.84,27.56,25.10,27.64,27.98,27.81,27.95,27.69,27.64,27.85,27.64,26.03,28.08,27.64
2022,25.13,27.87,27.53,25.11,27.65,28.01,27.80,27.95,27.66,27.61,27.87,27.61,26.05,28.11,27.61
2023,25.27,27.91,27.63,25.26,27.72,28.05,27.88,28.08,27.77,27.71,27.92,27.71,26.17,28.15,27.71
2024,25.20,27.94,27.59,25.23,27.72,28.08,27.86,28.00,27.72,27.67,27.95,27.67,26.18,28.18,27.67
2025,25.27,27.97,27.69,25.27,27.77,28.11,27.94,28.09,27.82,27.77,27.98,27.77,26.20,28.21,27.77
2026,25.28,28.04,27.69,25.30,27.81,28.17,27.96,28.12,27.82,27.77,28.04,27.77,26.25,28.27,27.77
2027,25.24,27.86,27.57,25.20,27.66,27.99,27.82,27.97,27.70,27.65,27.86,27.65,26.10,28.09,27.65
2028,25.35,28.07,27.75,25.34,27.86,28.21,28.01,28.17,27.88,27.83,28.08,27.83,26.28,28.31,27.83
2029,25.42,28.11,27.83,25.43,27.92,28.25,28.08,28.17,27.95,27.91,28.12,27.91,26.37,28.35,27.91
2030,25.32,27.95,27.73,25.27,27.77,28.08,27.95,28.10,27.85,27.81,27.95,27.81,26.18,28.18,27.81
2031,25.36,28.08,27.79,25.36,27.88,28.21,28.04,28.17,27.92,27.87,28.08,27.87,26.30,28.31,27.87
2032,25.55,28.22,27.92,25.53,28.02,28.36,28.17,28.31,28.05,28.00,28.23,28.00,26.45,28.46,28.00
2033,25.29,28.06,27.72,25.30,27.84,28.21,27.99,28.11,27.85,27.80,28.07,27.80,26.25,28.31,27.80
2034,25.42,28.14,27.88,25.36,27.95,28.29,28.12,28.30,28.01,27.96,28.15,27.96,26.30,28.39,27.96
2035,25.49,28.20,27.88,25.49,27.98,28.33,28.14,28.25,28.01,27.96,28.20,27.96,26.41,28.43,27.96
2036,25.46,28.12,27.86,25.42,27.93,28.26,28.10,28.31,28.00,27.94,28.13,27.94,26.34,28.36,27.94
2037,25.68,28.37,28.06,25.69,28.17,28.51,28.32,28.48,28.19,28.14,28.38,28.14,26.63,28.61,28.14
2038,25.80,28.38,28.09,25.83,28.19,28.52,28.34,28.52,28.22,28.17,28.39,28.17,26.73,28.61,28.17
2039,25.66,28.34,28.05,25.64,28.15,28.50,28.31,28.47,28.18,28.13,28.37,28.13,26.56,28.60,28.13
2040,25.57,28.28,27.92,25.56,28.05,28.42,28.20,28.37,28.06,28.00,28.29,28.00,26.50,28.52,28.00
2041,25.63,28.36,28.01,25.66,28.14,28.50,28.28,28.43,28.14,28.09,28.37,28.09,26.61,28.60,28.09
2042,25.68,28.39,28.11,25.63,28.19,28.54,28.36,28.53,28.24,28.19,28.40,28.19,26.56,28.64,28.19
2043,25.73,28.34,28.04,25.69,28.14,28.48,28.29,28.50,28.18,28.12,28.35,28.12,26.60,28.58,28.12
2044,25.70,28.37,28.08,25.70,28.17,28.51,28.33,28.45,28.21,28.16,28.38,28.16,26.63,28.61,28.16
2045,25.74,28.38,28.11,25.72,28.20,28.53,28.36,28.51,28.24,28.19,28.40,28.19,26.64,28.63,28.19
2046,25.86,28.39,28.14,25.82,28.21,28.52,28.37,28.63,28.28,28.22,28.40,28.22,26.70,28.62,28.22
2047,25.86,28.61,28.28,25.88,28.40,28.76,28.55,28.65,28.41,28.36,28.63,28.36,26.83,28.86,28.36
2048,26.06,28.74,28.46,26.03,28.55,28.89,28.71,28.90,28.60,28.54,28.76,28.54,26.97,28.99,28.54
2049,25.86,28.50,28.22,25.84,28.31,28.64,28.47,28.67,28.36,28.30,28.51,28.30,26.75,28.74,28.30
2050,25.87,28.54,28.27,25.84,28.35,28.68,28.51,28.73,28.41,28.35,28.55,28.35,26.76,28.78,28.35
2051,26.01,28.63,28.34,25.97,28.44,28.78,28.59,28.80,28.48,28.42,28.65,28.42,26.87,28.88,28.42
2052,26.08,28.73,28.42,26.06,28.53,28.88,28.68,28.85,28.55,28.50,28.75,28.50,26.97,28.98,28.50
2053,25.98,28.66,28.42,25.99,28.48,28.80,28.65,28.74,28.54,28.50,28.67,28.50,26.92,28.90,28.50
2054,25.96,28.53,28.26,25.88,28.33,28.66,28.50,28.76,28.41,28.34,28.53,28.34,26.77,28.76,28.34
2055,26.12,28.81,28.57,26.10,28.63,28.96,28.80,29.02,28.71,28.65,28.83,28.65,27.04,29.06,28.65
2056,26.07,28.71,28.46,26.01,28.53,28.87,28.70,28.85,28.59,28.54,28.74,28.54,26.92,28.97,28.54
2057,26.23,28.79,28.58,26.18,28.63,28.93,28.80,29.03,28.72,28.66,28.80,28.66,27.06,29.03,28.66
2058,26.16,28.80,28.55,26.16,28.62,28.93,28.78,29.00,28.69,28.63,28.81,28.63,27.07,29.03,28.63
2059,26.25,28.85,28.61,26.17,28.67,29.00,28.84,29.10,28.75,28.69,28.87,28.69,27.07,29.10,28.69
2060,26.24,28.95,28.64,26.22,28.75,29.11,28.90,29.03,28.77,28.72,28.98,28.72,27.16,29.21,28.72
2061,26.11,28.75,28.44,26.12,28.55,28.89,28.70,28.86,28.57,28.52,28.77,28.52,27.03,28.99,28.52
2062,26.26,28.87,28.61,26.24,28.68,29.00,28.84,29.11,28.76,28.69,28.88,28.69,27.14,29.10,28.69
2063,26.33,28.91,28.68,26.30,28.74,29.05,28.91,29.10,28.81,28.76,28.93,28.76,27.20,29.15,28.76
2064,26.25,28.81,28.56,26.22,28.63,28.94,28.79,29.04,28.70,28.64,28.82,28.64,27.11,29.04,28.64
2065,26.33,28.93,28.69,26.30,28.76,29.09,28.93,29.10,28.82,28.77,28.96,28.77,27.19,29.19,28.77
2066,26.31,28.91,28.64,26.28,28.71,29.03,28.87,29.14,28.79,28.72,28.91,28.72,27.17,29.13,28.72
2067,26.18,28.88,28.56,26.14,28.67,29.03,28.82,29.06,28.71,28.64,28.90,28.64,27.09,29.13,28.64
2068,26.51,29.04,28.82,26.49,28.88,29.19,29.04,29.31,28.96,28.90,29.06,28.90,27.37,29.28,28.90
2069,26.36,28.86,28.65,26.34,28.70,28.99,28.86,29.15,28.80,28.73,28.86,28.73,27.20,29.08,28.73
2070,26.35,28.94,28.74,26.33,28.78,29.08,28.96,29.19,28.88,28.82,28.96,28.82,27.24,29.18,28.82
2071,26.33,28.93,28.65,26.31,28.74,29.06,28.89,29.14,28.79,28.73,28.94,28.73,27.22,29.16,28.73
2072,26.50,29.13,28.86,26.48,28.95,29.28,29.11,29.30,29.00,28.94,29.15,28.94,27.40,29.38,28.94
2073,26.71,29.22,28.97,26.75,29.06,29.36,29.20,29.45,29.11,29.05,29.24,29.05,27.63,29.45,29.05
2074,26.41,29.07,28.80,26.36,28.88,29.21,29.04,29.22,28.93,28.88,29.08,28.88,27.28,29.31,28.88
2075,26.44,29.03,28.76,26.43,28.85,29.17,29.00,29.18,28.89,28.84,29.05,28.84,27.33,29.27,28.84
2076,26.53,29.10,28.86,26.53,28.92,29.23,29.08,29.40,29.01,28.94,29.10,28.94,27.43,29.32,28.94
2077,26.64,29.17,28.86,26.63,28.98,29.32,29.12,29.39,29.01,28.94,29.19,28.94,27.52,29.41,28.94
