Variable:,tas
,Somalia,Awdal,Bakool,Bari,Bay,Banadir,Galgaduud,Gedo,Hiraan,"Juba Hoose","Shabelle Hoose","Juba Dhexe","Shabelle Dhexe",Mudug,Nugaal,Sanaag,Sool,Togdheer,"Woqooyi Galbeed"
2015,27.30,28.38,28.28,26.87,28.30,27.52,28.18,28.87,28.00,28.56,27.79,28.89,27.72,27.59,26.81,25.04,25.78,25.05,23.75
2016,27.27,28.52,28.17,26.87,28.20,27.46,28.08,28.78,27.93,28.44,27.71,28.78,27.62,27.56,26.82,25.09,25.82,25.09,23.82
2017,27.41,28.63,28.39,26.98,28.38,27.62,28.32,28.90,28.14,28.63,27.93,28.96,27.82,27.73,26.94,25.13,25.90,25.16,23.88
2018,27.43,28.46,28.42,27.01,28.40,27.62,28.30,28.92,28.16,28.66,27.91,28.97,27.80,27.69,26.97,25.23,26.01,25.27,23.92
2019,27.47,28.53,28.45,27.05,28.43,27.69,28.39,28.97,28.22,28.71,27.95,29.01,27.88,27.82,27.09,25.17,25.98,25.18,23.88
2020,27.45,28.58,28.41,27.02,28.36,27.65,28.34,28.92,28.16,28.64,27.90,28.94,27.83,27.76,27.02,25.26,26.01,25.25,23.93
2021,27.45,28.62,28.33,27.08,28.36,27.62,28.32,28.92,28.12,28.66,27.91,28.98,27.81,27.77,27.05,25.22,26.01,25.25,23.91
2022,27.60,28.62,28.61,27.16,28.52,27.80,28.52,29.10,28.37,28.75,28.04,29.05,27.99,27.91,27.18,25.39,26.23,25.52,24.09
2023,27.66,28.79,28.56,27.26,28.57,27.75,28.51,29.11,28.30,28.81,28.08,29.14,27.93,27.96,27.24,25.53,26.29,25.54,24.17
2024,27.73,28.88,28.69,27.33,28.64,27.82,28.64,29.27,28.46,28.88,28.12,29.20,28.06,28.00,27.24,25.55,26.28,25.50,24.21
2025,27.58,28.75,28.49,27.17,28.47,27.73,28.47,29.02,28.25,28.76,27.98,29.03,27.93,27.94,27.17,25.40,26.18,25.45,24.09
2026,27.68,28.89,28.56,27.31,28.50,27.86,28.58,29.09,28.40,28.75,28.06,29.08,28.07,28.02,27.30,25.51,26.33,25.53,24.22
2027,27.59,28.73,28.51,27.17,28.47,27.77,28.51,29.10,28.24,28.83,28.03,29.09,27.96,27.94,27.17,25.34,26.15,25.41,24.10
2028,27.66,28.86,28.60,27.22,28.62,27.90,28.55,29.19,28.37,28.87,28.16,29.20,28.07,27.96,27.19,25.39,26.15,25.48,24.24
2029,27.71,28.89,28.62,27.32,28.59,28.00,28.65,29.16,28.44,28.91,28.18,29.23,28.16,28.05,27.29,25.44,26.24,25.49,24.20
