Variable:,tas
,Suriname,Brokopondo,Commewijne,Coronie,Marowijne,Nickerie,Para,Paramaribo,Saramacca,Sipaliwini,Wanica
2015,26.34,26.20,26.85,26.72,26.86,26.74,26.82,26.81,26.81,26.17,26.81
2016,26.29,26.13,26.78,26.64,26.79,26.67,26.76,26.75,26.75,26.12,26.75
2017,26.56,26.50,27.06,26.89,27.07,26.92,27.05,27.04,27.04,26.40,27.04
2018,26.51,26.40,27.00,26.88,27.00,26.89,27.00,27.00,27.00,26.34,27.00
2019,26.37,26.24,26.95,26.78,26.97,26.80,26.91,26.89,26.89,26.17,26.89
2020,26.41,26.31,26.95,26.69,26.96,26.71,26.91,26.90,26.90,26.25,26.90
2021,26.45,26.32,27.01,26.85,27.03,26.87,26.96,26.93,26.93,26.27,26.93
2022,26.78,26.71,27.32,27.20,27.32,27.18,27.32,27.32,27.32,26.61,27.32
2023,26.68,26.57,27.24,27.09,27.25,27.10,27.21,27.19,27.19,26.49,27.19
2024,26.84,26.70,27.38,27.23,27.40,27.26,27.33,27.31,27.31,26.71,27.31
2025,26.58,26.43,27.15,27.01,27.16,27.03,27.13,27.12,27.12,26.39,27.12
2026,26.87,26.83,27.25,27.34,27.21,27.36,27.34,27.39,27.39,26.76,27.39
2027,26.67,26.56,27.22,27.07,27.22,27.10,27.20,27.20,27.20,26.50,27.20
2028,26.81,26.66,27.34,27.12,27.38,27.15,27.26,27.22,27.22,26.65,27.22
2029,26.82,26.71,27.33,27.21,27.35,27.25,27.28,27.26,27.26,26.65,27.26
2030,26.68,26.55,27.18,27.05,27.18,27.08,27.18,27.18,27.18,26.52,27.18
2031,26.86,26.70,27.38,27.20,27.39,27.23,27.35,27.34,27.34,26.73,27.34
2032,27.03,26.95,27.48,27.35,27.49,27.38,27.45,27.43,27.43,26.92,27.43
2033,26.78,26.65,27.26,27.13,27.26,27.15,27.25,27.25,27.25,26.62,27.25
2034,26.76,26.59,27.26,27.18,27.27,27.24,27.23,27.22,27.22,26.62,27.22
2035,26.73,26.58,27.20,27.07,27.20,27.11,27.19,27.19,27.19,26.59,27.19
2036,26.85,26.72,27.33,27.19,27.35,27.21,27.30,27.28,27.28,26.70,27.28
2037,27.10,26.99,27.60,27.46,27.61,27.48,27.58,27.57,27.57,26.97,27.57
2038,27.23,27.14,27.66,27.50,27.66,27.54,27.66,27.66,27.66,27.15,27.66
2039,27.23,27.10,27.68,27.59,27.69,27.61,27.65,27.64,27.64,27.13,27.64
2040,27.00,26.87,27.40,27.40,27.40,27.43,27.41,27.41,27.41,26.89,27.41
2041,26.95,26.79,27.43,27.30,27.45,27.35,27.38,27.36,27.36,26.84,27.36
