Variable:,tas
,Slovenia,Gorenjska,Goriska,"Jugovzodna Slovenija",Koroska,Notranjsko-kraska,Obalno-kraska,Osrednjeslovenska,Podravska,Pomurska,Savinjska,Spodnjeposavska,Zasavska
2015,10.02,9.98,13.08,12.18,9.82,14.01,15.36,11.09,10.43,12.12,9.87,10.42,9.73
2016,9.63,9.66,12.90,12.01,9.44,13.84,15.24,10.80,10.03,11.69,9.49,10.17,9.35
2017,9.78,9.78,12.92,11.99,9.59,13.81,15.16,10.88,10.18,11.77,9.65,10.22,9.51
2018,9.87,9.90,13.14,12.19,9.65,14.01,15.45,11.01,10.25,11.99,9.70,10.36,9.57
2019,9.99,10.08,13.26,12.17,9.80,13.96,15.42,11.10,10.36,11.98,9.85,10.41,9.72
2020,10.26,10.24,13.36,12.28,10.09,14.13,15.62,11.29,10.70,12.33,10.15,10.55,10.01
2021,10.29,10.29,13.41,12.47,10.14,14.29,15.69,11.38,10.73,12.30,10.19,10.72,10.05
2022,10.47,10.50,13.63,12.64,10.29,14.43,15.87,11.56,10.86,12.40,10.34,10.90,10.21
2023,10.17,10.17,13.29,12.32,9.97,14.09,15.49,11.23,10.56,12.23,10.02,10.58,9.88
2024,10.11,10.06,13.16,12.31,9.91,14.09,15.40,11.17,10.53,12.22,9.97,10.56,9.82
2025,10.43,10.46,13.51,12.57,10.24,14.32,15.66,11.50,10.80,12.37,10.29,10.85,10.16
2026,10.57,10.53,13.64,12.72,10.40,14.47,15.83,11.60,11.02,12.61,10.46,11.02,10.31
2027,10.33,10.36,13.48,12.47,10.15,14.26,15.57,11.39,10.76,12.39,10.21,10.73,10.07
2028,10.39,10.40,13.55,12.62,10.23,14.42,15.78,11.49,10.82,12.37,10.28,10.86,10.14
2029,10.42,10.47,13.57,12.57,10.24,14.41,15.77,11.53,10.81,12.44,10.29,10.79,10.16
2030,10.25,10.27,13.43,12.47,10.05,14.30,15.67,11.36,10.64,12.31,10.10,10.68,9.97
2031,10.54,10.58,13.70,12.72,10.36,14.55,15.90,11.65,10.93,12.51,10.41,10.95,10.28
2032,10.85,10.77,13.86,12.99,10.66,14.77,16.14,11.87,11.28,12.86,10.72,11.27,10.57
2033,10.39,10.39,13.52,12.59,10.19,14.39,15.75,11.48,10.78,12.44,10.24,10.82,10.10
2034,10.75,10.76,13.90,12.95,10.56,14.75,16.11,11.83,11.15,12.77,10.61,11.19,10.47
2035,10.70,10.68,13.85,12.91,10.51,14.68,16.04,11.76,11.13,12.76,10.57,11.17,10.42
2036,10.83,10.74,13.85,12.92,10.67,14.65,16.06,11.80,11.31,12.93,10.73,11.26,10.57
2037,10.82,10.79,13.87,12.97,10.65,14.73,16.08,11.86,11.26,12.88,10.71,11.27,10.56
2038,10.69,10.71,13.79,12.71,10.50,14.50,15.96,11.72,11.07,12.69,10.55,11.01,10.42
2039,10.53,10.49,13.67,12.77,10.32,14.55,15.91,11.59,10.95,12.64,10.38,11.01,10.23
2040,10.74,10.68,13.83,13.04,10.55,14.79,16.08,11.81,11.17,12.80,10.61,11.29,10.46
2041,10.64,10.59,13.66,12.76,10.48,14.53,15.92,11.67,11.08,12.64,10.54,11.06,10.39
2042,10.77,10.81,13.99,12.99,10.58,14.77,16.14,11.86,11.17,12.77,10.64,11.23,10.50
2043,10.84,10.82,13.90,12.94,10.66,14.73,16.13,11.88,11.25,12.82,10.72,11.22,10.58
2044,10.72,10.75,13.89,13.00,10.52,14.77,16.11,11.84,11.11,12.75,10.58,11.22,10.44
2045,10.96,10.93,14.02,13.07,10.78,14.83,16.22,11.98,11.39,13.02,10.84,11.37,10.70
2046,10.83,10.80,13.89,12.97,10.62,14.73,16.09,11.86,11.22,12.89,10.67,11.24,10.53
2047,11.06,11.05,14.18,13.23,10.87,15.01,16.34,12.11,11.48,13.08,10.93,11.50,10.79
2048,11.28,11.25,14.37,13.50,11.08,15.27,16.61,12.35,11.70,13.40,11.14,11.76,10.99
2049,11.17,11.16,14.28,13.39,11.03,15.14,16.46,12.24,11.65,13.18,11.10,11.68,10.94
2050,11.16,11.16,14.31,13.37,10.99,15.15,16.54,12.24,11.59,13.16,11.05,11.63,10.91
2051,11.12,11.06,14.20,13.39,10.92,15.18,16.54,12.21,11.55,13.27,10.98,11.62,10.84
2052,11.24,11.15,14.26,13.37,11.03,15.17,16.53,12.26,11.66,13.35,11.09,11.63,10.94
2053,11.27,11.23,14.32,13.44,11.11,15.20,16.57,12.32,11.72,13.31,11.17,11.73,11.02
2054,11.13,11.14,14.28,13.37,10.94,15.13,16.47,12.21,11.54,13.18,10.99,11.63,10.85
2055,11.50,11.49,14.59,13.62,11.34,15.41,16.79,12.55,11.94,13.54,11.39,11.90,11.25
2056,11.31,11.25,14.37,13.46,11.14,15.27,16.63,12.35,11.77,13.41,11.20,11.72,11.05
2057,11.18,11.18,14.32,13.44,10.98,15.24,16.60,12.29,11.57,13.22,11.03,11.66,10.89
2058,11.65,11.61,14.76,13.88,11.47,15.68,17.04,12.73,12.09,13.76,11.53,12.11,11.38
2059,11.43,11.48,14.64,13.68,11.22,15.46,16.91,12.55,11.81,13.52,11.28,11.91,11.15
2060,11.58,11.53,14.63,13.74,11.37,15.49,16.83,12.60,12.00,13.70,11.43,12.02,11.29
2061,11.51,11.55,14.68,13.75,11.33,15.54,16.92,12.63,11.91,13.50,11.39,11.99,11.25
2062,11.54,11.53,14.69,13.78,11.36,15.59,16.94,12.64,11.98,13.64,11.42,12.01,11.28
2063,11.71,11.68,14.81,13.81,11.53,15.58,16.99,12.72,12.16,13.82,11.59,12.11,11.44
2064,11.39,11.38,14.46,13.57,11.21,15.36,16.76,12.48,11.80,13.43,11.26,11.82,11.12
2065,11.88,11.81,14.90,14.00,11.69,15.75,17.15,12.89,12.32,14.00,11.75,12.30,11.60
2066,11.56,11.53,14.69,13.80,11.38,15.61,17.01,12.65,12.00,13.65,11.44,12.03,11.29
2067,11.69,11.62,14.75,13.85,11.52,15.66,17.06,12.74,12.15,13.73,11.59,12.11,11.43
2068,11.72,11.73,14.86,13.93,11.53,15.71,17.07,12.81,12.12,13.80,11.58,12.17,11.44
2069,11.82,11.72,14.84,13.99,11.62,15.79,17.13,12.85,12.26,13.93,11.69,12.24,11.53
2070,11.32,11.24,14.49,13.62,11.13,15.44,16.84,12.39,11.79,13.51,11.19,11.84,11.03
2071,11.74,11.78,14.91,13.87,11.53,15.71,17.15,12.84,12.10,13.69,11.59,12.10,11.46
2072,11.63,11.53,14.65,13.77,11.44,15.51,16.88,12.62,12.09,13.75,11.51,12.08,11.35
2073,11.81,11.81,14.94,14.00,11.63,15.78,17.16,12.89,12.23,13.90,11.68,12.26,11.54
2074,11.88,11.86,14.96,14.05,11.72,15.84,17.18,12.94,12.33,13.93,11.78,12.31,11.63
2075,11.60,11.57,14.67,13.82,11.42,15.60,16.96,12.68,12.03,13.67,11.48,12.07,11.33
2076,11.65,11.65,14.75,13.84,11.47,15.62,16.97,12.73,12.06,13.68,11.53,12.10,11.39
2077,11.74,11.74,14.94,14.01,11.58,15.78,17.14,12.82,12.20,13.79,11.64,12.27,11.49
2078,11.72,11.82,14.97,13.98,11.54,15.80,17.20,12.88,12.10,13.71,11.59,12.18,11.47
2079,11.80,11.77,14.94,14.07,11.62,15.85,17.20,12.88,12.24,13.83,11.68,12.32,11.53
2080,11.73,11.66,14.75,13.87,11.55,15.61,16.95,12.74,12.19,13.83,11.62,12.19,11.46
2081,11.93,11.90,14.96,14.04,11.75,15.78,17.11,12.95,12.35,13.98,11.80,12.35,11.66
2082,12.19,12.17,15.25,14.26,12.01,15.99,17.37,13.19,12.62,14.24,12.07,12.60,11.93
2083,11.86,11.85,14.91,14.06,11.70,15.88,17.22,12.98,12.26,13.77,11.75,12.30,11.61
2084,12.11,12.06,15.18,14.27,11.92,16.08,17.41,13.16,12.55,14.23,11.98,12.52,11.83
2085,11.75,11.88,15.09,14.03,11.54,15.77,17.16,12.88,12.11,13.78,11.59,12.27,11.47
2086,12.01,12.02,15.25,14.24,11.81,16.09,17.53,13.12,12.42,14.05,11.87,12.44,11.73
2087,12.17,12.17,15.37,14.31,11.98,16.11,17.50,13.20,12.61,14.28,12.04,12.58,11.89
2088,12.05,12.04,15.12,14.21,11.85,15.98,17.34,13.11,12.45,14.10,11.91,12.47,11.77
2089,12.10,12.13,15.23,14.29,11.94,16.13,17.49,13.23,12.51,14.08,11.99,12.52,11.86
2090,12.11,12.09,15.25,14.33,11.93,16.14,17.49,13.19,12.54,14.12,11.99,12.57,11.84
2091,11.95,11.92,15.07,14.19,11.74,15.88,17.28,12.98,12.36,14.06,11.80,12.48,11.65
2092,12.30,12.27,15.43,14.47,12.12,16.32,17.68,13.37,12.75,14.42,12.18,12.70,12.03
2093,12.13,12.08,15.09,14.27,11.96,16.00,17.28,13.16,12.56,14.14,12.01,12.58,11.87
2094,11.95,11.85,15.01,14.48,11.76,16.19,17.37,13.08,12.42,14.18,11.82,12.69,11.66
