Variable:,tas
,Zambia,Central,Copperbelt,Eastern,Luapula,Lusaka,North-Western,Northern,Southern,Western
2015,22.52,22.33,21.86,23.07,22.31,23.51,22.50,22.10,23.26,23.62
2016,22.54,22.40,21.90,23.20,22.28,23.67,22.49,22.13,23.26,23.48
2017,22.57,22.39,21.90,23.16,22.37,23.60,22.53,22.19,23.22,23.58
2018,22.66,22.46,22.01,23.22,22.44,23.67,22.63,22.24,23.39,23.79
2019,22.72,22.57,22.15,23.36,22.53,23.83,22.69,22.29,23.40,23.74
2020,22.74,22.61,22.13,23.24,22.49,23.81,22.78,22.25,23.41,23.90
2021,22.57,22.38,21.98,23.14,22.37,23.51,22.58,22.15,23.20,23.62
2022,22.82,22.67,22.19,23.40,22.62,23.91,22.80,22.43,23.46,23.79
2023,22.92,22.76,22.29,23.44,22.72,24.00,22.90,22.46,23.65,24.03
2024,22.99,22.85,22.38,23.58,22.80,24.15,23.00,22.56,23.63,23.97
2025,22.74,22.54,22.18,23.36,22.62,23.79,22.67,22.42,23.30,23.62
2026,22.98,22.82,22.35,23.52,22.78,24.04,22.99,22.55,23.69,23.96
2027,22.97,22.87,22.38,23.52,22.66,24.08,22.94,22.47,23.79,24.10
2028,23.07,22.91,22.40,23.61,22.78,24.11,23.08,22.59,23.86,24.22
2029,23.18,23.05,22.63,23.71,22.92,24.25,23.20,22.69,23.90,24.31
2030,22.97,22.83,22.27,23.55,22.64,24.12,22.95,22.46,23.84,24.07
2031,23.12,22.99,22.51,23.63,22.86,24.18,23.14,22.64,23.84,24.23
2032,23.18,23.01,22.56,23.70,22.93,24.19,23.21,22.72,23.90,24.30
2033,23.13,22.95,22.55,23.70,22.91,24.18,23.12,22.70,23.84,24.18
2034,23.23,23.14,22.56,23.81,23.06,24.44,23.13,22.81,23.98,24.23
2035,23.31,23.19,22.74,23.92,23.09,24.42,23.22,22.92,24.05,24.26
2036,23.16,22.99,22.58,23.75,22.89,24.24,23.19,22.71,23.87,24.19
2037,23.23,23.04,22.54,23.78,23.01,24.28,23.24,22.82,23.88,24.35
2038,23.36,23.21,22.68,23.99,23.11,24.62,23.30,22.93,24.12,24.36
2039,23.32,23.15,22.73,23.88,23.13,24.36,23.31,22.91,24.01,24.28
2040,23.20,23.02,22.55,23.72,22.95,24.31,23.21,22.74,23.92,24.28
2041,23.33,23.19,22.81,23.90,23.12,24.43,23.36,22.86,23.95,24.32
2042,23.65,23.52,23.05,24.15,23.35,24.71,23.69,23.11,24.43,24.84
2043,23.40,23.27,22.78,23.95,23.16,24.50,23.35,22.96,24.14,24.51
2044,23.53,23.44,22.90,24.07,23.20,24.77,23.54,22.99,24.39,24.67
2045,23.35,23.22,22.73,23.92,23.07,24.44,23.32,22.88,24.04,24.48
2046,23.61,23.45,22.95,24.07,23.34,24.71,23.65,23.11,24.34,24.75
2047,23.75,23.53,23.12,24.28,23.50,24.77,23.85,23.27,24.45,24.88
2048,23.76,23.63,23.07,24.26,23.44,24.92,23.76,23.21,24.67,24.99
2049,23.61,23.45,23.04,24.07,23.30,24.67,23.65,23.09,24.36,24.86
2050,23.76,23.66,23.19,24.24,23.43,24.90,23.81,23.16,24.66,24.99
2051,23.86,23.77,23.27,24.39,23.52,24.95,23.90,23.29,24.63,25.02
2052,24.05,23.97,23.51,24.53,23.72,25.18,24.11,23.47,24.88,25.27
2053,23.77,23.73,23.14,24.39,23.36,24.93,23.75,23.25,24.57,24.88
2054,23.92,23.75,23.23,24.56,23.64,25.04,23.89,23.48,24.66,25.02
