Variable:,tasmax
,France,Alsace,Aquitaine,Auvergne,Basse-Normandie,Bourgogne,Bretagne,Centre,Champagne-Ardenne,Corse,Franche-Comte,Haute-Normandie,Ile-de-France,Languedoc-Rousillon,Limousin,Lorraine,Midi-Pyrenees,Nord-Pas-de-Calais,Pays-de-la-Loire,Picardie,Poitou-Charentes,Provence-Alpes-Cote-d'Azur,Rhone-Alpes,Cayenne,Saint-laurent-du-maroni,"Administrative unit not available","Administrative unit not available",Arrondissement_du_vent,Arrondissement_souse_le_vent,Fort-de-France,"La Trinite","Le Marin",Saint-Pierre
2015,16.26,13.90,18.42,15.87,16.09,16.24,15.78,16.84,16.13,18.92,15.24,15.53,16.39,18.04,17.51,15.28,17.61,15.03,16.87,15.85,17.97,17.84,15.37,30.34,30.80,28.52,29.43,25.30,25.49,28.66,28.75,29.05,28.52
2016,16.43,14.08,18.44,16.04,16.27,16.51,15.93,17.15,16.44,18.88,15.48,15.64,16.67,18.11,17.74,15.52,17.65,15.09,17.09,16.00,18.21,17.91,15.53,30.53,30.95,28.48,29.36,25.43,25.65,28.67,28.75,29.04,28.53
2017,16.25,13.96,18.38,15.75,16.08,16.24,15.79,16.98,16.24,18.75,15.26,15.50,16.49,17.79,17.56,15.39,17.41,14.98,16.94,15.83,18.15,17.73,15.31,30.75,31.21,28.60,29.58,25.48,25.68,28.73,28.82,29.11,28.59
2018,16.50,14.23,18.50,16.01,16.32,16.55,15.91,17.12,16.50,18.98,15.56,15.76,16.76,18.10,17.69,15.64,17.62,15.27,17.11,16.16,18.28,17.93,15.58,30.51,31.00,28.50,29.54,25.52,25.73,28.68,28.76,29.05,28.54
2019,16.68,14.32,18.73,16.31,16.39,16.77,16.07,17.42,16.77,19.16,15.66,15.82,16.96,18.27,17.92,15.89,17.86,15.44,17.34,16.30,18.53,18.02,15.68,30.58,31.05,28.63,29.49,25.50,25.70,28.82,28.90,29.19,28.68
2020,16.58,14.15,18.63,16.20,16.38,16.59,16.02,17.28,16.58,19.10,15.47,15.83,16.88,18.27,17.94,15.70,17.86,15.40,17.20,16.23,18.39,17.98,15.56,30.53,31.01,28.63,29.42,25.39,25.59,28.76,28.85,29.15,28.62
2021,16.66,14.30,18.67,16.19,16.57,16.73,16.24,17.39,16.63,19.12,15.65,15.98,16.94,18.31,17.86,15.73,17.83,15.51,17.39,16.28,18.43,18.13,15.69,30.63,31.04,28.69,29.45,25.46,25.67,28.84,28.92,29.20,28.70
2022,16.79,14.52,18.79,16.33,16.55,16.84,16.16,17.38,16.88,19.26,15.83,16.02,17.03,18.46,17.96,16.00,18.02,15.65,17.32,16.46,18.44,18.25,15.87,30.92,31.46,28.78,29.57,25.69,25.88,28.91,28.99,29.28,28.77
2023,16.51,14.18,18.60,16.18,16.29,16.52,15.97,17.16,16.43,19.15,15.52,15.67,16.69,18.26,17.87,15.61,17.75,15.20,17.10,16.01,18.29,18.07,15.63,30.71,31.17,28.71,29.64,25.63,25.83,28.89,28.97,29.25,28.75
2024,16.63,14.31,18.68,16.22,16.47,16.57,16.10,17.31,16.53,19.21,15.70,15.93,16.86,18.26,17.96,15.72,17.83,15.35,17.27,16.26,18.38,18.12,15.74,30.92,31.39,28.88,29.69,25.52,25.72,28.99,29.08,29.37,28.85
2025,16.79,14.53,18.78,16.31,16.61,16.80,16.21,17.53,16.84,19.13,15.78,16.09,17.04,18.29,18.13,16.01,17.87,15.66,17.46,16.44,18.60,18.19,15.77,30.64,31.08,28.82,29.58,25.49,25.69,28.96,29.05,29.35,28.82
2026,16.88,14.66,18.90,16.39,16.61,16.91,16.23,17.49,16.92,19.33,15.97,16.10,17.09,18.49,18.05,16.09,18.06,15.69,17.39,16.50,18.58,18.33,16.01,30.81,31.33,28.79,29.64,25.57,25.78,28.99,29.08,29.37,28.85
2027,16.91,14.58,19.05,16.63,16.57,16.98,16.25,17.59,16.89,19.31,15.99,15.98,17.04,18.59,18.40,16.04,18.29,15.50,17.46,16.34,18.75,18.29,16.02,30.79,31.20,28.75,29.62,25.56,25.76,28.90,28.99,29.28,28.76
2028,16.91,14.58,18.92,16.49,16.70,17.05,16.11,17.62,17.00,19.27,15.88,16.24,17.24,18.52,18.22,16.12,18.10,15.72,17.42,16.57,18.62,18.26,15.95,30.99,31.36,28.90,29.74,25.73,25.93,29.00,29.08,29.37,28.86
2029,16.78,14.48,18.90,16.46,16.55,16.80,16.21,17.43,16.68,19.41,15.82,16.01,16.94,18.46,18.14,15.87,18.07,15.42,17.37,16.25,18.52,18.25,15.89,31.02,31.47,28.82,29.85,25.69,25.90,29.01,29.09,29.38,28.87
2030,16.81,14.36,18.87,16.53,16.62,16.91,16.28,17.46,16.80,19.20,15.90,15.96,17.01,18.46,18.14,15.89,18.06,15.56,17.43,16.37,18.57,18.19,16.01,30.86,31.29,28.90,29.69,25.71,25.90,29.05,29.14,29.44,28.90
2031,16.88,14.55,18.86,16.47,16.73,17.06,16.24,17.58,17.12,19.38,15.85,16.18,17.25,18.55,18.10,16.12,18.04,15.66,17.48,16.61,18.53,18.22,15.84,31.14,31.56,28.99,29.77,25.79,25.98,29.10,29.18,29.47,28.96
2032,17.17,14.93,19.18,16.76,16.93,17.24,16.43,17.87,17.19,19.64,16.22,16.40,17.43,18.80,18.43,16.40,18.34,15.95,17.70,16.77,18.91,18.57,16.24,31.03,31.51,28.97,29.75,25.78,25.98,29.07,29.16,29.45,28.93
2033,17.03,14.70,19.08,16.74,16.75,17.14,16.26,17.75,17.00,19.39,16.05,16.27,17.22,18.73,18.40,16.16,18.34,15.72,17.59,16.60,18.77,18.40,16.13,31.01,31.43,29.01,29.81,25.78,25.98,29.11,29.20,29.50,28.97
2034,17.07,14.79,19.17,16.74,16.87,16.93,16.51,17.63,16.90,19.67,15.99,16.30,17.19,18.82,18.43,16.06,18.43,15.89,17.67,16.64,18.84,18.65,16.27,30.87,31.32,28.90,29.82,25.85,26.05,29.04,29.12,29.41,28.90
2035,17.14,14.85,19.22,16.67,16.96,17.22,16.51,17.76,17.17,19.56,16.23,16.33,17.35,18.70,18.51,16.28,18.32,15.93,17.75,16.77,18.88,18.56,16.18,30.86,31.32,28.91,29.81,25.89,26.10,29.10,29.19,29.48,28.96
2036,17.23,14.98,19.25,16.87,16.97,17.33,16.52,18.00,17.27,19.57,16.22,16.44,17.49,18.82,18.68,16.43,18.41,15.96,17.79,16.78,19.03,18.62,16.17,31.04,31.42,28.91,29.77,25.73,25.93,29.10,29.18,29.47,28.96
2037,17.00,14.72,19.07,16.66,16.61,17.18,16.17,17.65,17.08,19.63,16.08,16.12,17.18,18.68,18.35,16.26,18.20,15.68,17.47,16.53,18.69,18.44,16.10,31.21,31.69,29.09,30.03,25.99,26.20,29.19,29.28,29.58,29.04
2038,17.02,14.73,19.13,16.68,16.63,17.11,16.23,17.66,17.00,19.57,16.14,16.07,17.14,18.84,18.30,16.20,18.43,15.60,17.49,16.49,18.66,18.60,16.23,31.40,31.93,29.11,30.04,26.05,26.24,29.26,29.34,29.62,29.12
2039,17.08,14.67,19.21,16.78,16.86,17.08,16.45,17.76,16.95,19.57,16.02,16.26,17.23,18.90,18.46,16.05,18.51,15.79,17.65,16.54,18.81,18.59,16.26,31.33,31.83,29.11,29.95,25.99,26.21,29.26,29.34,29.63,29.12
2040,17.13,14.78,19.21,16.84,16.95,17.25,16.51,17.90,17.05,19.50,16.12,16.34,17.34,18.69,18.57,16.20,18.38,15.85,17.84,16.58,18.95,18.47,16.18,31.16,31.63,29.15,29.87,25.90,26.10,29.23,29.31,29.60,29.09
2041,17.15,14.83,19.22,16.77,16.99,17.19,16.53,17.81,17.20,19.47,16.12,16.34,17.43,18.89,18.47,16.24,18.49,15.76,17.74,16.70,18.81,18.59,16.21,31.14,31.53,29.02,30.00,25.95,26.16,29.17,29.26,29.56,29.03
2042,17.11,14.93,19.24,16.79,16.70,17.14,16.32,17.70,17.04,19.74,16.20,16.22,17.19,18.91,18.44,16.27,18.49,15.72,17.59,16.56,18.81,18.68,16.29,31.27,31.68,29.15,30.05,25.97,26.16,29.29,29.38,29.67,29.15
2043,16.98,14.73,18.88,16.54,16.88,16.98,16.32,17.68,16.92,19.48,15.87,16.33,17.28,18.74,18.23,16.03,18.27,15.75,17.67,16.55,18.66,18.50,16.06,31.12,31.55,29.06,30.02,25.97,26.16,29.20,29.28,29.57,29.06
2044,17.32,15.08,19.48,16.99,17.07,17.39,16.58,18.05,17.31,19.61,16.36,16.45,17.52,19.01,18.78,16.44,18.72,15.95,17.90,16.78,19.12,18.62,16.37,31.15,31.56,29.04,29.99,26.09,26.28,29.09,29.18,29.48,28.95
2045,17.12,14.81,19.20,16.76,16.89,17.19,16.42,17.84,17.06,19.75,16.22,16.25,17.30,18.82,18.51,16.23,18.40,15.68,17.71,16.52,18.91,18.65,16.26,31.17,31.61,29.11,30.03,25.93,26.13,29.24,29.32,29.61,29.10
2046,17.02,14.79,19.08,16.71,16.74,17.08,16.33,17.67,16.94,19.65,16.08,16.19,17.16,18.74,18.41,16.13,18.35,15.63,17.51,16.55,18.71,18.54,16.15,31.52,31.99,29.16,30.09,26.03,26.24,29.30,29.39,29.68,29.16
2047,17.48,15.14,19.51,17.09,17.23,17.51,16.75,18.19,17.47,19.97,16.52,16.68,17.72,19.06,18.87,16.60,18.69,16.24,18.03,17.09,19.28,18.86,16.61,31.41,31.89,29.18,30.14,26.16,26.36,29.34,29.42,29.71,29.20
2048,17.56,15.47,19.48,17.13,17.25,17.67,16.70,18.22,17.61,20.02,16.70,16.77,17.84,19.15,18.83,16.85,18.67,16.30,18.03,17.17,19.21,19.00,16.72,31.73,32.25,29.32,30.23,26.21,26.40,29.50,29.58,29.87,29.36
2049,17.44,15.02,19.51,17.15,17.16,17.41,16.58,18.14,17.30,19.87,16.38,16.59,17.58,19.26,18.88,16.40,18.86,16.07,17.92,16.94,19.11,18.99,16.67,31.69,32.17,29.22,30.16,26.11,26.31,29.43,29.51,29.80,29.29
2050,17.65,15.30,19.63,17.37,17.26,17.81,16.70,18.35,17.61,20.19,16.73,16.73,17.81,19.41,19.04,16.79,18.93,16.22,18.05,17.08,19.27,19.21,16.93,31.47,31.95,29.16,30.14,26.11,26.33,29.32,29.41,29.70,29.18
2051,17.57,15.37,19.54,17.13,17.31,17.67,16.73,18.35,17.66,20.00,16.55,16.79,17.96,19.20,18.86,16.78,18.83,16.15,18.07,17.15,19.27,18.98,16.68,31.48,31.94,29.19,30.19,26.15,26.36,29.32,29.40,29.69,29.18
2052,17.58,15.35,19.45,17.14,17.36,17.72,16.77,18.39,17.70,19.90,16.60,16.83,17.91,19.09,18.82,16.83,18.66,16.39,18.15,17.26,19.38,18.91,16.56,31.80,32.36,29.43,30.36,26.15,26.36,29.65,29.74,30.04,29.51
2053,17.52,15.18,19.61,17.06,17.20,17.51,16.66,18.22,17.54,20.15,16.49,16.72,17.78,19.28,18.81,16.68,18.90,16.21,18.02,17.16,19.25,19.07,16.55,31.66,32.09,29.39,30.23,26.16,26.36,29.54,29.62,29.90,29.40
2054,17.70,15.54,19.77,17.42,17.25,17.92,16.68,18.41,17.73,20.06,16.81,16.75,17.93,19.43,19.07,16.97,19.07,16.21,18.06,17.13,19.38,19.05,16.88,31.66,32.11,29.37,30.18,26.09,26.29,29.49,29.58,29.88,29.35
2055,17.72,15.43,19.86,17.42,17.19,17.75,16.65,18.31,17.71,20.24,16.72,16.71,17.85,19.50,19.06,16.85,19.15,16.27,18.04,17.19,19.42,19.35,17.04,31.69,32.16,29.34,30.35,26.20,26.40,29.49,29.58,29.87,29.35
2056,17.64,15.34,19.76,17.33,17.30,17.68,16.62,18.34,17.67,20.13,16.58,16.80,17.97,19.47,19.03,16.72,19.19,16.24,18.03,17.24,19.32,19.10,16.73,31.66,32.11,29.35,30.13,26.19,26.39,29.45,29.53,29.82,29.31
2057,17.70,15.47,19.90,17.31,17.46,17.74,16.85,18.38,17.62,20.22,16.66,16.95,17.94,19.39,19.07,16.78,19.11,16.38,18.23,17.24,19.37,19.25,16.81,31.90,32.38,29.62,30.43,26.30,26.49,29.68,29.77,30.06,29.54
2058,17.84,15.59,19.72,17.38,17.69,17.91,17.00,18.52,17.92,20.33,16.89,17.21,18.07,19.65,19.00,17.08,19.20,16.59,18.40,17.44,19.43,19.21,16.89,31.67,32.24,29.39,30.26,26.19,26.39,29.46,29.54,29.82,29.32
2059,17.87,15.66,19.95,17.68,17.42,18.02,16.94,18.56,17.87,20.32,16.96,16.92,18.09,19.63,19.31,17.05,19.29,16.42,18.29,17.35,19.55,19.32,17.04,32.08,32.70,29.45,30.47,26.41,26.61,29.59,29.67,29.96,29.45
2060,17.90,15.60,19.88,17.56,17.61,18.00,17.03,18.68,17.91,20.34,17.00,17.02,18.15,19.52,19.31,17.03,19.15,16.47,18.42,17.40,19.66,19.32,17.00,32.26,32.78,29.53,30.46,26.58,26.77,29.68,29.76,30.05,29.54
2061,18.03,15.64,20.18,17.76,17.61,18.21,17.09,18.80,18.08,20.27,17.14,17.09,18.27,19.69,19.51,17.19,19.33,16.53,18.48,17.52,19.78,19.34,17.22,31.73,32.20,29.51,30.23,26.28,26.49,29.61,29.69,29.98,29.47
2062,17.98,15.92,20.04,17.56,17.65,18.11,17.09,18.65,18.07,20.35,17.19,17.16,18.16,19.54,19.29,17.31,19.27,16.69,18.44,17.55,19.63,19.35,17.07,31.75,32.15,29.39,30.33,26.34,26.57,29.48,29.57,29.86,29.34
2063,18.16,15.88,20.30,17.93,17.67,18.30,16.99,18.87,18.17,20.56,17.20,17.13,18.36,19.97,19.57,17.29,19.64,16.60,18.50,17.59,19.86,19.69,17.42,31.98,32.52,29.62,30.48,26.52,26.74,29.74,29.83,30.12,29.60
2064,17.69,15.51,19.87,17.37,17.35,17.76,16.80,18.39,17.71,20.22,16.75,16.78,17.88,19.35,19.10,16.86,19.08,16.19,18.18,17.19,19.47,19.16,16.79,31.86,32.34,29.56,30.54,26.41,26.63,29.73,29.81,30.10,29.59
2065,18.13,15.91,20.40,17.88,17.59,18.25,17.03,18.75,18.07,20.55,17.22,17.07,18.23,19.90,19.59,17.20,19.64,16.63,18.49,17.49,19.98,19.59,17.36,31.86,32.47,29.70,30.52,26.48,26.68,29.82,29.90,30.19,29.68
2066,17.96,15.52,19.91,17.57,17.73,18.10,17.14,18.53,18.17,20.39,16.92,17.00,18.23,19.73,19.13,17.10,19.25,16.81,18.42,17.65,19.46,19.47,17.15,31.96,32.43,29.63,30.58,26.46,26.67,29.79,29.88,30.18,29.65
2067,18.23,15.81,20.29,17.85,17.90,18.36,17.13,19.03,18.38,20.57,17.19,17.39,18.57,19.91,19.60,17.40,19.59,16.77,18.69,17.85,19.97,19.58,17.36,31.78,32.20,29.54,30.43,26.58,26.78,29.78,29.86,30.15,29.64
2068,17.97,15.77,19.91,17.68,17.61,18.11,17.04,18.72,17.97,20.44,17.13,17.01,18.17,19.64,19.35,17.16,19.23,16.54,18.41,17.38,19.62,19.50,17.19,32.11,32.76,29.56,30.58,26.48,26.68,29.71,29.79,30.07,29.58
2069,18.04,15.84,20.04,17.79,17.72,18.10,17.15,18.59,17.99,20.55,17.14,17.14,18.08,19.80,19.39,17.22,19.48,16.65,18.43,17.46,19.59,19.53,17.30,32.15,32.64,29.66,30.59,26.44,26.66,29.76,29.85,30.15,29.62
