Variable:,tasmax
,Guatemala,Guatemala,"El Progreso",Sacatepéquez,Chimaltenango,Escuintla,"Santa Rosa",Sololá,Totonicapán,Quetzaltenango,Suchitepéquez,Retalhuleu,"San Marcos",Huehuetenango,Quiché,"Baja Verapaz","Alta Verapaz",Petén,Izabal,Zacapa,Chiquimula,Jalapa,Jutiapa
2015,29.49,32.69,30.72,32.69,32.46,31.86,31.99,31.83,29.86,31.11,31.83,31.51,30.04,28.32,26.47,25.45,25.23,31.09,27.64,28.42,30.43,31.27,30.68
2016,29.57,32.81,30.84,32.81,32.56,31.96,32.12,31.91,29.99,31.20,31.91,31.60,30.17,28.47,26.58,25.54,25.34,31.07,27.81,28.56,30.53,31.37,30.79
2017,29.59,32.80,30.84,32.80,32.57,31.99,32.12,31.95,30.02,31.24,31.95,31.64,30.22,28.50,26.59,25.53,25.32,31.12,27.76,28.58,30.64,31.44,30.88
2018,29.57,32.79,30.82,32.79,32.57,32.01,32.12,32.00,30.04,31.28,32.00,31.69,30.23,28.49,26.58,25.50,25.27,31.12,27.65,28.51,30.63,31.43,30.87
2019,29.65,32.79,30.84,32.79,32.58,32.01,32.11,32.02,30.03,31.30,32.02,31.71,30.25,28.47,26.60,25.55,25.35,31.26,27.80,28.58,30.61,31.42,30.85
2020,29.57,32.75,30.79,32.75,32.53,31.96,32.08,31.93,29.98,31.22,31.93,31.62,30.18,28.45,26.56,25.51,25.30,31.13,27.73,28.52,30.56,31.37,30.81
2021,29.59,32.89,30.91,32.89,32.67,32.10,32.23,32.08,30.06,31.34,32.08,31.76,30.24,28.46,26.59,25.55,25.33,31.10,27.77,28.60,30.67,31.49,30.93
2022,29.65,32.90,30.94,32.90,32.68,32.11,32.23,32.10,30.12,31.38,32.10,31.79,30.31,28.55,26.70,25.67,25.46,31.16,27.84,28.65,30.66,31.49,30.92
2023,29.90,32.95,31.04,32.95,32.72,32.14,32.27,32.11,30.19,31.41,32.11,31.81,30.39,28.68,26.83,25.80,25.63,31.52,28.07,28.86,30.85,31.63,31.06
2024,29.81,32.99,31.02,32.99,32.77,32.19,32.32,32.17,30.21,31.45,32.17,31.85,30.39,28.65,26.78,25.72,25.51,31.38,27.96,28.73,30.74,31.57,31.01
2025,29.76,32.89,30.94,32.89,32.69,32.13,32.22,32.15,30.18,31.43,32.15,31.84,30.40,28.64,26.74,25.67,25.45,31.36,27.85,28.66,30.73,31.53,30.97
2026,29.94,33.08,31.17,33.08,32.85,32.28,32.41,32.25,30.37,31.56,32.25,31.94,30.55,28.89,27.00,25.95,25.74,31.44,28.12,28.94,30.99,31.76,31.21
2027,29.74,32.83,30.90,32.83,32.62,32.07,32.18,32.05,30.08,31.34,32.05,31.75,30.30,28.53,26.67,25.62,25.43,31.37,27.83,28.67,30.69,31.48,30.94
2028,29.92,33.14,31.18,33.14,32.93,32.36,32.45,32.36,30.37,31.63,32.36,32.04,30.56,28.80,26.89,25.83,25.65,31.47,28.10,28.94,30.97,31.77,31.20
2029,30.06,33.20,31.28,33.20,32.97,32.37,32.51,32.34,30.41,31.63,32.34,32.02,30.59,28.90,27.05,26.02,25.87,31.61,28.30,29.09,31.02,31.83,31.25
2030,29.75,32.99,31.04,32.99,32.77,32.20,32.32,32.18,30.21,31.46,32.18,31.87,30.42,28.67,26.77,25.71,25.51,31.33,27.89,28.77,30.83,31.63,31.07
2031,29.87,33.05,31.09,33.05,32.85,32.30,32.39,32.32,30.34,31.60,32.32,32.01,30.54,28.78,26.86,25.77,25.57,31.43,28.04,28.83,30.88,31.68,31.13
2032,30.07,33.22,31.27,33.22,32.99,32.42,32.55,32.39,30.39,31.66,32.39,32.08,30.59,28.81,26.98,25.95,25.80,31.68,28.29,29.06,31.00,31.82,31.26
2033,29.96,33.12,31.17,33.12,32.90,32.33,32.44,32.33,30.39,31.62,32.33,32.02,30.58,28.86,26.99,25.94,25.73,31.50,28.09,28.92,30.90,31.72,31.15
2034,29.89,33.08,31.13,33.08,32.87,32.30,32.41,32.30,30.32,31.58,32.30,31.99,30.53,28.77,26.88,25.81,25.60,31.46,28.07,28.85,30.95,31.74,31.18
2035,29.99,33.19,31.25,33.19,32.95,32.37,32.51,32.32,30.33,31.60,32.32,32.02,30.54,28.77,26.95,25.95,25.76,31.50,28.18,29.03,31.06,31.85,31.28
2036,30.06,33.24,31.28,33.24,33.01,32.41,32.53,32.38,30.45,31.67,32.38,32.07,30.65,28.94,27.06,26.01,25.80,31.64,28.21,29.00,31.04,31.86,31.27
2037,30.28,33.55,31.56,33.55,33.31,32.70,32.85,32.66,30.70,31.94,32.66,32.33,30.87,29.17,27.33,26.30,26.05,31.83,28.40,29.22,31.29,32.13,31.54
2038,30.41,33.55,31.63,33.55,33.32,32.72,32.83,32.72,30.74,31.99,32.72,32.39,30.91,29.19,27.36,26.34,26.18,31.95,28.67,29.46,31.45,32.23,31.63
2039,30.23,33.34,31.42,33.34,33.11,32.54,32.67,32.51,30.59,31.81,32.51,32.20,30.80,29.08,27.19,26.13,25.95,31.81,28.38,29.21,31.24,32.02,31.46
2040,30.13,33.27,31.32,33.27,33.05,32.48,32.61,32.45,30.50,31.74,32.45,32.14,30.69,28.97,27.07,26.01,25.80,31.74,28.24,29.05,31.11,31.91,31.35
2041,30.16,33.38,31.44,33.38,33.17,32.60,32.71,32.60,30.61,31.87,32.60,32.28,30.79,29.03,27.17,26.12,25.91,31.72,28.31,29.20,31.31,32.08,31.52
2042,30.26,33.32,31.41,33.32,33.11,32.55,32.66,32.54,30.57,31.82,32.54,32.23,30.77,29.03,27.19,26.17,26.04,31.83,28.54,29.26,31.13,31.94,31.39
2043,30.46,33.48,31.58,33.48,33.25,32.64,32.77,32.62,30.70,31.91,32.62,32.31,30.89,29.21,27.36,26.34,26.21,32.09,28.73,29.44,31.32,32.12,31.53
2044,30.25,33.36,31.43,33.36,33.13,32.54,32.68,32.51,30.55,31.80,32.51,32.20,30.76,29.03,27.18,26.15,25.95,31.84,28.44,29.19,31.25,32.03,31.46
2045,30.36,33.42,31.49,33.42,33.19,32.60,32.74,32.56,30.67,31.86,32.56,32.25,30.86,29.21,27.33,26.27,26.07,32.02,28.49,29.24,31.25,32.05,31.48
2046,30.47,33.56,31.65,33.56,33.31,32.70,32.86,32.63,30.77,31.93,32.63,32.31,30.92,29.31,27.45,26.44,26.25,31.99,28.76,29.47,31.46,32.24,31.66
2047,30.54,33.61,31.68,33.61,33.40,32.82,32.92,32.83,30.86,32.11,32.83,32.51,31.04,29.31,27.46,26.42,26.23,32.18,28.65,29.45,31.45,32.25,31.68
2048,30.68,33.78,31.84,33.78,33.55,32.97,33.10,32.94,31.00,32.23,32.94,32.63,31.18,29.47,27.61,26.56,26.36,32.32,28.78,29.59,31.64,32.43,31.86
2049,30.51,33.57,31.65,33.57,33.34,32.75,32.89,32.72,30.78,32.01,32.72,32.41,30.97,29.27,27.45,26.44,26.26,32.11,28.71,29.43,31.38,32.19,31.62
2050,30.42,33.58,31.65,33.58,33.33,32.74,32.90,32.68,30.76,31.97,32.68,32.36,30.94,29.26,27.41,26.40,26.22,31.98,28.65,29.42,31.37,32.19,31.62
2051,30.56,33.73,31.78,33.73,33.50,32.90,33.04,32.87,30.93,32.16,32.87,32.56,31.14,29.40,27.55,26.52,26.31,32.14,28.71,29.51,31.53,32.35,31.77
2052,30.72,33.80,31.88,33.80,33.58,32.99,33.12,32.98,31.06,32.27,32.98,32.66,31.23,29.56,27.72,26.69,26.50,32.30,28.93,29.66,31.62,32.43,31.86
2053,30.62,33.70,31.78,33.70,33.46,32.87,33.02,32.81,30.92,32.12,32.81,32.51,31.12,29.45,27.59,26.56,26.37,32.21,28.81,29.57,31.58,32.37,31.79
2054,30.62,33.70,31.77,33.70,33.43,32.82,33.00,32.72,30.85,32.03,32.72,32.41,31.01,29.39,27.54,26.52,26.33,32.24,28.77,29.55,31.56,32.35,31.77
2055,30.71,33.78,31.85,33.78,33.56,32.99,33.11,32.99,31.00,32.26,32.99,32.67,31.20,29.46,27.61,26.58,26.41,32.37,28.86,29.65,31.63,32.43,31.86
2056,30.66,33.78,31.84,33.78,33.55,32.96,33.08,32.93,31.03,32.23,32.93,32.62,31.20,29.54,27.63,26.57,26.39,32.26,28.86,29.62,31.60,32.41,31.83
2057,30.74,33.91,31.96,33.91,33.67,33.08,33.22,33.04,31.14,32.34,33.04,32.72,31.31,29.64,27.74,26.68,26.50,32.30,28.94,29.73,31.69,32.51,31.93
2058,30.67,33.89,31.95,33.89,33.67,33.09,33.21,33.07,31.09,32.34,33.07,32.75,31.26,29.53,27.67,26.63,26.43,32.24,28.87,29.71,31.78,32.56,31.99
2059,31.00,33.87,32.00,33.87,33.65,33.08,33.20,33.07,31.17,32.37,33.07,32.75,31.34,29.69,27.87,26.84,26.72,32.73,29.19,29.90,31.79,32.56,32.01
2060,30.91,34.09,32.14,34.09,33.83,33.22,33.38,33.15,31.26,32.45,33.15,32.83,31.41,29.78,27.95,26.92,26.73,32.51,29.13,29.89,31.82,32.66,32.07
2061,30.82,33.88,31.96,33.88,33.64,33.04,33.17,33.01,31.13,32.31,33.01,32.70,31.31,29.66,27.80,26.76,26.58,32.46,29.00,29.76,31.71,32.51,31.92
2062,30.75,34.01,32.06,34.01,33.76,33.16,33.31,33.11,31.17,32.40,33.11,32.80,31.37,29.65,27.80,26.77,26.55,32.27,28.96,29.79,31.88,32.67,32.08
2063,30.86,33.92,32.03,33.92,33.70,33.12,33.24,33.11,31.20,32.41,33.11,32.80,31.39,29.71,27.87,26.84,26.66,32.42,29.07,29.86,31.84,32.61,32.04
2064,30.97,34.09,32.16,34.09,33.82,33.19,33.37,33.10,31.23,32.40,33.10,32.78,31.39,29.79,27.95,26.93,26.75,32.57,29.19,29.94,31.89,32.71,32.10
2065,30.97,33.99,32.10,33.99,33.76,33.17,33.31,33.14,31.22,32.43,33.14,32.83,31.40,29.71,27.93,26.92,26.73,32.58,29.13,29.91,31.93,32.69,32.13
2066,31.04,34.11,32.18,34.11,33.87,33.27,33.41,33.23,31.31,32.52,33.23,32.90,31.45,29.81,28.01,27.00,26.79,32.68,29.20,29.93,31.90,32.72,32.13
2067,30.80,33.98,32.01,33.98,33.76,33.17,33.28,33.16,31.22,32.44,33.16,32.84,31.40,29.69,27.75,26.68,26.49,32.39,28.95,29.74,31.73,32.56,31.98
2068,31.11,34.14,32.25,34.14,33.90,33.30,33.43,33.26,31.35,32.55,33.26,32.94,31.53,29.86,28.05,27.05,26.90,32.72,29.33,30.09,32.02,32.81,32.22
2069,31.09,34.05,32.18,34.05,33.78,33.16,33.33,33.08,31.25,32.40,33.08,32.76,31.40,29.81,28.03,27.04,26.89,32.77,29.29,30.06,31.99,32.75,32.16
2070,30.99,34.10,32.15,34.10,33.87,33.27,33.38,33.27,31.39,32.57,33.27,32.94,31.55,29.93,28.02,26.93,26.72,32.63,29.08,29.88,31.89,32.71,32.11
2071,31.09,34.09,32.19,34.09,33.85,33.26,33.40,33.22,31.37,32.53,33.22,32.91,31.53,29.93,28.10,27.08,26.87,32.70,29.23,29.98,31.98,32.76,32.18
2072,31.11,34.19,32.31,34.19,33.95,33.36,33.51,33.30,31.46,32.62,33.30,32.99,31.65,30.04,28.14,27.09,26.94,32.66,29.34,30.17,32.13,32.89,32.32
2073,31.29,34.41,32.49,34.41,34.14,33.51,33.69,33.43,31.61,32.75,33.43,33.11,31.77,30.19,28.29,27.23,27.08,32.85,29.51,30.29,32.22,33.03,32.43
2074,31.04,34.24,32.26,34.24,34.01,33.41,33.53,33.40,31.52,32.70,33.40,33.08,31.68,30.04,28.10,27.01,26.81,32.63,29.19,29.95,31.87,32.75,32.15
2075,31.17,34.10,32.23,34.10,33.89,33.32,33.41,33.33,31.42,32.62,33.33,33.01,31.59,29.92,28.08,27.04,26.92,32.85,29.37,30.12,31.99,32.77,32.20
2076,31.10,34.24,32.28,34.24,34.00,33.40,33.53,33.37,31.48,32.67,33.37,33.06,31.64,30.00,28.10,27.02,26.82,32.75,29.18,30.01,32.02,32.84,32.25
