Variable:,tasmax
,Honduras,Atlantida,Choluteca,Colon,Comayagua,Copan,Cortes,"Francisco Morazan","Gracias A Dios",Intibuca,"Islas De Bahia","La Paz",Lempira,"Name Unknown",Ocotepeque,Olancho,Paraiso,"Santa Barbara",Valle,Yoro
2015,29.06,27.91,32.45,28.23,29.68,29.54,28.39,30.13,30.09,30.22,29.35,30.55,30.15,30.15,30.32,28.16,29.96,28.96,32.63,27.87
2016,29.10,28.02,32.66,28.22,29.69,29.67,28.52,30.21,30.13,30.33,29.33,30.64,30.27,30.27,30.43,28.16,30.06,29.10,32.88,27.97
2017,29.19,28.14,32.57,28.28,29.83,29.68,28.56,30.30,30.14,30.38,29.46,30.69,30.30,30.30,30.50,28.27,30.19,29.08,32.74,28.10
2018,29.06,27.90,32.70,28.11,29.80,29.64,28.40,30.29,30.06,30.36,29.29,30.72,30.28,30.28,30.49,28.15,30.13,29.01,32.91,27.87
2019,29.24,28.13,32.72,28.39,29.86,29.69,28.58,30.37,30.20,30.37,29.49,30.75,30.28,30.28,30.48,28.36,30.27,29.11,32.91,28.10
2020,29.09,28.07,32.54,28.25,29.60,29.61,28.51,30.12,30.05,30.24,29.40,30.54,30.18,30.18,30.41,28.17,30.02,29.04,32.74,28.02
2021,29.12,28.02,32.68,28.16,29.81,29.69,28.52,30.30,30.13,30.37,29.37,30.72,30.29,30.29,30.52,28.18,30.11,29.07,32.89,27.97
2022,29.22,28.13,32.75,28.35,29.84,29.75,28.59,30.33,30.23,30.45,29.45,30.76,30.38,30.38,30.55,28.33,30.23,29.15,32.91,28.09
2023,29.43,28.35,32.91,28.54,30.04,29.93,28.81,30.53,30.43,30.60,29.72,30.94,30.53,30.53,30.72,28.50,30.40,29.35,33.09,28.31
2024,29.41,28.30,32.77,28.50,29.90,29.80,28.75,30.40,30.47,30.43,29.79,30.79,30.35,30.35,30.59,28.46,30.31,29.24,32.93,28.26
2025,29.31,28.20,32.80,28.45,30.00,29.75,28.65,30.48,30.29,30.44,29.65,30.87,30.34,30.34,30.58,28.40,30.28,29.16,33.03,28.17
2026,29.41,28.23,32.91,28.46,29.99,29.99,28.78,30.52,30.40,30.62,29.76,30.92,30.56,30.56,30.82,28.49,30.46,29.40,33.08,28.19
2027,29.31,28.24,32.79,28.34,30.00,29.72,28.65,30.47,30.37,30.42,29.64,30.85,30.32,30.32,30.54,28.31,30.27,29.11,33.00,28.20
2028,29.47,28.41,32.97,28.57,30.10,30.00,28.85,30.59,30.48,30.68,29.68,31.01,30.61,30.61,30.83,28.55,30.43,29.39,33.17,28.38
2029,29.56,28.52,32.99,28.69,30.20,30.11,28.99,30.68,30.48,30.77,29.83,31.09,30.70,30.70,30.89,28.66,30.54,29.53,33.18,28.48
2030,29.31,28.16,32.91,28.33,30.12,29.86,28.63,30.59,30.21,30.62,29.59,30.98,30.54,30.54,30.71,28.40,30.48,29.20,33.08,28.13
2031,29.55,28.44,32.95,28.73,30.04,29.93,28.86,30.57,30.61,30.59,29.80,30.95,30.50,30.50,30.73,28.69,30.51,29.35,33.13,28.40
2032,29.59,28.52,33.04,28.70,30.18,30.09,29.00,30.67,30.58,30.73,29.83,31.08,30.65,30.65,30.86,28.71,30.56,29.53,33.22,28.48
2033,29.41,28.22,32.90,28.56,29.92,29.90,28.73,30.43,30.51,30.53,29.77,30.87,30.45,30.45,30.72,28.46,30.31,29.31,33.09,28.18
2034,29.50,28.44,33.06,28.58,30.18,29.99,28.92,30.69,30.44,30.67,29.71,31.07,30.58,30.58,30.80,28.62,30.57,29.42,33.26,28.39
2035,29.53,28.33,33.02,28.64,30.23,30.12,28.85,30.69,30.54,30.84,29.83,31.12,30.78,30.78,30.95,28.62,30.56,29.49,33.19,28.30
2036,29.53,28.51,33.22,28.57,30.25,30.12,29.00,30.77,30.41,30.81,29.75,31.18,30.73,30.73,30.92,28.63,30.67,29.54,33.41,28.46
2037,29.77,28.67,33.29,28.90,30.31,30.27,29.14,30.84,30.78,30.90,30.01,31.24,30.82,30.82,31.10,28.89,30.81,29.68,33.45,28.63
2038,29.87,28.80,33.32,28.95,30.55,30.52,29.34,31.02,30.86,31.16,29.97,31.44,31.11,31.11,31.31,28.99,30.88,29.94,33.51,28.76
2039,29.76,28.56,33.23,28.87,30.44,30.30,29.07,30.90,30.77,30.99,30.01,31.32,30.92,30.92,31.11,28.86,30.76,29.68,33.41,28.54
2040,29.70,28.56,33.16,28.81,30.30,30.15,29.01,30.79,30.72,30.84,30.03,31.19,30.76,30.76,30.97,28.78,30.68,29.55,33.33,28.53
2041,29.68,28.60,33.24,28.80,30.35,30.28,29.07,30.84,30.64,30.97,29.87,31.27,30.91,30.91,31.15,28.80,30.70,29.63,33.43,28.55
2042,29.82,28.78,33.26,28.95,30.39,30.31,29.24,30.89,30.85,30.97,30.06,31.30,30.89,30.89,31.03,28.87,30.76,29.77,33.48,28.74
2043,29.97,29.02,33.32,29.13,30.57,30.46,29.46,31.03,30.94,31.05,30.14,31.42,30.98,30.98,31.18,29.08,30.91,29.94,33.49,28.97
2044,29.83,28.81,33.32,28.98,30.46,30.36,29.27,30.95,30.71,31.01,30.03,31.35,30.95,30.95,31.13,28.96,30.86,29.80,33.48,28.77
2045,29.83,28.80,33.39,28.91,30.52,30.37,29.27,31.01,30.78,31.05,29.97,31.41,30.97,30.97,31.14,28.94,30.92,29.81,33.55,28.75
2046,30.02,29.05,33.54,29.10,30.72,30.62,29.56,31.19,30.95,31.26,30.06,31.60,31.21,31.21,31.36,29.12,31.06,30.10,33.70,28.99
2047,29.93,28.82,33.41,29.06,30.59,30.50,29.33,31.07,30.91,31.16,30.16,31.49,31.08,31.08,31.30,29.02,30.91,29.92,33.62,28.79
2048,30.14,29.06,33.68,29.29,30.79,30.68,29.53,31.28,31.05,31.35,30.40,31.70,31.27,31.27,31.49,29.28,31.15,30.08,33.86,29.02
2049,30.09,29.06,33.49,29.29,30.62,30.51,29.50,31.14,30.98,31.14,30.31,31.51,31.07,31.07,31.26,29.28,31.11,29.98,33.65,29.02
2050,29.91,28.81,33.50,29.02,30.68,30.51,29.33,31.15,30.82,31.21,30.11,31.56,31.13,31.13,31.27,29.05,31.00,29.92,33.68,28.78
2051,30.09,29.07,33.63,29.22,30.82,30.62,29.51,31.29,31.01,31.32,30.22,31.69,31.25,31.25,31.42,29.23,31.14,30.03,33.82,29.03
2052,30.20,29.17,33.69,29.24,30.85,30.79,29.66,31.33,31.12,31.46,30.40,31.75,31.41,31.41,31.54,29.28,31.22,30.24,33.86,29.13
2053,30.13,29.17,33.57,29.21,30.87,30.67,29.63,31.29,31.05,31.33,30.29,31.70,31.25,31.25,31.45,29.26,31.11,30.11,33.73,29.12
2054,30.19,29.08,33.59,29.42,30.73,30.58,29.51,31.23,31.18,31.20,30.45,31.60,31.12,31.12,31.39,29.34,31.17,30.01,33.74,29.05
2055,30.23,29.20,33.73,29.36,30.84,30.70,29.63,31.35,31.18,31.36,30.44,31.73,31.27,31.27,31.49,29.39,31.30,30.11,33.88,29.15
2056,30.17,29.13,33.61,29.28,30.90,30.71,29.62,31.36,31.07,31.36,30.38,31.74,31.29,31.29,31.48,29.29,31.22,30.14,33.79,29.09
2057,30.32,29.15,33.84,29.46,30.96,30.79,29.63,31.45,31.36,31.48,30.51,31.85,31.40,31.40,31.57,29.45,31.36,30.21,33.99,29.12
