Variable:,tasmax
,Hungary,Bacs-kiskun,Baranya,Bekes,Borsod-abauj-zemplen,Budapest,Csongrad,Fejer,Gyor-moson-sopron,Hajdu-bihar,Heves,Jasz-nagykun-szolnok,Komarom-esztergom,Nograd,Pest,Somogy,Szabolcs-szatmar-bereg,Tolna,Vas,Veszprem,Zala
2015,16.59,17.37,17.32,17.41,15.93,17.10,17.58,17.00,16.40,16.85,16.84,17.12,16.83,16.43,17.07,17.23,16.31,17.33,16.02,16.84,17.01
2016,16.18,17.05,16.93,17.03,15.60,16.66,17.20,16.53,15.84,16.40,16.54,16.81,16.31,16.09,16.64,16.80,15.83,16.92,15.46,16.32,16.54
2017,16.39,17.26,17.15,17.24,15.76,16.78,17.39,16.76,16.18,16.66,16.64,16.93,16.55,16.17,16.76,17.04,16.13,17.19,15.78,16.64,16.82
2018,16.59,17.47,17.41,17.41,16.02,16.95,17.58,16.86,16.32,16.87,16.82,17.09,16.61,16.43,16.93,17.26,16.35,17.38,15.98,16.77,17.07
2019,16.62,17.49,17.31,17.46,15.99,17.03,17.66,16.99,16.48,16.75,16.81,17.10,16.83,16.45,17.02,17.12,16.27,17.32,16.06,16.87,16.90
2020,17.00,17.87,17.75,17.79,16.39,17.50,17.96,17.40,16.72,17.20,17.29,17.55,17.20,16.90,17.48,17.57,16.63,17.77,16.35,17.17,17.35
2021,16.97,17.89,17.82,17.75,16.27,17.54,17.96,17.44,16.66,17.28,17.33,17.61,17.20,16.79,17.51,17.80,16.63,17.88,16.36,17.18,17.48
2022,17.24,18.10,17.83,18.17,16.61,17.69,18.32,17.53,16.94,17.62,17.57,17.88,17.34,17.04,17.67,17.64,17.03,17.89,16.54,17.34,17.41
2023,16.73,17.55,17.50,17.59,16.14,17.20,17.78,17.15,16.51,16.92,17.05,17.34,16.96,16.57,17.18,17.37,16.34,17.52,16.15,16.96,17.20
2024,16.76,17.66,17.60,17.76,16.12,17.10,17.89,17.08,16.50,17.00,16.96,17.28,16.85,16.55,17.08,17.48,16.50,17.54,16.17,16.95,17.24
2025,16.91,17.84,17.68,17.83,16.42,17.22,18.03,17.12,16.46,17.25,17.16,17.47,16.83,16.69,17.20,17.54,16.76,17.68,16.20,16.93,17.31
2026,17.21,18.05,17.92,18.00,16.57,17.62,18.15,17.59,17.03,17.43,17.46,17.73,17.40,17.01,17.60,17.87,16.90,17.96,16.66,17.48,17.68
