Variable:,tasmax
,Iceland,Arnes,Austur-baroastrandar,Austur-hunavatns,Austur-skaftafells,Borgarfjaroar,Dala,Eyjafjaroar,Gullbringu,Kjosar,Myra,"Nordhurland Eystra",Norour-isafjaroar,Norour-mùla,Norour-pingeyjar,Rangárvalla,Skagafjaroar,"Snaefellsnes- Og Hna",Stranda,Suour-mùla,Suour-pingeyjar,Vestur-baroastrandar,Vestur-hunavatns,Vestur-isafjaroar,Vestur-skaftafells
2015,5.64,7.26,6.53,5.90,6.32,7.31,6.76,5.26,8.90,7.65,7.53,7.53,6.10,5.03,4.72,7.75,5.49,7.99,6.44,7.14,4.87,6.22,6.08,5.70,7.94
2016,5.78,7.47,6.67,6.19,6.47,7.52,7.00,5.45,8.88,7.83,7.70,7.70,6.15,5.18,4.78,7.91,5.77,7.98,6.71,7.28,5.01,6.32,6.38,5.76,8.06
2017,5.68,7.25,6.55,5.93,6.29,7.34,6.79,5.33,9.01,7.74,7.61,7.61,6.21,5.06,4.79,7.75,5.55,8.10,6.47,7.19,4.92,6.30,6.10,5.77,7.87
2018,5.48,7.01,6.49,5.77,6.02,7.12,6.71,5.06,8.82,7.48,7.36,7.36,6.09,4.83,4.59,7.47,5.32,7.89,6.44,6.95,4.63,6.17,6.02,5.65,7.63
2019,5.60,7.26,6.58,5.95,6.26,7.31,6.81,5.22,8.94,7.66,7.53,7.53,6.08,5.01,4.66,7.71,5.51,7.97,6.48,7.09,4.79,6.29,6.13,5.76,7.85
2020,5.75,7.23,6.53,6.04,6.37,7.26,6.78,5.47,8.88,7.59,7.47,7.47,6.04,5.24,4.90,7.74,5.69,7.96,6.47,7.27,5.01,6.26,6.20,5.71,7.95
2021,5.81,7.26,6.95,6.01,6.37,7.39,7.10,5.46,9.01,7.77,7.65,7.65,6.54,5.12,4.88,7.73,5.64,8.22,6.81,7.32,5.01,6.61,6.27,6.12,7.90
2022,5.88,7.30,7.01,6.23,6.32,7.40,7.18,5.50,8.98,7.76,7.66,7.66,6.68,5.12,4.89,7.71,5.77,8.30,6.97,7.14,4.99,6.66,6.52,6.17,7.86
2023,6.16,7.66,7.09,6.60,6.89,7.65,7.31,5.83,9.06,7.90,7.83,7.83,6.64,5.66,5.14,8.09,6.17,8.37,7.05,7.73,5.44,6.76,6.79,6.22,8.33
2024,5.74,7.35,6.89,6.15,6.33,7.42,7.08,5.45,9.05,7.82,7.67,7.67,6.44,4.98,4.61,7.85,5.74,8.13,6.78,7.17,4.98,6.43,6.38,5.87,7.98
