Variable:,tasmax
,Lebanon,Bekaa,Beirut,North,South,"Mount Lebanon",Nabatiye
2015,22.82,23.49,25.30,22.64,25.30,24.75,25.30
2016,22.63,23.28,25.06,22.46,25.06,24.53,25.06
2017,22.81,23.47,25.29,22.66,25.29,24.77,25.29
2018,22.67,23.32,25.12,22.51,25.12,24.59,25.12
2019,22.83,23.49,25.27,22.62,25.27,24.71,25.27
2020,22.66,23.36,25.28,22.52,25.28,24.73,25.28
2021,22.80,23.47,25.30,22.62,25.30,24.75,25.30
2022,23.18,23.81,25.50,22.97,25.50,24.97,25.50
2023,23.15,23.81,25.62,22.96,25.62,25.07,25.62
2024,23.21,23.85,25.57,23.01,25.57,25.04,25.57
2025,23.26,23.90,25.64,23.07,25.64,25.11,25.64
2026,23.14,23.79,25.49,22.91,25.49,24.94,25.49
2027,23.10,23.76,25.52,22.93,25.52,25.00,25.52
2028,23.03,23.70,25.51,22.84,25.51,24.96,25.51
2029,23.18,23.85,25.61,22.96,25.61,25.05,25.61
2030,23.13,23.79,25.56,22.95,25.56,25.03,25.56
2031,23.28,23.92,25.66,23.09,25.66,25.13,25.66
2032,23.29,23.98,25.81,23.12,25.81,25.25,25.81
2033,23.29,23.95,25.72,23.07,25.72,25.16,25.72
2034,23.29,23.95,25.71,23.04,25.71,25.14,25.71
2035,23.43,24.10,25.89,23.19,25.89,25.31,25.89
2036,23.32,23.99,25.78,23.17,25.78,25.26,25.78
2037,23.30,23.96,25.80,23.11,25.80,25.24,25.80
2038,23.55,24.22,26.02,23.36,26.02,25.47,26.02
2039,23.43,24.07,25.78,23.25,25.78,25.27,25.78
2040,23.43,24.09,25.87,23.20,25.87,25.30,25.87
2041,23.57,24.23,25.92,23.32,25.92,25.36,25.92
2042,23.47,24.13,25.93,23.25,25.93,25.36,25.93
2043,23.37,24.03,25.81,23.16,25.81,25.26,25.81
2044,23.49,24.15,25.95,23.31,25.95,25.41,25.95
2045,23.93,24.55,26.20,23.71,26.20,25.68,26.20
2046,23.95,24.58,26.23,23.71,26.23,25.69,26.23
2047,23.94,24.58,26.30,23.72,26.30,25.75,26.30
2048,23.75,24.41,26.19,23.57,26.19,25.65,26.19
2049,23.77,24.41,26.09,23.56,26.09,25.57,26.09
2050,24.02,24.65,26.33,23.78,26.33,25.79,26.33
2051,23.93,24.58,26.30,23.65,26.30,25.72,26.30
2052,23.95,24.60,26.35,23.71,26.35,25.78,26.35
2053,24.11,24.78,26.55,23.85,26.55,25.96,26.55
2054,24.02,24.65,26.38,23.77,26.38,25.82,26.38
2055,24.17,24.83,26.56,23.97,26.56,26.02,26.56
2056,24.02,24.69,26.48,23.80,26.48,25.91,26.48
2057,23.85,24.48,26.18,23.57,26.18,25.61,26.18
2058,23.99,24.64,26.40,23.74,26.40,25.83,26.40
2059,24.09,24.74,26.50,23.85,26.50,25.94,26.50
2060,23.78,24.44,26.21,23.58,26.21,25.67,26.21
2061,24.15,24.79,26.47,23.91,26.47,25.92,26.47
2062,24.40,25.05,26.75,24.16,26.75,26.20,26.75
2063,24.27,24.88,26.53,23.98,26.53,25.96,26.53
2064,24.31,24.95,26.60,24.07,26.60,26.06,26.60
2065,24.28,24.93,26.67,24.04,26.67,26.11,26.67
2066,24.23,24.86,26.54,23.96,26.54,25.97,26.54
2067,24.39,25.03,26.69,24.09,26.69,26.11,26.69
2068,24.47,25.11,26.78,24.15,26.78,26.17,26.78
2069,24.45,25.09,26.82,24.17,26.82,26.23,26.82
2070,24.30,24.93,26.59,24.04,26.59,26.04,26.59
2071,24.44,25.07,26.75,24.20,26.75,26.20,26.75
2072,24.49,25.13,26.81,24.21,26.81,26.23,26.81
2073,24.41,25.03,26.71,24.16,26.71,26.16,26.71
2074,24.16,24.81,26.53,23.87,26.53,25.94,26.53
2075,24.53,25.15,26.72,24.28,26.72,26.21,26.72
2076,24.55,25.17,26.81,24.28,26.81,26.25,26.81
2077,24.51,25.17,26.91,24.24,26.91,26.33,26.91
2078,24.53,25.18,26.90,24.30,26.90,26.35,26.90
2079,24.67,25.28,26.92,24.42,26.92,26.38,26.92
2080,24.53,25.18,26.88,24.25,26.88,26.30,26.88
2081,24.64,25.27,26.93,24.37,26.93,26.37,26.93
2082,24.80,25.44,27.15,24.54,27.15,26.58,27.15
2083,24.75,25.37,26.94,24.43,26.94,26.36,26.94
2084,24.95,25.54,27.15,24.67,27.15,26.60,27.15
2085,24.73,25.37,27.09,24.47,27.09,26.52,27.09
2086,24.76,25.43,27.15,24.52,27.15,26.59,27.15
2087,24.63,25.26,26.88,24.38,26.88,26.34,26.88
2088,24.90,25.51,27.10,24.58,27.10,26.53,27.10
2089,24.79,25.39,26.98,24.50,26.98,26.44,26.98
2090,24.74,25.37,27.02,24.45,27.02,26.45,27.02
2091,24.76,25.42,27.17,24.47,27.17,26.56,27.17
2092,24.81,25.42,27.00,24.52,27.00,26.45,27.00
2093,25.02,25.64,27.27,24.77,27.27,26.74,27.27
2094,25.29,25.94,27.65,25.00,27.65,27.06,27.65
2095,24.90,25.48,27.04,24.60,27.04,26.49,27.04
2096,25.00,25.66,27.36,24.76,27.36,26.81,27.36
2097,25.19,25.79,27.38,24.88,27.38,26.81,27.38
2098,25.13,25.73,27.31,24.86,27.31,26.78,27.31
2099,24.81,25.44,27.08,24.53,27.08,26.52,27.08
2100,24.94,25.54,27.09,24.59,27.09,26.51,27.09
