Variable:,tasmax
,"Macao SAR, China","Administrative unit not available"
2015,26.05,25.51
2016,26.14,25.65
2017,26.32,25.77
2018,26.15,25.72
2019,26.18,25.67
2020,26.20,25.64
2021,26.31,25.79
2022,26.42,25.96
2023,26.47,25.94
2024,26.31,25.81
2025,26.32,25.85
2026,26.50,25.91
2027,26.37,25.81
2028,26.54,26.00
2029,26.36,26.01
2030,26.55,26.12
2031,26.51,26.08
2032,26.72,26.23
2033,26.63,26.23
2034,26.68,26.08
2035,26.69,26.21
2036,26.58,26.14
2037,26.78,26.29
2038,26.89,26.42
2039,26.82,26.39
2040,26.92,26.44
2041,26.83,26.36
2042,26.90,26.28
2043,26.87,26.45
2044,26.92,26.41
2045,26.90,26.37
2046,26.99,26.50
2047,26.95,26.58
2048,27.05,26.56
2049,27.03,26.61
2050,27.12,26.59
2051,27.17,26.66
2052,27.03,26.60
2053,27.19,26.73
2054,27.18,26.70
2055,27.13,26.71
2056,27.31,26.99
2057,27.33,27.00
2058,27.43,27.00
2059,27.34,26.98
2060,27.40,26.95
2061,27.31,26.94
2062,27.18,26.73
2063,27.42,26.95
2064,27.48,27.03
2065,27.32,26.88
2066,27.26,26.78
2067,27.26,26.86
2068,27.50,27.11
2069,27.57,27.16
2070,27.48,27.11
2071,27.39,26.87
2072,27.48,27.05
2073,27.63,27.21
2074,27.56,27.16
2075,27.59,27.16
2076,27.58,27.16
2077,27.71,27.33
2078,27.62,27.15
2079,27.60,27.11
2080,27.76,27.43
2081,27.75,27.25
2082,27.76,27.36
2083,27.70,27.30
2084,27.72,27.30
2085,27.87,27.45
2086,27.81,27.40
2087,27.81,27.39
2088,27.82,27.41
2089,27.88,27.44
2090,27.96,27.52
2091,28.01,27.57
2092,27.87,27.54
2093,27.83,27.52
2094,27.81,27.46
2095,28.05,27.67
2096,27.73,27.25
2097,27.94,27.46
2098,27.84,27.35
2099,28.01,27.56
2100,28.02,27.61
