Variable:,tasmax
,"Myanmar (Burma)",Rakhine,Chin,Ayeyawaddy,Kachin,Kayin,Kayar,Magway,Mandalay,Mon,Sagaing,Taninthayi,Yangon,"Bago (E)","Bago (W)","Shan (E)","Shan (N)","Shan (S)"
2015,28.63,29.48,27.54,30.85,26.28,31.68,30.91,29.66,31.40,30.31,27.68,30.14,31.73,32.23,31.14,28.48,27.90,28.71
2016,28.76,29.57,27.62,31.01,26.21,31.96,31.22,29.82,31.60,30.50,27.70,30.31,31.97,32.53,31.39,28.60,28.06,28.94
2017,28.82,29.60,27.70,31.01,26.25,31.99,31.38,29.84,31.65,30.54,27.69,30.39,31.92,32.53,31.35,28.92,28.10,29.11
2018,28.85,29.64,27.70,31.09,26.30,31.99,31.29,29.92,31.71,30.55,27.74,30.46,32.00,32.55,31.47,28.91,28.14,29.10
2019,28.86,29.71,27.81,31.13,26.28,32.05,31.30,29.97,31.72,30.65,27.80,30.37,32.05,32.56,31.43,28.82,28.14,29.08
2020,28.80,29.68,27.71,31.06,26.28,31.82,31.17,29.94,31.70,30.42,27.71,30.32,31.89,32.42,31.38,28.70,28.16,29.03
2021,28.88,29.73,27.79,31.09,26.40,31.92,31.18,29.92,31.70,30.56,27.89,30.33,31.98,32.48,31.39,28.83,28.23,29.04
2022,28.93,29.66,27.84,31.17,26.41,32.06,31.36,29.91,31.76,30.65,27.84,30.43,32.07,32.58,31.47,28.99,28.26,29.14
2023,28.98,29.75,27.83,31.24,26.60,32.03,31.26,29.97,31.76,30.64,27.96,30.43,32.06,32.54,31.54,28.92,28.32,29.11
2024,28.94,29.80,27.85,31.24,26.41,32.09,31.31,30.06,31.76,30.68,27.88,30.54,32.14,32.64,31.56,28.87,28.20,29.05
2025,28.96,29.81,27.87,31.22,26.40,31.98,31.37,30.02,31.78,30.56,27.89,30.41,32.07,32.62,31.55,28.93,28.33,29.21
2026,28.99,29.76,27.87,31.07,26.54,31.96,31.26,29.98,31.80,30.58,27.99,30.46,31.94,32.49,31.38,29.03,28.39,29.19
2027,28.98,29.78,27.86,31.24,26.45,32.12,31.37,29.97,31.75,30.69,27.92,30.53,32.11,32.64,31.51,28.95,28.30,29.16
2028,29.03,29.72,27.83,31.19,26.54,32.16,31.43,29.97,31.85,30.72,27.96,30.57,32.09,32.64,31.49,29.08,28.34,29.25
2029,29.16,29.83,27.91,31.33,26.63,32.30,31.63,30.08,31.93,30.83,28.05,30.66,32.28,32.82,31.66,29.27,28.54,29.42
2030,29.19,29.91,27.99,31.37,26.66,32.28,31.58,30.20,32.05,30.84,28.13,30.60,32.28,32.84,31.72,29.20,28.58,29.46
2031,29.13,29.84,27.93,31.33,26.59,32.25,31.58,30.15,31.99,30.78,28.05,30.58,32.23,32.75,31.67,29.18,28.49,29.40
2032,29.06,29.88,27.95,31.22,26.54,32.18,31.51,30.08,31.90,30.75,27.92,30.55,32.14,32.70,31.56,29.18,28.38,29.37
2033,29.12,29.88,27.91,31.33,26.65,32.31,31.62,30.05,31.89,30.85,27.91,30.66,32.25,32.88,31.70,29.15,28.44,29.35
2034,29.16,29.90,28.01,31.31,26.69,32.22,31.53,30.14,31.94,30.77,28.08,30.58,32.19,32.77,31.65,29.17,28.54,29.36
2035,29.23,29.97,28.04,31.36,26.68,32.35,31.59,30.27,32.08,30.86,28.14,30.76,32.26,32.93,31.82,29.27,28.58,29.46
2036,29.24,30.03,28.15,31.48,26.75,32.34,31.58,30.29,32.06,30.93,28.17,30.69,32.39,32.94,31.83,29.19,28.58,29.42
2037,29.40,30.11,28.15,31.63,26.78,32.64,31.89,30.44,32.29,31.19,28.25,30.90,32.60,33.18,32.01,29.32,28.76,29.68
2038,29.41,30.10,28.15,31.54,27.02,32.49,31.75,30.35,32.18,31.07,28.36,30.88,32.47,33.08,31.93,29.35,28.82,29.56
2039,29.43,30.12,28.19,31.63,27.02,32.56,31.77,30.35,32.27,31.12,28.31,30.97,32.59,33.16,31.91,29.38,28.74,29.64
2040,29.27,30.05,28.11,31.40,26.87,32.37,31.58,30.27,32.08,30.93,28.24,30.74,32.32,32.88,31.75,29.14,28.61,29.44
2041,29.44,30.09,28.30,31.49,26.97,32.51,31.86,30.42,32.28,31.04,28.40,30.82,32.44,33.10,31.86,29.48,28.79,29.70
2042,29.47,30.15,28.24,31.60,26.86,32.59,31.89,30.46,32.35,31.14,28.37,30.90,32.54,33.12,31.94,29.59,28.87,29.76
2043,29.39,30.10,28.29,31.54,26.92,32.47,31.76,30.39,32.15,31.01,28.35,30.80,32.46,33.04,31.92,29.41,28.66,29.59
2044,29.52,30.18,28.32,31.64,27.14,32.48,31.92,30.49,32.37,31.05,28.48,30.84,32.54,33.12,32.04,29.35,28.89,29.76
2045,29.41,30.19,28.26,31.64,26.96,32.44,31.77,30.47,32.25,31.03,28.33,30.87,32.50,33.03,31.96,29.31,28.74,29.61
2046,29.51,30.26,28.36,31.70,27.04,32.63,31.88,30.53,32.34,31.18,28.44,30.97,32.62,33.22,32.10,29.45,28.80,29.68
2047,29.66,30.28,28.47,31.73,27.28,32.69,32.02,30.59,32.43,31.22,28.63,31.04,32.67,33.25,32.12,29.65,29.02,29.84
2048,29.69,30.30,28.39,31.88,27.05,32.95,32.21,30.68,32.53,31.43,28.48,31.22,32.88,33.44,32.22,29.83,29.03,30.00
2049,29.64,30.33,28.40,31.80,27.20,32.76,32.01,30.60,32.47,31.31,28.51,31.19,32.73,33.32,32.16,29.61,29.01,29.83
2050,29.66,30.39,28.51,31.71,27.32,32.60,32.04,30.63,32.46,31.13,28.60,31.06,32.59,33.21,32.09,29.58,29.05,29.86
2051,29.74,30.36,28.57,31.80,27.51,32.67,31.96,30.72,32.50,31.23,28.79,31.09,32.72,33.25,32.21,29.64,29.04,29.82
2052,29.78,30.46,28.57,32.00,27.25,32.79,32.22,30.86,32.61,31.33,28.69,31.14,32.94,33.53,32.37,29.83,29.13,29.97
2053,29.90,30.55,28.73,31.91,27.58,32.86,32.25,30.89,32.76,31.38,28.93,31.15,32.82,33.44,32.30,29.78,29.25,30.11
2054,29.75,30.50,28.59,31.88,27.28,32.80,32.14,30.77,32.56,31.35,28.70,31.09,32.77,33.39,32.30,29.74,29.06,29.97
2055,29.79,30.49,28.62,31.96,27.34,32.83,32.16,30.78,32.62,31.42,28.79,31.20,32.89,33.46,32.33,29.78,29.09,30.02
2056,29.93,30.64,28.81,32.04,27.54,32.81,32.26,30.96,32.78,31.32,28.92,31.20,32.89,33.53,32.46,29.89,29.30,30.15
2057,30.02,30.71,28.81,32.16,27.54,33.02,32.35,31.01,32.85,31.56,28.96,31.30,33.07,33.71,32.57,30.08,29.41,30.30
2058,29.98,30.53,28.81,31.97,27.60,32.98,32.30,30.87,32.72,31.48,28.99,31.32,32.95,33.55,32.38,29.92,29.38,30.16
2059,30.00,30.61,28.78,32.14,27.48,33.06,32.38,30.98,32.82,31.61,28.99,31.41,33.09,33.67,32.55,30.03,29.33,30.22
2060,30.06,30.73,28.94,32.24,27.56,33.09,32.43,31.06,32.85,31.65,29.02,31.49,33.18,33.72,32.63,30.16,29.38,30.25
2061,30.08,30.71,28.88,32.11,27.64,33.17,32.59,31.00,32.84,31.59,29.09,31.36,33.07,33.75,32.54,30.14,29.38,30.29
2062,30.09,30.72,29.01,32.07,27.77,32.97,32.35,31.20,32.96,31.48,29.17,31.29,32.95,33.60,32.50,29.97,29.41,30.23
