Variable:,tasmax
,Montserrat,Brodericks,Central,East,North,Plymouth,Salem,South
2015,28.98,28.36,28.36,28.36,28.36,28.36,28.36,28.36
2016,28.96,28.32,28.32,28.32,28.32,28.32,28.32,28.32
2017,29.08,28.43,28.43,28.43,28.43,28.43,28.43,28.43
2018,28.97,28.32,28.32,28.32,28.32,28.32,28.32,28.32
2019,29.08,28.46,28.46,28.46,28.46,28.46,28.46,28.46
2020,29.08,28.44,28.44,28.44,28.44,28.44,28.44,28.44
2021,29.15,28.53,28.53,28.53,28.53,28.53,28.53,28.53
2022,29.23,28.62,28.62,28.62,28.62,28.62,28.62,28.62
2023,29.19,28.54,28.54,28.54,28.54,28.54,28.54,28.54
2024,29.35,28.71,28.71,28.71,28.71,28.71,28.71,28.71
2025,29.27,28.64,28.64,28.64,28.64,28.64,28.64,28.64
2026,29.30,28.64,28.64,28.64,28.64,28.64,28.64,28.64
2027,29.23,28.59,28.59,28.59,28.59,28.59,28.59,28.59
2028,29.34,28.74,28.74,28.74,28.74,28.74,28.74,28.74
2029,29.26,28.63,28.63,28.63,28.63,28.63,28.63,28.63
2030,29.35,28.72,28.72,28.72,28.72,28.72,28.72,28.72
2031,29.50,28.84,28.84,28.84,28.84,28.84,28.84,28.84
2032,29.44,28.79,28.79,28.79,28.79,28.79,28.79,28.79
2033,29.44,28.88,28.88,28.88,28.88,28.88,28.88,28.88
2034,29.41,28.72,28.72,28.72,28.72,28.72,28.72,28.72
2035,29.41,28.76,28.76,28.76,28.76,28.76,28.76,28.76
2036,29.35,28.74,28.74,28.74,28.74,28.74,28.74,28.74
2037,29.56,28.92,28.92,28.92,28.92,28.92,28.92,28.92
2038,29.56,28.94,28.94,28.94,28.94,28.94,28.94,28.94
2039,29.58,28.94,28.94,28.94,28.94,28.94,28.94,28.94
2040,29.64,28.99,28.99,28.99,28.99,28.99,28.99,28.99
2041,29.49,28.84,28.84,28.84,28.84,28.84,28.84,28.84
2042,29.64,28.99,28.99,28.99,28.99,28.99,28.99,28.99
2043,29.53,28.90,28.90,28.90,28.90,28.90,28.90,28.90
2044,29.53,28.85,28.85,28.85,28.85,28.85,28.85,28.85
2045,29.60,28.96,28.96,28.96,28.96,28.96,28.96,28.96
2046,29.63,28.99,28.99,28.99,28.99,28.99,28.99,28.99
2047,29.64,29.02,29.02,29.02,29.02,29.02,29.02,29.02
2048,29.80,29.16,29.16,29.16,29.16,29.16,29.16,29.16
2049,29.70,29.04,29.04,29.04,29.04,29.04,29.04,29.04
2050,29.67,28.98,28.98,28.98,28.98,28.98,28.98,28.98
2051,29.64,29.01,29.01,29.01,29.01,29.01,29.01,29.01
2052,29.91,29.23,29.23,29.23,29.23,29.23,29.23,29.23
2053,29.88,29.23,29.23,29.23,29.23,29.23,29.23,29.23
2054,29.82,29.18,29.18,29.18,29.18,29.18,29.18,29.18
2055,29.84,29.16,29.16,29.16,29.16,29.16,29.16,29.16
2056,29.82,29.17,29.17,29.17,29.17,29.17,29.17,29.17
2057,30.02,29.42,29.42,29.42,29.42,29.42,29.42,29.42
2058,29.91,29.23,29.23,29.23,29.23,29.23,29.23,29.23
2059,29.96,29.27,29.27,29.27,29.27,29.27,29.27,29.27
