Variable:,tasmax
2015,29.43
2016,29.36
2017,29.58
2018,29.54
2019,29.49
2020,29.42
2021,29.45
2022,29.57
2023,29.64
2024,29.69
2025,29.58
2026,29.64
2027,29.62
2028,29.74
2029,29.85
2030,29.69
2031,29.77
2032,29.75
2033,29.81
2034,29.82
2035,29.81
2036,29.77
2037,30.03
2038,30.04
2039,29.95
2040,29.87
2041,30.00
2042,30.05
2043,30.02
2044,29.99
2045,30.03
2046,30.09
2047,30.14
2048,30.23
2049,30.16
2050,30.14
2051,30.19
2052,30.36
2053,30.23
2054,30.18
2055,30.35
2056,30.13
2057,30.43
2058,30.26
2059,30.47
2060,30.46
2061,30.23
2062,30.33
2063,30.48
2064,30.54
2065,30.52
2066,30.58
2067,30.43
2068,30.58
2069,30.59
2070,30.44
2071,30.49
2072,30.61
2073,30.67
2074,30.59
2075,30.59
2076,30.63
2077,30.74
2078,30.62
2079,30.69
2080,30.85
2081,30.84
2082,30.68
2083,30.79
2084,30.79
2085,30.73
2086,30.75
2087,30.73
2088,30.75
2089,30.77
2090,30.73
2091,30.74
2092,30.82
2093,30.77
2094,30.75
2095,30.86
2096,30.80
2097,30.79
2098,30.89
2099,30.90
2100,30.99
