Variable:,tasmax
,Nigeria,Adamawa,"Akwa Ibom",Anambra,Benue,Borno,"Cross River",Delta,Edo,Abuja,Imo,Jigawa,Kaduna,Kano,Katsina,Kebbi,Kogi,Kwara,Lagos,Niger,Ogun,Osun,Oyo,Taraba,Yobe,Abia,Bauchi,Bayelsa,Ebonyi,Ekiti,Enugu,Gombe,Nassarawa,Ondo,Plateau,Rivers,Sokoto,Zamfara
2015,33.50,33.15,30.04,31.54,32.12,35.68,31.24,30.71,31.67,32.75,31.32,33.91,32.74,32.89,33.68,35.15,31.90,32.73,30.30,33.74,31.24,32.11,32.64,31.86,35.22,31.18,32.37,29.51,31.59,31.67,31.62,33.88,32.91,31.17,32.65,30.19,35.71,34.40
2016,33.47,33.12,29.96,31.52,32.04,35.71,31.11,30.66,31.64,32.63,31.24,33.88,32.70,32.91,33.73,35.11,31.85,32.56,30.26,33.61,31.17,32.00,32.46,31.78,35.31,31.11,32.32,29.44,31.50,31.58,31.60,33.90,32.79,31.11,32.58,30.11,35.77,34.45
2017,33.57,33.31,30.05,31.59,32.07,35.77,31.23,30.75,31.68,32.85,31.35,33.94,32.86,33.03,33.89,35.20,31.90,32.63,30.25,33.79,31.17,31.97,32.54,31.87,35.30,31.22,32.45,29.56,31.60,31.59,31.69,34.03,32.97,31.13,32.66,30.21,35.89,34.61
2018,33.51,33.23,30.05,31.55,32.08,35.65,31.20,30.71,31.63,32.74,31.30,33.95,32.74,32.97,33.78,35.19,31.85,32.62,30.26,33.68,31.21,32.02,32.56,31.85,35.17,31.17,32.39,29.55,31.58,31.58,31.64,33.98,32.87,31.11,32.67,30.21,35.82,34.54
2019,33.58,33.21,30.10,31.61,32.16,35.71,31.28,30.76,31.71,32.76,31.34,34.05,32.78,33.05,33.88,35.22,31.92,32.74,30.30,33.77,31.27,31.99,32.65,31.95,35.37,31.23,32.45,29.58,31.65,31.58,31.73,34.04,32.93,31.16,32.72,30.24,35.93,34.61
2020,33.53,33.21,30.08,31.59,32.11,35.69,31.24,30.73,31.70,32.70,31.33,33.91,32.73,32.98,33.73,35.31,31.89,32.70,30.30,33.64,31.23,32.00,32.61,31.83,35.31,31.20,32.38,29.56,31.62,31.62,31.70,33.93,32.88,31.17,32.65,30.23,35.97,34.57
2021,33.54,33.24,30.09,31.60,32.07,35.78,31.26,30.74,31.67,32.68,31.34,33.95,32.74,32.97,33.83,35.14,31.88,32.68,30.30,33.67,31.22,32.00,32.56,31.91,35.28,31.22,32.38,29.58,31.62,31.64,31.69,33.99,32.81,31.16,32.68,30.24,35.86,34.51
2022,33.69,33.40,30.16,31.61,32.22,35.90,31.33,30.78,31.68,32.82,31.40,34.13,32.90,33.16,33.98,35.41,31.94,32.80,30.42,33.88,31.33,32.12,32.66,32.06,35.42,31.29,32.56,29.67,31.68,31.73,31.72,34.13,33.05,31.24,32.86,30.31,36.02,34.70
2023,33.66,33.37,30.21,31.69,32.25,35.86,31.36,30.85,31.78,32.86,31.45,34.06,32.87,33.08,33.92,35.28,32.03,32.80,30.48,33.83,31.41,32.21,32.75,32.00,35.34,31.34,32.56,29.71,31.73,31.68,31.81,34.15,33.03,31.25,32.80,30.37,35.92,34.62
2024,33.86,33.54,30.36,31.85,32.40,36.12,31.53,31.00,31.96,32.98,31.57,34.35,33.05,33.32,34.12,35.54,32.19,32.93,30.56,33.97,31.52,32.42,32.87,32.15,35.66,31.47,32.77,29.85,31.88,31.96,31.95,34.35,33.15,31.46,32.97,30.50,36.21,34.84
2025,33.69,33.42,30.27,31.77,32.32,35.90,31.43,30.93,31.84,32.86,31.53,34.13,32.88,33.14,33.97,35.29,32.04,32.82,30.45,33.84,31.39,32.21,32.73,32.03,35.44,31.39,32.53,29.75,31.80,31.75,31.85,34.12,33.02,31.31,32.80,30.44,35.96,34.56
2026,33.77,33.39,30.29,31.81,32.28,36.05,31.43,30.94,31.89,32.79,31.55,34.22,32.95,33.26,34.11,35.55,32.08,32.83,30.51,33.91,31.44,32.27,32.75,31.98,35.57,31.43,32.61,29.78,31.80,31.84,31.88,34.23,32.94,31.37,32.77,30.44,36.21,34.85
2027,33.84,33.59,30.36,31.86,32.44,36.04,31.53,31.02,31.95,33.17,31.59,34.11,33.13,33.17,33.98,35.58,32.25,33.03,30.59,34.13,31.54,32.31,32.89,32.20,35.48,31.47,32.65,29.85,31.89,31.92,31.96,34.27,33.31,31.45,33.01,30.52,36.08,34.85
2028,33.84,33.48,30.39,31.93,32.40,36.02,31.55,31.06,31.99,33.04,31.71,34.19,33.00,33.25,34.06,35.62,32.24,33.03,30.60,34.06,31.56,32.35,32.94,32.16,35.55,31.57,32.67,29.85,31.90,31.98,31.95,34.30,33.16,31.49,32.91,30.54,36.20,34.88
2029,34.03,33.65,30.41,31.94,32.53,36.25,31.58,31.08,32.02,33.16,31.68,34.54,33.25,33.53,34.37,35.70,32.31,33.21,30.65,34.20,31.62,32.42,33.09,32.23,35.90,31.55,32.96,29.88,31.98,32.00,32.05,34.48,33.30,31.50,33.09,30.56,36.39,35.06
2030,33.80,33.54,30.27,31.79,32.31,36.02,31.44,30.91,31.91,32.97,31.51,34.23,33.03,33.20,34.08,35.44,32.08,32.94,30.48,33.99,31.43,32.23,32.80,32.12,35.54,31.40,32.68,29.73,31.78,31.82,31.85,34.25,33.12,31.35,32.95,30.41,36.06,34.79
2031,33.87,33.54,30.36,31.90,32.46,36.11,31.56,31.01,31.99,33.08,31.61,34.28,33.10,33.29,34.07,35.51,32.22,33.00,30.54,34.05,31.50,32.27,32.87,32.18,35.60,31.49,32.78,29.83,31.96,31.90,32.01,34.37,33.25,31.43,33.03,30.51,36.17,34.80
2032,33.93,33.67,30.53,32.02,32.63,36.04,31.73,31.16,32.12,33.15,31.77,34.22,33.17,33.31,34.08,35.54,32.35,33.10,30.66,34.13,31.62,32.48,33.01,32.33,35.57,31.64,32.81,29.99,32.08,32.06,32.13,34.43,33.35,31.60,33.08,30.68,36.19,34.84
2033,33.95,33.74,30.43,31.98,32.48,36.11,31.60,31.11,32.08,33.15,31.69,34.35,33.18,33.35,34.16,35.57,32.28,33.05,30.69,34.10,31.65,32.47,32.98,32.35,35.65,31.56,32.84,29.91,31.96,32.04,32.05,34.45,33.30,31.55,33.10,30.58,36.25,34.90
2034,33.98,33.62,30.50,32.04,32.54,36.23,31.65,31.14,32.12,33.19,31.77,34.36,33.13,33.39,34.22,35.76,32.34,33.16,30.72,34.19,31.64,32.46,32.99,32.22,35.73,31.65,32.80,29.97,32.03,32.07,32.15,34.39,33.29,31.61,33.07,30.65,36.38,34.98
2035,33.92,33.66,30.47,31.93,32.56,36.10,31.67,31.05,32.00,33.16,31.74,34.19,33.23,33.24,34.15,35.56,32.31,33.06,30.63,34.12,31.58,32.38,32.97,32.22,35.57,31.67,32.75,29.90,32.08,32.04,32.09,34.35,33.29,31.52,33.10,30.57,36.24,34.95
2036,34.00,33.69,30.56,32.04,32.59,36.23,31.75,31.16,32.08,33.09,31.78,34.48,33.18,33.49,34.30,35.69,32.33,33.10,30.72,34.10,31.63,32.42,33.01,32.31,35.77,31.69,32.94,30.03,32.12,32.01,32.17,34.53,33.27,31.53,33.09,30.69,36.36,34.96
2037,34.14,33.77,30.75,32.21,32.73,36.25,31.89,31.34,32.27,33.33,32.00,34.59,33.29,33.59,34.36,35.78,32.52,33.36,30.95,34.36,31.88,32.60,33.25,32.44,35.85,31.89,33.01,30.17,32.29,32.22,32.31,34.52,33.48,31.78,33.25,30.88,36.51,35.03
