Variable:,tasmax
,Nicaragua,"Atlantico Norte","Atlantico Sur",Boaco,Carazo,Chinandega,Chontales,Esteli,Granada,Jinotega,Leon,Madriz,Managua,Masaya,Matagalpa,"Nueva Segovia","Rio San Juan",Rivas
2015,30.32,29.75,30.60,31.75,29.06,30.59,31.50,32.09,31.16,29.00,31.96,32.12,31.42,30.46,30.71,31.33,31.74,31.55
2016,30.30,29.70,30.56,31.75,29.14,30.80,31.50,32.24,31.21,29.02,32.14,32.26,31.57,30.58,30.73,31.44,31.78,31.60
2017,30.38,29.78,30.65,31.88,29.25,30.75,31.59,32.26,31.29,29.07,32.13,32.28,31.59,30.64,30.81,31.47,31.82,31.66
2018,30.32,29.67,30.61,31.94,29.35,30.88,31.67,32.31,31.41,28.98,32.26,32.32,31.71,30.75,30.81,31.48,31.92,31.80
2019,30.40,29.80,30.63,31.91,29.21,30.85,31.62,32.36,31.32,29.15,32.23,32.38,31.66,30.66,30.86,31.57,31.84,31.70
2020,30.29,29.68,30.57,31.78,29.24,30.75,31.53,32.16,31.26,28.96,32.13,32.17,31.59,30.63,30.72,31.35,31.77,31.64
2021,30.43,29.84,30.73,31.99,29.30,30.86,31.71,32.28,31.40,29.13,32.28,32.28,31.73,30.74,30.93,31.49,31.93,31.79
2022,30.47,29.87,30.73,31.95,29.33,30.87,31.68,32.42,31.38,29.17,32.25,32.46,31.69,30.73,30.88,31.62,31.92,31.75
2023,30.61,30.03,30.83,32.17,29.38,30.99,31.81,32.55,31.48,29.34,32.38,32.58,31.81,30.82,31.09,31.76,31.97,31.84
2024,30.69,30.14,30.95,32.14,29.40,30.93,31.86,32.47,31.51,29.36,32.38,32.49,31.82,30.84,31.09,31.70,32.08,31.89
2025,30.47,29.86,30.73,31.98,29.38,30.95,31.71,32.36,31.43,29.22,32.30,32.37,31.75,30.78,30.93,31.58,31.92,31.81
2026,30.62,30.01,30.90,32.09,29.54,31.12,31.85,32.59,31.57,29.32,32.48,32.61,31.92,30.95,31.06,31.78,32.13,31.96
2027,30.50,29.95,30.74,31.94,29.35,30.94,31.68,32.39,31.41,29.12,32.34,32.40,31.77,30.78,30.89,31.57,31.94,31.81
2028,30.69,30.11,30.95,32.19,29.52,31.11,31.91,32.57,31.59,29.40,32.49,32.59,31.93,30.95,31.14,31.78,32.13,31.97
2029,30.81,30.23,31.12,32.31,29.62,31.18,32.04,32.62,31.71,29.50,32.54,32.64,31.99,31.03,31.26,31.85,32.27,32.09
2030,30.52,29.84,30.76,32.17,29.59,31.13,31.85,32.60,31.62,29.28,32.53,32.62,31.97,31.00,31.08,31.79,32.06,32.00
2031,30.75,30.19,31.00,32.17,29.62,31.11,31.93,32.60,31.64,29.46,32.49,32.62,31.94,31.00,31.14,31.81,32.15,32.02
2032,30.84,30.22,31.13,32.39,29.71,31.27,32.10,32.69,31.80,29.58,32.62,32.71,32.08,31.11,31.31,31.92,32.33,32.18
2033,30.69,30.11,30.94,32.12,29.50,31.08,31.87,32.54,31.56,29.36,32.45,32.56,31.89,30.92,31.08,31.75,32.08,31.95
2034,30.71,30.10,30.95,32.27,29.60,31.22,31.96,32.67,31.66,29.45,32.62,32.68,32.05,31.06,31.21,31.87,32.16,32.03
2035,30.75,30.15,31.00,32.27,29.62,31.21,31.97,32.71,31.67,29.48,32.61,32.73,32.04,31.06,31.22,31.91,32.19,32.03
2036,30.75,30.10,31.01,32.37,29.64,31.28,32.03,32.84,31.72,29.49,32.65,32.88,32.08,31.09,31.27,32.03,32.16,32.08
2037,31.01,30.40,31.26,32.57,29.87,31.45,32.27,32.98,31.97,29.75,32.87,33.00,32.30,31.31,31.50,32.18,32.40,32.35
2038,31.05,30.52,31.25,32.52,29.74,31.42,32.21,32.95,31.87,29.81,32.82,32.98,32.24,31.22,31.49,32.18,32.38,32.24
2039,31.01,30.44,31.26,32.52,29.77,31.43,32.22,32.89,31.91,29.69,32.82,32.91,32.24,31.24,31.45,32.10,32.45,32.29
2040,30.93,30.36,31.18,32.41,29.77,31.29,32.13,32.83,31.83,29.64,32.70,32.85,32.15,31.18,31.37,32.04,32.36,32.20
2041,30.98,30.36,31.21,32.63,29.85,31.47,32.29,32.89,32.01,29.73,32.90,32.89,32.33,31.33,31.53,32.10,32.43,32.40
2042,30.99,30.41,31.25,32.42,29.85,31.40,32.20,32.85,31.92,29.68,32.81,32.86,32.25,31.27,31.40,32.06,32.41,32.32
2043,31.05,30.47,31.27,32.59,29.82,31.43,32.27,33.00,31.95,29.86,32.85,33.03,32.28,31.28,31.54,32.23,32.50,32.32
2044,30.97,30.33,31.22,32.60,29.84,31.46,32.25,33.00,31.93,29.80,32.85,33.03,32.29,31.29,31.52,32.22,32.42,32.28
2045,31.03,30.42,31.26,32.58,29.95,31.51,32.30,33.08,32.02,29.81,32.94,33.11,32.37,31.39,31.54,32.28,32.51,32.41
2046,31.22,30.63,31.46,32.74,29.92,31.58,32.44,33.21,32.10,30.00,32.99,33.25,32.41,31.40,31.69,32.43,32.69,32.49
2047,31.13,30.55,31.42,32.54,29.99,31.55,32.33,33.01,32.05,29.79,32.93,33.03,32.37,31.40,31.51,32.21,32.60,32.46
2048,31.37,30.75,31.59,33.05,30.30,31.85,32.68,33.34,32.39,30.20,33.26,33.36,32.71,31.73,31.95,32.56,32.82,32.75
2049,31.25,30.63,31.49,32.76,30.10,31.67,32.48,33.20,32.17,30.07,33.08,33.22,32.52,31.53,31.73,32.42,32.70,32.55
2050,31.11,30.49,31.32,32.71,30.08,31.72,32.36,33.17,32.08,29.91,33.12,33.18,32.54,31.54,31.65,32.36,32.51,32.43
2051,31.25,30.65,31.42,32.86,30.11,31.76,32.47,33.28,32.16,30.09,33.19,33.30,32.61,31.59,31.81,32.49,32.57,32.49
2052,31.37,30.75,31.64,32.85,30.24,31.84,32.58,33.36,32.27,30.11,33.25,33.38,32.67,31.68,31.82,32.56,32.95,32.63
2053,31.34,30.86,31.49,32.71,30.09,31.69,32.41,33.27,32.12,30.18,33.10,33.30,32.52,31.53,31.77,32.51,32.63,32.48
2054,31.34,30.78,31.51,32.87,30.09,31.72,32.53,33.30,32.21,30.16,33.16,33.33,32.58,31.57,31.83,32.53,32.69,32.58
2055,31.49,30.93,31.70,33.03,30.25,31.92,32.73,33.46,32.41,30.34,33.33,33.48,32.75,31.73,32.02,32.69,32.89,32.80
2056,31.36,30.82,31.56,32.93,30.21,31.77,32.59,33.26,32.28,30.14,33.11,33.29,32.56,31.61,31.87,32.50,32.71,32.63
2057,31.61,31.01,31.87,33.23,30.38,31.98,32.88,33.56,32.52,30.39,33.43,33.59,32.86,31.85,32.15,32.78,33.08,32.87
2058,31.52,30.95,31.73,33.04,30.33,31.92,32.76,33.48,32.45,30.41,33.32,33.51,32.75,31.77,32.04,32.73,32.93,32.83
2059,31.67,31.09,31.91,33.20,30.47,32.05,32.92,33.66,32.59,30.51,33.49,33.70,32.91,31.92,32.17,32.90,33.15,32.97
2060,31.52,30.97,31.75,33.00,30.33,31.91,32.72,33.42,32.42,30.26,33.32,33.44,32.75,31.77,31.96,32.63,32.92,32.81
2061,31.35,30.81,31.52,32.79,30.14,31.79,32.47,33.29,32.17,30.09,33.14,33.32,32.56,31.58,31.76,32.50,32.62,32.52
2062,31.39,30.77,31.66,32.88,30.30,31.94,32.65,33.48,32.36,30.16,33.31,33.51,32.72,31.74,31.86,32.67,32.96,32.75
2063,31.57,30.98,31.77,33.18,30.52,32.11,32.83,33.54,32.55,30.30,33.57,33.53,32.99,31.99,32.09,32.71,33.00,32.89
2064,31.55,30.99,31.72,33.04,30.37,31.98,32.76,33.52,32.47,30.39,33.38,33.55,32.81,31.82,32.02,32.75,33.01,32.86
2065,31.67,31.02,31.93,33.33,30.41,32.02,32.91,33.71,32.51,30.49,33.46,33.76,32.89,31.88,32.21,32.93,33.08,32.81
2066,31.74,31.16,31.89,33.29,30.39,32.08,32.92,33.63,32.59,30.63,33.55,33.65,32.96,31.91,32.26,32.88,33.08,32.96
2067,31.61,31.03,31.83,33.18,30.36,32.01,32.85,33.65,32.51,30.44,33.42,33.69,32.84,31.83,32.13,32.87,33.05,32.88
2068,31.91,31.37,32.14,33.45,30.51,32.17,33.07,33.83,32.64,30.73,33.58,33.88,33.01,31.99,32.39,33.07,33.24,32.97
2069,31.75,31.18,31.98,33.30,30.34,32.05,32.95,33.74,32.54,30.57,33.49,33.79,32.89,31.85,32.25,32.98,33.12,32.89
2070,31.62,31.03,31.73,33.28,30.47,32.11,32.81,33.74,32.50,30.54,33.55,33.78,32.97,31.95,32.23,32.97,32.85,32.81
2071,31.78,31.21,31.89,33.38,30.58,32.17,33.01,33.87,32.72,30.78,33.54,33.93,32.98,32.00,32.34,33.14,33.16,33.09
2072,31.84,31.27,32.03,33.32,30.54,32.22,33.00,33.83,32.66,30.73,33.60,33.87,33.02,32.01,32.32,33.08,33.22,33.03
2073,31.93,31.43,32.11,33.32,30.69,32.29,33.05,33.94,32.76,30.72,33.67,33.99,33.09,32.11,32.33,33.16,33.27,33.15
2074,31.70,31.13,31.90,33.22,30.52,32.08,32.90,33.61,32.60,30.54,33.46,33.64,32.90,31.93,32.19,32.85,33.11,32.97
2075,31.66,30.99,31.87,33.35,30.55,32.16,32.97,33.86,32.66,30.57,33.59,33.91,33.01,32.01,32.26,33.07,33.14,33.02
2076,31.84,31.17,32.08,33.48,30.67,32.28,33.13,33.96,32.80,30.76,33.69,34.02,33.11,32.12,32.41,33.20,33.39,33.16
2077,31.93,31.36,32.16,33.42,30.62,32.21,33.11,33.82,32.76,30.74,33.59,33.87,33.03,32.05,32.39,33.08,33.38,33.12
2078,31.89,31.35,32.08,33.34,30.68,32.26,33.07,33.87,32.78,30.73,33.66,33.91,33.09,32.11,32.34,33.10,33.28,33.17
2079,31.88,31.31,32.09,33.39,30.73,32.35,33.10,33.97,32.80,30.71,33.72,34.02,33.15,32.16,32.36,33.18,33.25,33.17
2080,31.94,31.34,32.23,33.49,30.66,32.23,33.18,33.77,32.82,30.68,33.62,33.80,33.08,32.09,32.39,33.00,33.43,33.19
2081,32.09,31.55,32.26,33.68,30.72,32.43,33.28,34.04,32.89,30.94,33.83,34.08,33.25,32.22,32.60,33.29,33.46,33.23
2082,31.99,31.41,32.16,33.55,30.64,32.23,33.18,33.92,32.82,30.87,33.74,33.96,33.16,32.13,32.51,33.18,33.31,33.17
