Variable:,tasmax
,"New Zealand",Auckland,"Bay Of Plenty",Canterbury,"East Cape","Hawke's Bay",Nelson-marlborough,Northland,Otago,Southland,Taranaki,Waikato,Wanganui-manawatu,Wellington,Westland
2015,15.27,18.34,16.66,13.92,17.70,16.49,14.31,18.69,13.01,12.15,16.82,17.65,17.00,15.76,12.94
2016,15.24,18.30,16.64,13.89,17.73,16.48,14.25,18.66,12.98,12.12,16.76,17.60,16.96,15.71,12.93
2017,15.07,18.04,16.60,13.68,17.68,16.37,14.10,18.47,12.74,11.90,16.47,17.41,16.76,15.57,12.71
2018,15.31,18.42,16.75,13.95,17.78,16.54,14.32,18.69,13.09,12.20,16.70,17.67,16.99,15.76,12.98
2019,15.40,18.40,16.86,14.08,17.92,16.63,14.45,18.84,13.13,12.24,16.75,17.68,17.02,15.82,13.06
2020,15.40,18.45,16.74,14.11,17.80,16.56,14.51,18.75,13.15,12.29,16.91,17.73,17.15,15.92,13.16
2021,15.20,18.22,16.58,13.78,17.62,16.42,14.25,18.68,12.93,12.13,16.81,17.58,16.95,15.69,12.88
2022,15.39,18.51,16.76,14.03,17.84,16.60,14.43,18.89,13.17,12.30,16.89,17.72,17.08,15.86,13.10
2023,15.35,18.48,16.74,13.97,17.77,16.57,14.37,18.78,13.09,12.25,16.90,17.72,17.12,15.85,13.02
2024,15.43,18.53,16.88,14.06,17.93,16.64,14.45,18.92,13.14,12.26,16.94,17.82,17.16,15.90,13.10
2025,15.60,18.59,17.03,14.26,18.08,16.84,14.61,18.96,13.35,12.44,17.04,17.96,17.31,16.03,13.32
2026,15.40,18.49,16.81,14.05,17.91,16.58,14.46,18.90,13.15,12.27,16.91,17.75,17.04,15.80,13.07
2027,15.45,18.44,16.81,14.14,17.83,16.66,14.51,18.80,13.22,12.38,16.91,17.79,17.15,15.91,13.20
2028,15.48,18.46,16.81,14.17,17.85,16.63,14.57,18.85,13.24,12.37,16.94,17.78,17.19,15.96,13.26
2029,15.58,18.59,17.00,14.23,17.99,16.77,14.64,18.96,13.33,12.45,17.08,17.90,17.27,16.03,13.29
2030,15.53,18.62,16.99,14.11,18.04,16.79,14.59,19.03,13.23,12.37,17.03,17.95,17.32,16.03,13.15
2031,15.51,18.58,16.98,14.16,18.05,16.77,14.54,18.97,13.27,12.35,16.96,17.86,17.20,16.05,13.12
2032,15.55,18.54,16.89,14.28,17.99,16.77,14.59,18.92,13.35,12.43,16.96,17.80,17.20,16.00,13.30
2033,15.57,18.68,17.03,14.14,18.10,16.82,14.57,19.07,13.27,12.42,17.08,17.97,17.27,16.02,13.27
2034,15.70,18.82,17.10,14.33,18.16,16.90,14.74,19.19,13.42,12.57,17.20,18.09,17.42,16.16,13.40
