Variable:,tasmax
,Pakistan,Balochistan,"Federally Administered Tribal Areas",Islamabad,"North-West Frontier",Punjab,Sindh,"Administrative unit not available","Administrative unit not available"
2015,28.29,29.93,25.51,30.39,23.00,32.97,34.07,26.62,9.95
2016,28.14,29.83,25.40,30.12,22.84,32.74,33.93,26.43,9.71
2017,28.12,29.75,25.38,30.27,22.94,32.72,33.90,26.48,9.89
2018,28.00,29.73,25.06,29.85,22.54,32.56,34.03,26.07,9.55
2019,28.17,29.88,25.37,30.21,22.84,32.75,34.00,26.44,9.81
2020,28.34,30.00,25.53,30.38,23.03,32.97,34.17,26.69,10.02
2021,28.35,30.05,25.52,30.33,22.97,32.96,34.17,26.61,9.87
2022,28.28,29.95,25.41,30.20,22.91,32.86,34.17,26.53,9.98
2023,28.33,30.01,25.41,30.38,22.91,32.96,34.26,26.67,9.89
2024,28.51,30.15,25.72,30.72,23.29,33.14,34.23,26.95,10.18
2025,28.53,30.31,25.63,30.46,23.16,33.02,34.36,26.70,10.16
2026,28.45,30.16,25.47,30.37,23.02,33.03,34.36,26.65,10.04
2027,28.53,30.24,25.83,30.62,23.24,33.12,34.19,26.87,10.17
2028,28.49,30.17,25.83,30.60,23.28,33.06,34.22,26.85,10.17
2029,28.62,30.32,25.68,30.45,23.20,33.25,34.48,26.71,10.09
2030,28.50,30.24,25.72,30.39,23.27,32.97,34.28,26.73,10.20
2031,28.45,30.20,25.67,30.38,23.19,32.99,34.11,26.67,10.13
2032,28.69,30.34,25.94,30.77,23.47,33.29,34.38,26.99,10.47
2033,28.58,30.36,25.73,30.40,23.20,33.09,34.41,26.66,10.21
2034,28.64,30.36,25.68,30.64,23.16,33.27,34.52,26.90,10.13
2035,28.67,30.38,25.84,30.55,23.33,33.23,34.45,26.80,10.40
2036,28.65,30.34,25.94,30.66,23.49,33.18,34.33,26.92,10.41
2037,28.98,30.68,26.27,31.13,23.67,33.57,34.70,27.32,10.57
2038,29.00,30.70,26.27,31.03,23.66,33.62,34.74,27.28,10.55
2039,28.78,30.51,25.89,30.78,23.42,33.33,34.59,27.09,10.36
2040,28.99,30.67,26.16,30.93,23.69,33.57,34.72,27.23,10.66
2041,28.93,30.63,26.13,31.11,23.66,33.48,34.60,27.36,10.68
2042,29.01,30.71,26.11,31.00,23.56,33.66,34.77,27.20,10.66
2043,28.89,30.54,26.28,30.99,23.73,33.48,34.56,27.32,10.65
2044,28.99,30.66,26.30,30.92,23.77,33.53,34.59,27.25,10.89
2045,29.21,30.88,26.41,31.16,24.00,33.77,34.93,27.54,10.88
2046,29.32,30.95,26.52,31.43,24.09,34.00,35.00,27.69,10.92
2047,29.10,30.84,26.32,31.07,23.77,33.65,34.82,27.30,10.81
2048,29.17,30.89,26.25,30.92,23.71,33.71,35.05,27.25,10.83
2049,29.19,30.88,26.41,31.11,23.89,33.77,34.96,27.36,10.84
2050,29.54,31.13,26.93,31.67,24.40,34.18,35.16,27.94,11.34
2051,29.47,31.10,26.85,31.69,24.38,34.11,35.01,27.96,11.24
2052,29.43,31.09,26.68,31.43,24.11,34.07,35.13,27.75,11.03
2053,29.31,31.00,26.64,31.30,24.14,33.86,34.98,27.60,11.01
2054,29.50,31.16,26.79,31.52,24.31,34.06,35.22,27.79,11.25
2055,29.54,31.24,26.89,31.51,24.32,34.12,35.23,27.73,11.12
2056,29.45,31.15,26.68,31.51,24.18,34.02,35.09,27.73,11.15
2057,29.86,31.56,27.09,31.77,24.52,34.48,35.56,28.08,11.40
2058,29.37,31.06,26.65,31.27,24.13,33.88,35.18,27.62,11.09
2059,29.74,31.29,27.06,32.02,24.68,34.39,35.39,28.30,11.55
2060,29.69,31.40,26.95,31.69,24.42,34.27,35.42,27.95,11.26
2061,29.71,31.41,26.92,31.53,24.31,34.30,35.49,27.79,11.20
2062,29.69,31.36,27.08,31.65,24.51,34.23,35.31,27.96,11.53
2063,29.83,31.40,27.25,32.04,24.70,34.49,35.43,28.30,11.56
2064,29.78,31.43,27.25,31.80,24.60,34.44,35.32,28.13,11.40
2065,29.64,31.33,26.99,31.63,24.48,34.20,35.24,27.87,11.35
2066,29.94,31.62,27.28,31.98,24.71,34.53,35.50,28.27,11.65
2067,30.03,31.73,27.41,32.03,24.90,34.57,35.62,28.28,11.67
2068,29.93,31.59,27.20,32.04,24.70,34.55,35.51,28.19,11.69
2069,29.94,31.54,27.19,32.02,24.81,34.55,35.59,28.34,11.80
2070,29.89,31.59,27.11,31.86,24.63,34.43,35.58,28.10,11.61
2071,29.84,31.57,27.09,31.76,24.55,34.40,35.52,28.08,11.38
2072,29.97,31.61,27.39,32.00,24.88,34.56,35.46,28.41,11.72
2073,30.22,31.90,27.50,32.27,25.01,34.81,35.77,28.57,11.87
2074,30.32,32.00,27.61,32.39,25.22,34.86,35.84,28.71,12.10
2075,30.14,31.83,27.50,32.34,25.05,34.71,35.62,28.55,11.87
2076,29.98,31.63,27.28,32.00,24.88,34.51,35.59,28.36,11.82
2077,30.11,31.79,27.29,32.07,24.82,34.66,35.79,28.41,11.82
2078,30.09,31.72,27.35,32.05,24.82,34.74,35.81,28.20,11.70
2079,29.99,31.65,27.25,32.09,24.71,34.62,35.60,28.28,11.69
2080,30.17,31.81,27.44,32.27,24.92,34.81,35.74,28.54,11.87
2081,30.13,31.79,27.42,32.34,24.88,34.77,35.74,28.55,11.73
2082,30.29,31.91,27.66,32.46,25.16,34.98,35.79,28.74,11.91
2083,30.25,31.91,27.62,32.21,25.14,34.83,35.72,28.57,12.08
2084,30.45,32.09,27.83,32.61,25.31,35.14,35.92,28.88,12.12
2085,30.32,31.90,27.73,32.32,25.33,34.95,35.77,28.73,12.27
2086,30.29,31.97,27.54,32.23,25.15,34.87,35.86,28.57,11.98
2087,30.43,32.17,27.82,32.21,25.28,34.95,36.07,28.59,11.95
2088,30.36,32.09,27.74,32.22,25.12,34.88,36.05,28.48,11.92
2089,30.32,32.03,27.69,32.22,25.08,34.89,35.85,28.50,11.99
2090,30.46,32.14,27.83,32.47,25.31,35.05,35.91,28.85,12.34
2091,30.54,32.18,27.74,32.60,25.32,35.17,36.18,28.87,12.15
2092,30.32,31.90,27.66,32.36,25.21,34.93,35.94,28.86,12.18
2093,30.40,32.02,27.73,32.46,25.23,35.07,36.01,28.74,12.04
2094,30.66,32.23,28.06,32.67,25.56,35.37,36.10,29.06,12.41
2095,30.53,32.09,27.88,32.77,25.34,35.30,36.10,29.01,12.07
2096,30.41,32.02,27.74,32.51,25.31,35.03,35.95,28.86,12.22
2097,30.48,32.15,27.69,32.48,25.28,35.10,36.06,28.77,12.15
2098,30.53,32.11,27.81,32.73,25.39,35.25,36.05,28.86,12.23
2099,30.64,32.31,27.82,32.79,25.42,35.32,36.15,28.98,12.18
2100,30.48,32.11,27.74,32.50,25.20,35.14,36.09,28.84,12.16
