Variable:,tasmax
,Peru,Amazonas,Ancash,Apurímac,Arequipa,Ayacucho,Cajamarca,Callao,Cusco,Huancavelica,Huánuco,Ica,Junín,"La Libertad",Lambayeque,Lima,Loreto,"Madre de Dios",Moquegua,Pasco,Piura,Puno,"San Martín",Tacna,Tumbes,Ucayali
2015,26.01,25.98,21.88,15.06,20.04,18.33,25.17,16.31,18.08,17.95,20.76,20.93,19.11,22.45,25.01,20.64,31.84,26.87,20.91,21.11,27.55,15.04,25.59,21.37,28.56,30.21
2016,26.15,26.19,22.15,15.11,20.20,18.42,25.49,16.43,18.18,18.07,20.93,21.17,19.28,22.74,25.34,20.94,32.00,26.92,21.05,21.27,27.78,15.10,25.76,21.46,28.74,30.30
2017,26.26,26.27,22.21,15.27,20.33,18.61,25.40,16.56,18.32,18.24,21.04,21.25,19.42,22.74,25.22,21.00,32.12,27.02,21.17,21.43,27.75,15.25,25.81,21.59,28.78,30.39
2018,26.23,26.17,22.22,15.33,20.33,18.60,25.38,16.50,18.37,18.23,21.01,21.19,19.43,22.75,25.22,21.02,32.02,27.04,21.19,21.39,27.76,15.26,25.83,21.59,28.74,30.36
2019,26.25,26.24,22.10,15.27,20.22,18.53,25.37,16.56,18.38,18.19,21.06,21.08,19.47,22.66,25.21,20.87,32.01,27.14,21.02,21.46,27.71,15.29,25.85,21.48,28.69,30.48
2020,26.18,26.18,22.16,15.28,20.30,18.56,25.38,16.58,18.32,18.15,21.00,21.14,19.36,22.71,25.22,20.99,31.97,27.04,21.06,21.37,27.72,15.27,25.78,21.57,28.61,30.30
2021,26.34,26.28,22.31,15.42,20.50,18.72,25.56,16.79,18.42,18.35,21.04,21.43,19.49,22.86,25.48,21.14,32.16,27.18,21.38,21.42,27.96,15.43,25.84,21.78,28.96,30.47
2022,26.47,26.43,22.26,15.44,20.41,18.72,25.55,16.58,18.52,18.34,21.25,21.21,19.60,22.79,25.31,21.00,32.34,27.34,21.23,21.61,27.90,15.42,26.04,21.64,28.90,30.65
2023,26.42,26.41,22.36,15.36,20.37,18.67,25.63,16.58,18.45,18.35,21.16,21.32,19.53,22.91,25.46,21.13,32.31,27.27,21.18,21.52,27.93,15.33,26.02,21.59,28.85,30.58
2024,26.52,26.42,22.35,15.49,20.61,18.83,25.61,16.81,18.57,18.41,21.32,21.42,19.67,22.94,25.42,21.16,32.33,27.39,21.47,21.68,27.95,15.54,26.10,21.90,28.94,30.75
