Variable:,tasmax
,Poland,Dolnoslaskie,Kujawsko-Pomorskie,Lodzkie,Lubeiskie,Lubuskie,Malopolske,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Slaskie,Swietokrzyskie,Warminsko-Mazurskie,Wielkopolskie,Zachodnio-Pomorskie
2015,13.24,13.33,13.59,13.83,13.28,14.00,12.10,13.35,12.92,13.38,12.76,12.81,13.23,13.30,12.79,14.02,13.77
2016,12.94,13.35,13.20,13.56,12.92,14.04,11.91,12.99,12.82,12.98,12.38,12.46,13.14,13.14,12.34,13.83,13.64
2017,12.89,12.97,13.11,13.50,13.15,13.64,12.03,13.03,12.62,13.30,12.23,12.36,13.09,13.25,12.22,13.60,13.49
2018,13.25,13.57,13.48,13.89,13.31,14.28,12.34,13.33,13.08,13.52,12.71,12.71,13.45,13.53,12.65,14.08,13.84
2019,13.35,13.51,13.59,13.92,13.46,14.20,12.37,13.42,13.09,13.57,12.76,12.90,13.50,13.64,12.80,14.15,13.97
2020,13.61,13.82,13.81,14.32,13.75,14.42,12.80,13.87,13.49,13.94,13.10,12.94,13.99,13.98,13.04,14.32,14.01
2021,13.58,13.70,13.84,14.10,13.76,14.41,12.55,13.73,13.22,13.83,13.13,13.04,13.58,13.79,13.08,14.33,14.03
2022,13.99,14.04,14.18,14.51,14.30,14.82,12.87,14.14,13.50,14.38,13.50,13.40,13.90,14.28,13.42,14.71,14.48
2023,13.07,13.21,13.31,13.58,13.20,13.91,12.19,13.21,12.78,13.40,12.56,12.63,13.23,13.36,12.57,13.75,13.57
2024,13.36,13.60,13.54,13.90,13.48,14.34,12.38,13.45,13.05,13.59,12.81,12.90,13.46,13.63,12.76,14.11,13.99
2025,13.74,13.77,13.96,14.21,13.90,14.57,12.68,13.94,13.33,13.98,13.35,13.25,13.74,13.99,13.24,14.38,14.28
2026,13.88,14.06,14.18,14.46,13.98,14.82,12.81,14.08,13.52,14.05,13.46,13.34,13.91,14.08,13.35,14.66,14.35
2027,13.69,13.94,13.92,14.33,13.84,14.56,12.77,13.80,13.51,14.05,13.14,13.02,13.84,14.03,13.05,14.55,14.20
2028,13.91,14.22,14.18,14.59,13.86,14.99,12.78,14.09,13.61,13.92,13.34,13.46,13.91,14.05,13.34,14.79,14.59
2029,13.63,13.67,13.86,14.13,13.74,14.36,12.59,13.78,13.23,13.86,13.22,13.17,13.64,13.82,13.23,14.27,14.11
2030,13.65,13.70,13.89,14.18,13.90,14.37,12.62,13.81,13.29,13.94,13.22,13.09,13.66,13.87,13.12,14.34,14.12
2031,13.71,13.95,14.05,14.30,13.85,14.62,12.68,13.90,13.43,13.98,13.12,13.24,13.75,13.93,13.21,14.53,14.15
2032,14.31,14.41,14.58,14.89,14.51,15.15,13.36,14.50,13.97,14.62,13.72,13.81,14.40,14.66,13.79,15.06,14.82
2033,13.76,13.90,13.98,14.25,13.88,14.63,12.78,13.81,13.45,14.01,13.24,13.31,13.84,13.98,13.21,14.49,14.36
2034,14.10,14.27,14.44,14.77,14.24,15.00,12.96,14.34,13.81,14.22,13.56,13.54,14.12,14.28,13.50,14.93,14.62
2035,13.92,14.16,14.34,14.60,13.98,14.88,12.89,14.09,13.66,14.07,13.29,13.44,14.01,14.15,13.29,14.85,14.53
2036,14.30,14.39,14.46,14.95,14.45,15.12,13.08,14.52,14.04,14.32,13.91,13.72,14.33,14.51,13.80,14.97,14.83
2037,14.22,14.38,14.48,14.78,14.34,15.12,13.28,14.36,13.94,14.49,13.64,13.75,14.34,14.54,13.68,15.00,14.77
2038,14.02,14.21,14.21,14.62,14.17,14.97,13.00,14.16,13.83,14.29,13.51,13.50,14.15,14.25,13.44,14.77,14.60
