Variable:,tasmax
,"Puerto Rico",Aguadilla,Arecibo,Bayamon,Guayama,Humacao,Mayaguez,Ponce,"San Juan"
2015,29.76,29.85,29.94,29.84,29.65,29.60,29.59,29.79,29.93
2016,29.80,29.90,29.99,29.88,29.68,29.62,29.63,29.83,29.98
2017,29.92,30.02,30.11,30.00,29.80,29.75,29.75,29.95,30.10
2018,29.82,29.93,30.00,29.89,29.69,29.65,29.65,29.84,29.99
2019,29.77,29.90,29.96,29.85,29.67,29.60,29.64,29.81,29.95
2020,29.85,29.97,30.04,29.93,29.74,29.68,29.71,29.89,30.03
2021,29.91,30.00,30.11,30.00,29.81,29.73,29.73,29.95,30.10
2022,29.98,30.07,30.16,30.06,29.87,29.82,29.81,30.01,30.15
2023,30.10,30.20,30.29,30.18,29.98,29.92,29.92,30.12,30.28
2024,30.17,30.26,30.36,30.25,30.06,30.00,29.99,30.20,30.35
2025,30.10,30.21,30.29,30.18,29.99,29.93,29.93,30.13,30.28
2026,30.12,30.21,30.30,30.20,30.00,29.96,29.94,30.14,30.29
2027,30.06,30.15,30.24,30.14,29.95,29.90,29.88,30.09,30.23
2028,30.07,30.16,30.25,30.15,29.97,29.91,29.90,30.10,30.24
2029,30.10,30.23,30.29,30.18,29.99,29.92,29.97,30.13,30.28
2030,30.12,30.24,30.31,30.20,30.00,29.95,29.96,30.15,30.30
2031,30.25,30.35,30.44,30.33,30.14,30.08,30.09,30.28,30.43
2032,30.29,30.40,30.48,30.37,30.18,30.12,30.13,30.32,30.47
2033,30.20,30.29,30.35,30.26,30.07,30.06,30.04,30.20,30.34
2034,30.22,30.29,30.38,30.29,30.09,30.07,30.02,30.23,30.37
2035,30.21,30.31,30.40,30.29,30.10,30.04,30.04,30.24,30.39
2036,30.22,30.33,30.40,30.29,30.10,30.05,30.06,30.24,30.39
2037,30.40,30.49,30.58,30.47,30.28,30.23,30.23,30.43,30.57
2038,30.34,30.42,30.52,30.42,30.23,30.18,30.16,30.37,30.51
2039,30.38,30.50,30.57,30.46,30.27,30.21,30.23,30.41,30.56
2040,30.41,30.51,30.60,30.49,30.29,30.24,30.24,30.44,30.59
2041,30.30,30.40,30.47,30.37,30.18,30.14,30.13,30.31,30.46
2042,30.44,30.52,30.61,30.51,30.33,30.29,30.27,30.46,30.60
2043,30.32,30.41,30.50,30.40,30.21,30.16,30.14,30.34,30.49
2044,30.35,30.43,30.52,30.42,30.22,30.20,30.16,30.36,30.51
2045,30.40,30.49,30.57,30.47,30.28,30.25,30.22,30.41,30.56
2046,30.46,30.59,30.64,30.54,30.34,30.30,30.32,30.48,30.63
2047,30.53,30.64,30.72,30.61,30.42,30.36,30.37,30.56,30.71
2048,30.66,30.75,30.84,30.73,30.54,30.49,30.48,30.68,30.83
2049,30.57,30.68,30.76,30.65,30.45,30.40,30.40,30.60,30.75
2050,30.42,30.54,30.59,30.49,30.30,30.26,30.27,30.43,30.58
2051,30.52,30.65,30.71,30.60,30.40,30.34,30.37,30.55,30.70
2052,30.80,30.93,31.00,30.88,30.68,30.61,30.65,30.83,30.99
2053,30.68,30.78,30.87,30.76,30.57,30.50,30.52,30.72,30.86
2054,30.68,30.81,30.88,30.77,30.57,30.50,30.53,30.72,30.87
2055,30.73,30.84,30.93,30.82,30.62,30.55,30.56,30.77,30.92
2056,30.65,30.74,30.84,30.73,30.53,30.47,30.47,30.68,30.83
2057,30.83,30.94,31.02,30.91,30.71,30.66,30.67,30.86,31.01
2058,30.83,30.93,31.02,30.91,30.70,30.65,30.64,30.85,31.01
2059,30.78,30.90,30.98,30.86,30.67,30.59,30.63,30.82,30.97
2060,30.83,30.96,31.02,30.91,30.72,30.66,30.69,30.86,31.01
2061,30.83,30.94,31.02,30.91,30.70,30.65,30.65,30.85,31.01
2062,30.77,30.86,30.95,30.84,30.64,30.60,30.59,30.79,30.94
2063,30.98,31.09,31.17,31.06,30.87,30.80,30.82,31.01,31.16
2064,30.86,30.97,31.05,30.94,30.74,30.69,30.69,30.89,31.04
2065,30.97,31.09,31.17,31.06,30.87,30.79,30.82,31.01,31.16
2066,31.01,31.11,31.19,31.08,30.89,30.84,30.83,31.03,31.18
2067,30.94,31.08,31.16,31.03,30.83,30.74,30.79,30.99,31.15
2068,30.95,31.06,31.14,31.03,30.83,30.77,30.78,30.98,31.13
2069,30.98,31.06,31.16,31.05,30.85,30.81,30.78,31.00,31.15
2070,30.95,31.04,31.13,31.03,30.83,30.79,30.77,30.97,31.12
2071,30.89,31.00,31.08,30.97,30.78,30.71,30.73,30.92,31.07
2072,31.02,31.11,31.22,31.11,30.90,30.84,30.83,31.05,31.21
2073,31.18,31.25,31.37,31.26,31.05,31.01,30.96,31.20,31.36
2074,30.85,30.98,31.04,30.93,30.75,30.67,30.72,30.89,31.03
2075,31.06,31.17,31.25,31.14,30.94,30.89,30.89,31.09,31.24
2076,31.09,31.19,31.27,31.16,30.97,30.92,30.92,31.11,31.26
2077,31.15,31.26,31.34,31.23,31.04,30.97,30.99,31.18,31.33
2078,31.04,31.18,31.25,31.13,30.94,30.85,30.91,31.09,31.24
2079,31.05,31.16,31.25,31.14,30.94,30.87,30.89,31.09,31.24
2080,31.08,31.16,31.27,31.16,30.95,30.90,30.87,31.10,31.26
2081,31.10,31.23,31.29,31.18,30.98,30.92,30.96,31.13,31.28
2082,31.12,31.19,31.30,31.19,30.99,30.95,30.91,31.14,31.29
2083,31.15,31.26,31.34,31.23,31.04,30.98,30.99,31.18,31.33
2084,31.25,31.37,31.45,31.34,31.14,31.07,31.10,31.29,31.44
2085,31.17,31.30,31.35,31.24,31.06,31.00,31.03,31.20,31.34
2086,31.22,31.33,31.41,31.30,31.12,31.05,31.07,31.26,31.40
2087,31.31,31.43,31.51,31.40,31.20,31.13,31.16,31.35,31.50
2088,31.15,31.28,31.35,31.24,31.04,30.97,31.00,31.19,31.34
2089,31.29,31.39,31.48,31.37,31.18,31.11,31.12,31.32,31.47
2090,31.32,31.44,31.51,31.40,31.21,31.14,31.16,31.35,31.50
