Variable:,tasmax
,Rwanda,East/Iburasirazuba,"Kigali City/Umujyi wa Kigali",North/Amajyaruguru,South/Amajyepfo,West/Iburengerazuba
2015,26.10,26.53,26.34,24.73,24.96,24.93
2016,25.94,26.32,26.14,24.59,24.89,24.85
2017,26.02,26.41,26.23,24.64,24.96,24.91
2018,26.13,26.53,26.35,24.78,25.11,25.07
2019,26.11,26.51,26.33,24.81,25.10,25.08
2020,26.22,26.66,26.46,24.82,25.16,25.09
2021,26.05,26.45,26.25,24.69,25.02,24.98
2022,26.08,26.47,26.29,24.71,25.00,24.97
2023,26.23,26.70,26.51,24.83,25.13,25.07
2024,26.34,26.75,26.58,24.92,25.23,25.17
2025,26.28,26.67,26.50,24.90,25.21,25.15
2026,26.29,26.71,26.54,24.92,25.20,25.16
2027,26.24,26.62,26.44,24.89,25.23,25.17
2028,26.31,26.71,26.52,24.92,25.23,25.18
2029,26.40,26.79,26.61,25.04,25.32,25.29
2030,26.32,26.70,26.52,24.91,25.21,25.16
2031,26.48,26.89,26.72,25.11,25.40,25.35
2032,26.43,26.87,26.68,25.03,25.35,25.29
2033,26.53,26.91,26.73,25.18,25.49,25.45
2034,26.42,26.84,26.64,25.06,25.43,25.37
2035,26.40,26.77,26.59,25.04,25.30,25.27
2036,26.53,26.94,26.75,25.16,25.43,25.39
2037,26.68,27.08,26.90,25.34,25.58,25.56
2038,26.66,27.11,26.92,25.29,25.59,25.54
2039,26.60,27.04,26.84,25.19,25.56,25.47
2040,26.55,26.95,26.77,25.20,25.50,25.45
2041,26.70,27.10,26.92,25.35,25.65,25.61
2042,26.82,27.26,27.07,25.44,25.75,25.69
2043,26.70,27.09,26.91,25.35,25.69,25.63
2044,26.76,27.18,26.99,25.34,25.62,25.58
2045,26.76,27.16,26.98,25.38,25.61,25.59
2046,27.02,27.47,27.27,25.61,25.96,25.89
2047,26.78,27.15,26.94,25.46,25.84,25.80
2048,27.09,27.49,27.31,25.71,26.08,26.00
2049,27.04,27.47,27.30,25.67,25.95,25.90
2050,26.89,27.32,27.12,25.54,25.88,25.82
2051,27.19,27.61,27.44,25.74,25.99,25.94
2052,27.13,27.54,27.36,25.77,26.04,26.01
2053,27.03,27.45,27.25,25.65,25.96,25.91
2054,27.02,27.43,27.25,25.66,25.89,25.86
2055,27.13,27.55,27.37,25.72,25.96,25.92
2056,27.03,27.44,27.25,25.68,25.99,25.94
2057,27.35,27.74,27.56,26.03,26.24,26.23
2058,27.35,27.78,27.60,25.97,26.26,26.20
2059,27.14,27.52,27.34,25.75,26.11,26.04
2060,27.28,27.75,27.55,25.91,26.19,26.13
2061,27.31,27.72,27.55,25.95,26.25,26.21
2062,27.18,27.59,27.37,25.80,26.11,26.08
2063,27.33,27.73,27.55,25.96,26.21,26.18
2064,27.46,27.90,27.70,26.04,26.31,26.25
2065,27.42,27.84,27.67,26.06,26.40,26.33
2066,27.31,27.73,27.54,25.97,26.29,26.24
2067,27.54,27.96,27.80,26.13,26.46,26.37
2068,27.42,27.78,27.62,26.02,26.21,26.21
2069,27.25,27.65,27.48,25.91,26.16,26.13
2070,27.32,27.75,27.56,25.91,26.22,26.16
2071,27.49,27.91,27.75,26.15,26.39,26.35
2072,27.50,27.92,27.73,26.15,26.36,26.34
2073,27.71,28.14,27.95,26.33,26.63,26.57
2074,27.37,27.81,27.61,25.97,26.34,26.26
2075,27.45,27.85,27.67,26.05,26.35,26.30
2076,27.64,28.07,27.90,26.27,26.51,26.48
2077,27.63,28.00,27.84,26.28,26.61,26.55
2078,27.57,28.05,27.82,26.15,26.61,26.50
2079,27.66,28.07,27.90,26.27,26.53,26.48
2080,27.58,28.05,27.85,26.14,26.52,26.43
2081,27.72,28.15,27.97,26.33,26.62,26.57
2082,27.70,28.11,27.93,26.34,26.63,26.59
2083,27.82,28.26,28.08,26.42,26.76,26.69
2084,27.65,28.05,27.86,26.36,26.65,26.63
2085,27.70,28.08,27.89,26.37,26.72,26.68
2086,27.80,28.22,28.04,26.47,26.72,26.70
2087,27.89,28.32,28.14,26.54,26.93,26.84
2088,27.56,27.96,27.77,26.20,26.45,26.43
2089,27.82,28.28,28.10,26.43,26.76,26.68
2090,27.87,28.29,28.11,26.49,26.85,26.76
2091,28.05,28.54,28.35,26.69,26.98,26.91
2092,27.69,28.08,27.91,26.35,26.66,26.61
2093,27.99,28.51,28.31,26.56,26.91,26.81
2094,27.95,28.38,28.20,26.56,26.86,26.81
2095,27.95,28.39,28.21,26.52,26.85,26.77
2096,27.79,28.22,28.01,26.39,26.76,26.68
2097,27.90,28.34,28.13,26.51,26.78,26.75
2098,27.88,28.32,28.14,26.51,26.78,26.73
2099,28.00,28.44,28.26,26.59,26.87,26.83
2100,28.03,28.45,28.27,26.69,26.98,26.94
