Variable:,tasmax
,Singapore,"Ang Mo Kio-cheng San","Bukit Timah","Central Singapore",Hougang,"Marine Parade",Northeast,"Potong Pasir","Sembawang-hong Kah","Tanjong Pagar"
2015,31.86,32.30,32.30,32.30,32.30,32.22,32.30,32.30,32.30,32.30
2016,31.93,32.35,32.35,32.35,32.35,32.27,32.35,32.35,32.35,32.35
2017,32.00,32.43,32.43,32.43,32.43,32.35,32.43,32.43,32.43,32.43
2018,32.09,32.53,32.53,32.53,32.53,32.45,32.53,32.53,32.53,32.53
2019,32.05,32.49,32.49,32.49,32.49,32.41,32.49,32.49,32.49,32.49
2020,32.01,32.42,32.42,32.42,32.42,32.34,32.42,32.42,32.42,32.42
2021,31.98,32.44,32.44,32.44,32.44,32.35,32.44,32.44,32.44,32.44
2022,32.09,32.57,32.57,32.57,32.57,32.48,32.57,32.57,32.57,32.57
2023,32.14,32.49,32.49,32.49,32.49,32.42,32.49,32.49,32.49,32.49
2024,32.18,32.65,32.65,32.65,32.65,32.56,32.65,32.65,32.65,32.65
2025,32.23,32.60,32.60,32.60,32.60,32.53,32.60,32.60,32.60,32.60
2026,32.27,32.62,32.62,32.62,32.62,32.55,32.62,32.62,32.62,32.62
2027,32.10,32.52,32.52,32.52,32.52,32.44,32.52,32.52,32.52,32.52
2028,32.17,32.68,32.68,32.68,32.68,32.58,32.68,32.68,32.68,32.68
2029,32.31,32.76,32.76,32.76,32.76,32.68,32.76,32.76,32.76,32.76
2030,32.20,32.57,32.57,32.57,32.57,32.50,32.57,32.57,32.57,32.57
2031,32.35,32.81,32.81,32.81,32.81,32.72,32.81,32.81,32.81,32.81
2032,32.41,32.84,32.84,32.84,32.84,32.76,32.84,32.84,32.84,32.84
2033,32.28,32.74,32.74,32.74,32.74,32.65,32.74,32.74,32.74,32.74
2034,32.30,32.71,32.71,32.71,32.71,32.63,32.71,32.71,32.71,32.71
2035,32.40,32.85,32.85,32.85,32.85,32.77,32.85,32.85,32.85,32.85
2036,32.38,32.86,32.86,32.86,32.86,32.77,32.86,32.86,32.86,32.86
2037,32.61,33.05,33.05,33.05,33.05,32.97,33.05,33.05,33.05,33.05
2038,32.54,32.93,32.93,32.93,32.93,32.86,32.93,32.93,32.93,32.93
2039,32.60,33.05,33.05,33.05,33.05,32.97,33.05,33.05,33.05,33.05
2040,32.66,33.01,33.01,33.01,33.01,32.94,33.01,33.01,33.01,33.01
2041,32.51,32.99,32.99,32.99,32.99,32.90,32.99,32.99,32.99,32.99
2042,32.70,33.09,33.09,33.09,33.09,33.02,33.09,33.09,33.09,33.09
2043,32.47,32.91,32.91,32.91,32.91,32.83,32.91,32.91,32.91,32.91
2044,32.60,33.04,33.04,33.04,33.04,32.96,33.04,33.04,33.04,33.04
2045,32.60,32.95,32.95,32.95,32.95,32.88,32.95,32.95,32.95,32.95
2046,32.68,33.11,33.11,33.11,33.11,33.03,33.11,33.11,33.11,33.11
2047,32.68,33.11,33.11,33.11,33.11,33.03,33.11,33.11,33.11,33.11
2048,32.69,33.16,33.16,33.16,33.16,33.07,33.16,33.16,33.16,33.16
