Variable:,tasmax
,Thailand,"Amnat Charoen","Ang Thong",Bangkok,Buriram,Chachoengsao,Chainat,Chaiyaphum,Chanthaburi,"Chiang Mai","Chiang Rai",Chonburi,Chumphon,Kalasin,"Kampaeng Phet",Kanchanaburi,"Khon Kaen",Krabi,Lampang,Lamphun,Loei,Lopburi,"Mae Hong Son","Maha Sarakham",Mukdahan,"Nakhon Nayok","Nakhon Pathom","Nakhon Phanom","Nakhon Ratchasima","Nakhon Sawan","Nakhon Si Thammarat",Nan,Narathiwat,"Nong Bua Lamphu","Nong Khai",Nonthaburi,"Pathum Thani",Pattani,Phachinburi,Phangnga,Phatthalung,Phayao,Phetchabun,Phetchaburi,Phichit,Phitsanulok,"Phra Nakhon Si Ayudhya",Phrae,Phuket,"Prachuap Khilikhan",Ranong,Ratchaburi,Rayong,"Roi Et","Sa Kaeo","Sakon Nakhon","Samut Prakarn","Samut Sakhon","Samut Songkham",Saraburi,Satun,"Si Saket",Singburi,Songkhla,Sukhothai,Suphanburi,"Surat Thani",Surin,Tak,Trad,Trang,"Ubon Ratchathani","Udon Thani","Uthai Thani",Uttaradit,Yala,Yasothon
2015,31.78,32.75,33.15,31.37,32.79,32.34,32.34,32.66,31.03,30.79,30.18,31.95,30.88,32.76,30.98,30.84,32.55,30.99,31.27,31.27,31.33,33.17,31.09,32.85,32.43,33.10,31.68,31.82,32.79,32.62,32.03,31.44,30.84,31.77,31.14,31.65,32.72,31.08,32.85,30.66,31.70,30.97,32.73,30.56,33.09,32.79,33.15,32.08,29.90,30.75,30.15,30.44,29.89,32.85,32.13,32.25,31.37,31.37,30.63,33.14,30.61,32.90,33.20,32.04,31.44,32.01,31.35,33.06,31.55,30.59,30.24,32.66,31.89,31.09,32.43,30.78,32.71
2016,32.02,32.99,33.57,31.69,33.14,32.59,32.72,33.00,31.22,30.99,30.30,32.18,30.97,32.90,31.20,31.14,32.80,30.91,31.60,31.54,31.76,33.61,31.34,33.03,32.63,33.55,32.04,32.05,33.16,33.02,31.95,31.67,30.82,32.03,31.46,31.99,33.11,31.07,33.23,30.60,31.62,31.12,33.09,30.90,33.42,33.08,33.57,32.37,29.83,31.01,30.20,30.82,30.04,33.03,32.50,32.43,31.69,31.69,31.00,33.58,30.55,33.23,33.63,31.97,31.65,32.40,31.32,33.36,31.83,30.71,30.17,32.95,32.11,31.35,32.70,30.77,32.94
2017,32.23,33.23,33.57,31.76,33.33,32.78,32.82,33.30,31.41,31.20,30.65,32.36,31.08,33.24,31.36,31.21,33.14,31.12,31.82,31.70,31.97,33.70,31.52,33.36,32.82,33.56,32.09,32.27,33.33,33.12,32.14,31.94,30.99,32.41,31.68,32.05,33.13,31.23,33.31,30.82,31.86,31.44,33.34,31.00,33.57,33.27,33.57,32.60,30.00,31.15,30.32,30.87,30.26,33.33,32.66,32.70,31.76,31.76,31.06,33.59,30.73,33.43,33.64,32.21,31.85,32.45,31.51,33.58,31.89,30.90,30.35,33.15,32.46,31.54,32.93,30.93,33.17
2018,32.16,33.22,33.61,31.76,33.14,32.71,32.84,33.16,31.31,31.12,30.56,32.30,31.17,33.19,31.39,31.24,32.97,31.18,31.71,31.61,31.78,33.68,31.44,33.25,32.85,33.45,32.10,32.15,33.17,33.13,32.26,31.84,31.09,32.17,31.49,32.05,33.16,31.34,33.20,30.86,31.89,31.31,33.23,30.92,33.54,33.20,33.61,32.49,30.08,31.11,30.37,30.83,30.17,33.25,32.48,32.54,31.76,31.76,31.03,33.54,30.75,33.33,33.67,32.23,31.79,32.48,31.59,33.43,31.90,30.83,30.37,33.08,32.23,31.57,32.81,31.03,33.17
2019,32.06,33.06,33.43,31.61,33.10,32.60,32.69,33.08,31.29,31.10,30.48,32.20,30.92,32.99,31.31,31.18,32.90,31.03,31.71,31.63,31.67,33.53,31.43,33.14,32.67,33.34,31.95,32.07,33.12,32.99,32.05,31.78,31.00,32.08,31.43,31.90,32.99,31.24,33.10,30.68,31.84,31.28,33.14,30.87,33.43,33.10,33.43,32.46,29.97,31.00,30.16,30.75,30.18,33.13,32.42,32.45,31.61,31.61,30.93,33.40,30.77,33.23,33.50,32.21,31.75,32.32,31.35,33.36,31.91,30.83,30.35,32.96,32.14,31.42,32.72,30.94,33.01
2020,32.04,33.13,33.38,31.56,33.08,32.55,32.59,33.09,31.26,30.93,30.28,32.14,30.95,33.13,31.12,31.04,32.96,31.05,31.60,31.47,31.80,33.45,31.29,33.20,32.81,33.33,31.90,32.25,33.06,32.88,32.03,31.71,30.90,32.26,31.58,31.85,32.94,31.13,33.08,30.75,31.72,31.09,33.14,30.83,33.33,32.99,33.38,32.39,30.00,30.97,30.18,30.71,30.11,33.19,32.46,32.68,31.56,31.56,30.89,33.37,30.66,33.26,33.44,32.08,31.57,32.25,31.38,33.40,31.66,30.77,30.30,33.00,32.36,31.33,32.61,30.85,33.09
2021,32.10,33.12,33.51,31.72,33.22,32.61,32.77,33.15,31.19,31.01,30.42,32.18,30.95,33.16,31.33,31.17,32.98,31.05,31.66,31.54,31.72,33.62,31.33,33.27,32.82,33.46,32.04,32.18,33.21,33.07,32.07,31.71,31.03,32.15,31.52,32.00,33.07,31.28,33.18,30.75,31.72,31.17,33.20,30.87,33.52,33.18,33.51,32.43,30.00,30.99,30.21,30.79,30.01,33.26,32.46,32.62,31.72,31.72,30.98,33.51,30.67,33.34,33.59,32.08,31.80,32.39,31.41,33.51,31.81,30.70,30.27,32.99,32.26,31.48,32.79,30.96,33.08
2022,32.21,33.21,33.72,31.72,33.21,32.79,32.89,33.17,31.38,31.23,30.66,32.36,31.16,33.16,31.46,31.24,33.04,31.20,31.84,31.75,31.88,33.72,31.51,33.29,32.79,33.55,32.10,32.26,33.21,33.19,32.24,31.94,31.06,32.27,31.61,32.04,33.23,31.31,33.30,30.90,31.89,31.42,33.27,30.91,33.63,33.27,33.72,32.61,30.09,31.10,30.39,30.79,30.23,33.28,32.59,32.62,31.72,31.72,30.99,33.65,30.77,33.38,33.77,32.23,31.92,32.54,31.58,33.51,31.98,30.89,30.40,33.10,32.32,31.62,32.87,31.01,33.15
2023,32.23,33.33,33.61,31.71,33.33,32.74,32.81,33.32,31.46,31.13,30.59,32.33,31.06,33.33,31.42,31.28,33.14,31.16,31.71,31.61,31.96,33.71,31.43,33.41,32.96,33.59,32.08,32.39,33.33,33.11,32.19,31.83,31.08,32.34,31.71,32.01,33.15,31.32,33.32,30.84,31.87,31.35,33.36,30.97,33.57,33.24,33.61,32.46,30.09,31.08,30.30,30.91,30.29,33.40,32.65,32.77,31.71,31.71,31.08,33.63,30.78,33.50,33.67,32.22,31.78,32.48,31.51,33.58,31.92,31.00,30.41,33.22,32.43,31.54,32.84,31.03,33.28
2024,32.22,33.22,33.61,31.74,33.24,32.76,32.88,33.22,31.43,31.14,30.54,32.36,31.11,33.29,31.48,31.36,33.06,31.16,31.81,31.70,31.96,33.70,31.45,33.35,32.84,33.51,32.11,32.23,33.25,33.17,32.17,31.92,31.06,32.38,31.72,32.04,33.15,31.29,33.27,30.87,31.81,31.35,33.30,31.06,33.63,33.30,33.61,32.60,30.12,31.17,30.37,30.97,30.31,33.33,32.60,32.70,31.74,31.74,31.13,33.58,30.76,33.37,33.67,32.17,31.88,32.51,31.52,33.50,32.01,30.96,30.38,33.13,32.46,31.66,32.91,31.01,33.17
