Variable:,tasmax
,"Trinidad and Tobago",Arima,Chaguanas,Couva/Tabaquite/Talparo,"Diego Martin",Penal/Debe,"Point Fortin","Port Of Spain","Princes Town","Rio Claro/Mayaro","San Fernando","San Juan/Laventille","Sangre Grande",Siparia,Tobago,Tunapuna/Piarco
2015,29.78,30.94,30.94,30.94,30.94,30.94,30.94,30.94,30.94,30.92,30.94,30.94,30.84,30.94,29.39,30.94
2016,29.88,31.07,31.07,31.07,31.07,31.07,31.07,31.07,31.07,31.05,31.07,31.07,30.97,31.07,29.47,31.07
2017,29.91,31.11,31.11,31.11,31.11,31.11,31.11,31.11,31.11,31.09,31.11,31.11,31.01,31.11,29.48,31.11
2018,29.87,31.01,31.01,31.01,31.01,31.01,31.01,31.01,31.01,30.99,31.01,31.01,30.92,31.01,29.45,31.01
2019,29.96,31.12,31.12,31.12,31.12,31.12,31.12,31.12,31.12,31.10,31.12,31.12,31.02,31.12,29.58,31.12
2020,29.92,31.06,31.06,31.06,31.06,31.06,31.06,31.06,31.06,31.04,31.06,31.06,30.96,31.06,29.52,31.06
2021,30.00,31.23,31.23,31.23,31.23,31.23,31.23,31.23,31.23,31.21,31.23,31.23,31.13,31.23,29.59,31.23
2022,30.06,31.26,31.26,31.26,31.26,31.26,31.26,31.26,31.26,31.24,31.26,31.26,31.16,31.26,29.67,31.26
2023,30.03,31.28,31.28,31.28,31.28,31.28,31.28,31.28,31.28,31.26,31.28,31.28,31.17,31.28,29.60,31.28
2024,30.15,31.34,31.34,31.34,31.34,31.34,31.34,31.34,31.34,31.32,31.34,31.34,31.24,31.34,29.75,31.34
2025,30.06,31.20,31.20,31.20,31.20,31.20,31.20,31.20,31.20,31.18,31.20,31.20,31.10,31.20,29.68,31.20
2026,30.11,31.41,31.41,31.41,31.41,31.41,31.41,31.41,31.41,31.39,31.41,31.41,31.30,31.41,29.71,31.41
2027,30.04,31.26,31.26,31.26,31.26,31.26,31.26,31.26,31.26,31.24,31.26,31.26,31.15,31.26,29.65,31.26
2028,30.22,31.40,31.40,31.40,31.40,31.40,31.40,31.40,31.40,31.38,31.40,31.40,31.30,31.40,29.81,31.40
2029,30.22,31.45,31.45,31.45,31.45,31.45,31.45,31.45,31.45,31.43,31.45,31.45,31.35,31.45,29.81,31.45
2030,30.16,31.34,31.34,31.34,31.34,31.34,31.34,31.34,31.34,31.32,31.34,31.34,31.24,31.34,29.74,31.34
2031,30.28,31.46,31.46,31.46,31.46,31.46,31.46,31.46,31.46,31.44,31.46,31.46,31.36,31.46,29.86,31.46
2032,30.28,31.52,31.52,31.52,31.52,31.52,31.52,31.52,31.52,31.50,31.52,31.52,31.42,31.52,29.84,31.52
2033,30.34,31.42,31.42,31.42,31.42,31.42,31.42,31.42,31.42,31.40,31.42,31.42,31.33,31.42,29.92,31.42
2034,30.22,31.45,31.45,31.45,31.45,31.45,31.45,31.45,31.45,31.43,31.45,31.45,31.35,31.45,29.82,31.45
2035,30.24,31.43,31.43,31.43,31.43,31.43,31.43,31.43,31.43,31.41,31.43,31.43,31.33,31.43,29.83,31.43
2036,30.28,31.47,31.47,31.47,31.47,31.47,31.47,31.47,31.47,31.45,31.47,31.47,31.37,31.47,29.88,31.47
2037,30.46,31.68,31.68,31.68,31.68,31.68,31.68,31.68,31.68,31.66,31.68,31.68,31.58,31.68,30.04,31.68
2038,30.52,31.74,31.74,31.74,31.74,31.74,31.74,31.74,31.74,31.72,31.74,31.74,31.64,31.74,30.10,31.74
2039,30.52,31.68,31.68,31.68,31.68,31.68,31.68,31.68,31.68,31.66,31.68,31.68,31.58,31.68,30.12,31.68
2040,30.39,31.63,31.63,31.63,31.63,31.63,31.63,31.63,31.63,31.61,31.63,31.63,31.52,31.63,29.99,31.63
2041,30.37,31.61,31.61,31.61,31.61,31.61,31.61,31.61,31.61,31.59,31.61,31.61,31.50,31.61,29.99,31.61
2042,30.53,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.73,31.75,31.75,31.65,31.75,30.12,31.75
2043,30.40,31.55,31.55,31.55,31.55,31.55,31.55,31.55,31.55,31.53,31.55,31.55,31.45,31.55,30.02,31.55
