Variable:,tasmax
,Tunisia,Ariana,"Ben Arous",Bizerte,Beja,Gabes,Gafsa,Jendouba,Kairouan,Kasserine,Kebili,"Le Kef",Mahdia,Manouba,Monastir,Medenine,Nabeul,Sfax,"Sidi Bouz",Siliana,Sousse,Tataouine,Tozeur,Tunis,Zaghouan
2015,26.75,24.90,25.07,24.28,23.88,28.03,28.09,22.58,24.77,25.06,29.41,23.15,25.37,24.04,25.33,27.49,24.97,26.14,26.41,24.13,25.25,30.21,29.28,25.07,24.50
2016,26.65,24.79,24.93,24.12,23.69,27.97,28.21,22.40,24.65,25.08,29.38,23.05,25.21,23.86,25.18,27.35,24.83,25.99,26.41,23.98,25.10,30.12,29.33,24.93,24.34
2017,26.88,24.92,25.06,24.29,23.87,28.19,28.23,22.57,24.93,25.29,29.60,23.27,25.46,24.03,25.42,27.65,24.97,26.24,26.56,24.21,25.31,30.49,29.45,25.06,24.49
2018,26.82,25.00,25.15,24.42,24.08,28.07,28.26,22.76,24.93,25.33,29.41,23.39,25.44,24.23,25.41,27.47,25.05,26.20,26.58,24.34,25.33,30.13,29.39,25.15,24.64
2019,26.99,25.12,25.27,24.57,24.22,28.32,28.44,23.06,25.06,25.48,29.70,23.61,25.52,24.37,25.49,27.66,25.16,26.30,26.71,24.48,25.42,30.42,29.58,25.27,24.77
2020,27.13,25.16,25.32,24.55,24.24,28.46,28.68,22.96,25.25,25.63,29.85,23.61,25.77,24.40,25.75,27.80,25.21,26.58,26.94,24.57,25.62,30.58,29.81,25.32,24.81
2021,27.06,25.21,25.36,24.67,24.33,28.34,28.57,23.03,25.18,25.59,29.74,23.65,25.70,24.48,25.67,27.68,25.26,26.44,26.85,24.58,25.57,30.45,29.71,25.36,24.87
2022,27.07,25.21,25.32,24.61,24.19,28.38,28.53,22.76,25.10,25.43,29.75,23.40,25.62,24.35,25.58,27.79,25.23,26.43,26.77,24.47,25.50,30.47,29.71,25.32,24.79
2023,26.98,25.15,25.30,24.50,24.10,28.26,28.39,22.83,25.04,25.40,29.67,23.45,25.62,24.26,25.60,27.66,25.20,26.34,26.67,24.37,25.51,30.47,29.56,25.30,24.73
2024,27.23,25.36,25.51,24.67,24.31,28.58,28.65,23.00,25.28,25.61,29.92,23.62,25.86,24.48,25.83,27.99,25.41,26.60,26.91,24.60,25.73,30.72,29.78,25.51,24.94
2025,27.28,25.38,25.56,24.73,24.42,28.55,28.71,23.19,25.37,25.75,29.96,23.81,25.87,24.59,25.85,27.97,25.45,26.65,27.02,24.72,25.76,30.78,29.85,25.56,25.03
2026,27.34,25.44,25.59,24.84,24.48,28.67,28.89,23.29,25.49,25.90,30.03,23.92,25.98,24.64,25.95,27.98,25.49,26.83,27.19,24.81,25.84,30.66,29.98,25.59,25.07
2027,27.17,25.37,25.53,24.73,24.36,28.38,28.66,23.16,25.28,25.69,29.81,23.76,25.79,24.52,25.76,27.76,25.42,26.51,26.91,24.64,25.69,30.66,29.77,25.53,24.97
2028,27.32,25.59,25.78,24.91,24.59,28.55,28.76,23.31,25.47,25.80,29.99,23.89,26.04,24.76,26.00,27.88,25.66,26.72,27.06,24.85,25.93,30.67,29.95,25.78,25.22
2029,27.13,25.23,25.34,24.66,24.20,28.49,28.56,23.01,25.06,25.48,29.91,23.57,25.66,24.34,25.62,27.84,25.25,26.46,26.79,24.43,25.53,30.68,29.80,25.34,24.79
