Variable:,tasmax
,Türkiye,Adana,Adiyaman,Afyon,Agri,Aksaray,Amasya,Ankara,Antalya,Ardahan,Artvin,Aydin,Balikesir,Bartin,Batman,Bayburt,Bilecik,Bingol,Bitlis,Bolu,Burdur,Bursa,Canakkale,Cankiri,Corum,Denizli,Diyarbakir,Edirne,Elazig,Erzincan,Erzurum,Eskisehir,Gaziantep,Giresun,Gumushane,Hakkari,Hatay,Icel,Igdir,Isparta,Istanbul,Izmir,K.maras,Karabuk,Karaman,Kars,Kastamonu,Kayseri,Kilis,Kirikkale,Kirklareli,Kirsehir,Kocaeli,Konya,Kutahya,Malatya,Manisa,Mardin,Mugla,Mus,Nevsehir,Nigde,Ordu,Osmaniye,Rize,Sakarya,Samsun,Sanliurfa,Siirt,Sinop,Sirnak,Sivas,Tekirdag,Tokat,Trabzon,Tunceli,Usak,Van,Yalova,Yozgat,Zonguldak
2015,18.20,22.53,23.61,19.25,14.48,18.98,16.95,18.00,22.17,12.01,13.11,23.36,21.46,16.77,24.24,14.43,18.26,19.38,19.94,17.54,20.41,19.71,20.87,17.18,17.28,21.93,23.64,19.62,20.76,16.84,13.76,17.72,23.91,15.27,15.30,22.14,23.50,21.59,13.77,19.82,19.10,22.57,21.20,16.84,19.67,12.20,15.71,17.38,24.51,17.93,19.79,18.04,18.73,18.54,19.28,18.25,22.55,25.88,23.14,18.32,18.64,18.57,15.90,24.36,14.69,18.05,17.03,25.71,24.71,16.12,25.85,16.24,19.92,16.62,14.89,17.77,20.87,16.58,19.18,17.66,18.34
2016,17.99,22.31,23.40,18.96,14.62,18.82,16.58,17.71,21.90,11.98,13.06,23.04,21.14,16.29,24.05,14.43,17.87,19.41,19.95,17.21,20.19,19.30,20.57,16.91,16.94,21.66,23.51,19.21,20.65,16.85,13.93,17.36,23.68,15.04,15.20,22.05,23.28,21.37,13.86,19.60,18.73,22.28,20.99,16.40,19.55,12.36,15.28,17.20,24.35,17.65,19.43,17.80,18.30,18.38,18.91,18.05,22.26,25.66,22.82,18.38,18.44,18.41,15.56,24.17,14.64,17.66,16.60,25.52,24.54,15.68,25.65,15.97,19.56,16.24,14.83,17.78,20.56,16.60,18.75,17.42,17.83
2017,18.19,22.65,23.63,19.12,14.58,18.97,16.87,17.96,22.15,12.06,13.13,23.32,21.56,16.77,24.32,14.41,18.21,19.50,20.05,17.48,20.35,19.70,20.92,17.17,17.22,21.87,23.72,19.51,20.81,16.93,13.87,17.62,23.97,15.24,15.30,22.00,23.55,21.70,13.81,19.70,19.02,22.63,21.26,16.84,19.64,12.36,15.68,17.42,24.60,17.89,19.70,17.99,18.67,18.45,19.19,18.25,22.62,25.91,23.13,18.45,18.63,18.63,15.82,24.45,14.66,18.02,16.92,25.73,24.72,16.04,25.79,16.26,19.87,16.53,14.87,17.85,20.80,16.63,19.15,17.67,18.29
2018,18.12,22.32,23.39,19.31,14.52,18.77,16.73,17.93,22.11,12.02,13.15,23.30,21.40,16.68,24.12,14.53,18.23,19.53,19.88,17.44,20.51,19.61,20.73,17.05,17.11,21.99,23.60,19.44,20.80,17.02,13.99,17.73,23.74,15.21,15.36,22.08,23.29,21.44,13.72,19.88,18.83,22.47,20.96,16.74,19.60,12.31,15.50,17.17,24.41,17.86,19.58,17.98,18.61,18.49,19.32,18.09,22.55,25.71,23.03,18.41,18.42,18.38,15.71,24.16,14.73,17.99,16.81,25.44,24.53,15.95,25.64,16.16,19.71,16.39,14.94,17.95,20.94,16.53,19.04,17.60,18.16
2019,18.21,22.58,23.76,19.40,14.56,18.93,16.78,17.98,22.23,11.97,13.11,23.47,21.57,16.65,24.41,14.41,18.33,19.46,20.15,17.47,20.64,19.76,20.91,17.12,17.15,22.13,23.75,19.60,20.80,16.90,13.83,17.80,24.03,15.24,15.22,22.19,23.53,21.61,13.73,19.96,18.97,22.65,21.29,16.73,19.70,12.14,15.59,17.38,24.60,17.90,19.70,18.01,18.70,18.59,19.43,18.26,22.69,26.05,23.21,18.47,18.55,18.59,15.76,24.46,14.66,18.05,16.83,25.82,24.84,15.95,25.93,16.23,19.86,16.45,14.82,17.84,21.04,16.69,19.18,17.62,18.17
2020,18.13,22.34,23.43,19.25,14.54,18.74,16.72,17.94,22.15,11.99,13.10,23.37,21.56,16.82,24.26,14.36,18.42,19.28,20.02,17.65,20.45,19.80,20.96,17.20,17.16,21.99,23.56,19.63,20.56,16.75,13.80,17.73,23.75,15.11,15.18,22.29,23.45,21.53,13.78,19.79,19.09,22.67,20.94,16.90,19.56,12.29,15.71,17.13,24.45,17.77,19.86,17.77,18.84,18.39,19.39,17.96,22.65,25.92,23.14,18.33,18.37,18.39,15.60,24.12,14.62,18.21,16.85,25.63,24.78,16.07,25.95,16.01,19.97,16.30,14.79,17.63,20.90,16.71,19.28,17.41,18.32
2021,18.34,22.55,23.72,19.37,14.90,19.02,16.91,18.13,22.25,12.36,13.44,23.41,21.65,16.78,24.44,14.63,18.43,19.71,20.30,17.67,20.52,19.84,21.07,17.23,17.28,21.99,23.85,19.83,20.88,17.13,14.17,17.93,24.06,15.36,15.47,22.32,23.44,21.62,14.07,19.94,19.24,22.70,21.27,16.87,19.73,12.56,15.73,17.45,24.64,18.02,19.94,18.07,18.86,18.64,19.43,18.27,22.64,26.01,23.20,18.72,18.61,18.57,15.91,24.42,14.90,18.24,17.05,25.84,24.91,16.13,26.01,16.33,20.06,16.61,15.06,18.04,20.92,16.93,19.29,17.73,18.38
2022,18.65,22.91,24.16,19.65,14.95,19.33,17.46,18.37,22.50,12.52,13.62,23.68,21.96,17.16,24.83,15.02,18.67,19.90,20.60,17.91,20.81,20.14,21.33,17.62,17.82,22.32,24.15,20.02,21.25,17.41,14.37,18.09,24.43,15.88,15.90,22.68,23.87,21.89,14.18,20.21,19.56,22.96,21.67,17.24,20.00,12.80,16.15,17.79,25.01,18.30,20.22,18.42,19.14,18.88,19.75,18.73,23.01,26.46,23.42,18.88,18.99,18.93,16.40,24.77,15.20,18.42,17.50,26.26,25.33,16.59,26.47,16.74,20.37,17.11,15.47,18.33,21.31,17.21,19.58,18.12,18.69
2023,18.58,22.96,24.05,19.71,14.93,19.44,17.37,18.49,22.50,12.28,13.44,23.64,21.73,17.10,24.62,14.79,18.71,19.80,20.33,17.99,20.91,20.03,21.07,17.62,17.69,22.33,24.00,19.77,21.13,17.31,14.18,18.21,24.38,15.67,15.70,22.51,23.87,21.95,14.20,20.31,19.19,22.81,21.65,17.20,20.11,12.51,16.02,17.81,25.01,18.36,19.93,18.46,19.08,19.02,19.70,18.66,22.86,26.25,23.40,18.68,19.07,19.01,16.28,24.81,15.02,18.48,17.33,26.14,25.11,16.41,26.26,16.67,20.07,17.02,15.25,18.23,21.24,17.02,19.51,18.12,18.59
2024,18.61,22.93,24.10,19.87,14.92,19.40,17.34,18.39,22.57,12.32,13.51,23.69,21.84,16.94,24.67,14.98,18.76,19.94,20.43,17.89,20.99,20.12,21.16,17.46,17.62,22.44,24.13,19.88,21.23,17.36,14.32,18.27,24.39,15.80,15.82,22.48,23.87,22.00,14.05,20.44,19.29,22.92,21.69,17.03,20.11,12.62,15.87,17.87,24.98,18.30,20.05,18.44,19.13,19.04,19.84,18.71,22.99,26.28,23.46,18.84,19.05,19.00,16.32,24.80,15.16,18.49,17.27,26.17,25.10,16.27,26.21,16.69,20.18,17.02,15.41,18.30,21.44,17.01,19.58,18.11,18.52
2025,18.70,22.89,24.19,19.75,15.08,19.36,17.44,18.43,22.58,12.70,13.80,23.75,21.95,17.12,24.76,15.05,18.75,20.02,20.51,17.97,20.99,20.22,21.26,17.64,17.78,22.46,24.20,19.97,21.32,17.54,14.42,18.21,24.46,15.81,15.89,22.60,23.93,21.92,14.34,20.33,19.41,22.97,21.71,17.21,20.11,12.83,16.18,17.84,25.07,18.38,20.13,18.48,19.18,18.99,19.82,18.80,23.04,26.36,23.52,18.93,19.03,18.95,16.33,24.81,15.31,18.48,17.48,26.26,25.21,16.62,26.31,16.81,20.27,17.06,15.48,18.44,21.37,17.13,19.67,18.14,18.72
2026,18.70,22.86,24.05,19.73,15.22,19.38,17.42,18.49,22.52,12.52,13.65,23.74,22.04,17.14,24.81,15.08,18.81,20.07,20.77,18.06,20.88,20.30,21.39,17.64,17.74,22.39,24.22,20.10,21.35,17.41,14.45,18.19,24.32,15.91,15.97,22.74,23.76,21.93,14.36,20.27,19.50,22.98,21.60,17.23,20.05,12.76,16.14,17.81,24.94,18.42,20.25,18.53,19.27,18.97,19.81,18.67,23.06,26.24,23.48,19.09,19.01,18.92,16.42,24.70,15.24,18.55,17.45,26.14,25.35,16.53,26.46,16.71,20.40,17.10,15.54,18.38,21.34,17.33,19.78,18.15,18.70
2027,18.63,22.87,24.07,19.67,15.17,19.37,17.27,18.41,22.57,12.49,13.62,23.72,21.85,17.27,24.82,14.95,18.65,20.04,20.54,17.93,20.89,20.10,21.22,17.58,17.67,22.37,24.16,19.95,21.20,17.35,14.40,18.12,24.25,15.73,15.77,22.63,23.79,21.96,14.38,20.30,19.38,22.89,21.56,17.32,20.08,12.75,16.19,17.78,24.84,18.35,20.14,18.43,19.09,18.97,19.65,18.65,22.92,26.38,23.50,19.01,19.00,18.95,16.34,24.65,15.20,18.41,17.37,26.19,25.29,16.53,26.41,16.65,20.26,16.97,15.38,18.28,21.26,17.18,19.57,18.05,18.67
2028,18.67,22.89,24.10,19.79,15.20,19.28,17.30,18.45,22.54,12.58,13.68,23.85,21.97,17.32,24.85,14.90,18.81,19.97,20.62,18.12,20.96,20.22,21.31,17.66,17.67,22.48,24.22,20.05,21.29,17.32,14.40,18.26,24.38,15.77,15.82,22.70,23.78,21.86,14.43,20.30,19.56,23.03,21.65,17.39,19.95,12.93,16.22,17.75,24.93,18.26,20.19,18.28,19.24,18.86,19.86,18.69,23.10,26.40,23.59,19.01,18.90,18.91,16.27,24.75,15.16,18.57,17.39,26.21,25.35,16.57,26.47,16.58,20.31,16.98,15.37,18.28,21.45,17.25,19.68,17.90,18.83
