Variable:,tasmax
,Ukraine,Cherkas'ka,Chernihivs'ka,Chernivets'ka,Dnipropetrovs'ka,Donets'ka,Ivano-frankivs'ka,Kharkivs'ka,Khersons'ka,Khmel'nyts'ka,Kirovohrads'ka,Krym,Kyyivs'ka,L'vivs'ka,Luhans'ka,Mykolayivs'ka,Odes'ka,Poltavs'ka,Rivnens'ka,Sums'ka,Ternopil's'ka,Vinnyts'ka,Volyns'ka,Zakarpats'ka,Zaporiz'ka,Zhytomyrs'ka
2015,13.91,13.75,12.98,12.78,14.97,15.27,12.24,13.89,15.41,14.69,14.12,16.25,13.14,12.67,14.28,14.36,15.81,13.83,13.12,12.84,13.28,14.67,12.95,15.18,15.68,13.38
2016,13.73,13.60,12.89,12.43,14.91,14.92,11.84,13.72,15.40,14.44,14.01,16.20,12.99,12.24,13.97,14.30,15.50,13.72,12.82,12.76,12.88,14.43,12.68,14.69,15.56,13.23
2017,13.88,13.90,13.07,12.72,14.90,15.06,12.16,13.91,15.48,14.64,14.12,16.24,13.20,12.62,14.14,14.44,15.75,13.93,12.94,12.93,13.22,14.65,12.80,15.05,15.57,13.32
2018,14.03,13.99,13.35,12.89,14.97,15.11,12.29,13.92,15.46,14.83,14.28,16.24,13.42,12.80,14.17,14.56,15.97,13.98,13.14,13.12,13.41,14.86,12.96,15.20,15.61,13.62
2019,13.89,13.93,13.19,12.76,14.88,14.93,12.18,13.63,15.42,14.79,14.10,16.16,13.36,12.74,13.82,14.40,15.74,13.97,13.11,12.96,13.31,14.80,13.00,15.12,15.51,13.53
2020,14.30,14.23,13.46,13.24,15.35,15.42,12.67,14.26,15.72,15.22,14.62,16.29,13.60,13.15,14.35,14.83,16.11,14.34,13.53,13.38,13.77,15.07,13.36,15.54,15.98,13.87
2021,14.48,14.41,13.80,13.14,15.54,15.65,12.60,14.51,15.99,15.17,14.70,16.66,13.85,13.14,14.71,14.89,16.05,14.50,13.64,13.61,13.65,15.20,13.47,15.48,16.17,14.05
2022,14.78,14.65,14.07,13.52,15.80,15.80,13.00,14.64,16.30,15.62,14.91,16.73,14.17,13.68,14.78,15.18,16.44,14.74,14.17,13.87,14.16,15.45,14.04,15.93,16.51,14.44
2023,13.84,13.81,13.23,12.65,14.76,14.86,12.12,13.64,15.39,14.63,14.03,16.28,13.32,12.61,13.83,14.32,15.77,13.80,13.04,12.89,13.13,14.67,12.89,15.11,15.50,13.48
2024,14.27,14.38,13.56,13.13,15.36,15.33,12.48,14.12,15.87,15.04,14.67,16.54,13.69,12.94,14.26,14.84,16.07,14.32,13.43,13.25,13.61,15.05,13.25,15.43,15.97,13.84
2025,14.51,14.49,13.81,13.48,15.50,15.61,12.80,14.24,16.11,15.44,14.76,16.81,13.95,13.32,14.51,15.02,16.29,14.38,13.76,13.47,14.00,15.37,13.58,15.65,16.20,14.15
2026,14.58,14.47,13.96,13.39,15.56,15.69,12.78,14.48,16.04,15.41,14.75,16.81,13.95,13.32,14.72,14.97,16.27,14.57,13.79,13.69,13.92,15.39,13.58,15.75,16.20,14.18
2027,14.54,14.53,13.89,13.34,15.54,15.64,12.81,14.50,16.15,15.18,14.76,16.80,13.98,13.22,14.60,15.00,16.25,14.67,13.54,13.75,13.70,15.25,13.39,15.77,16.22,14.07
2028,14.65,14.62,13.98,13.32,15.79,15.71,12.71,14.71,16.21,15.29,14.95,16.82,14.01,13.18,14.63,15.19,16.44,14.76,13.72,13.82,13.80,15.36,13.50,15.64,16.29,14.17
2029,14.53,14.54,13.86,13.09,15.59,15.61,12.60,14.47,16.16,15.20,14.84,16.71,13.95,13.13,14.61,15.11,16.39,14.59,13.63,13.69,13.67,15.19,13.44,15.59,16.23,14.05
2030,14.65,14.69,13.99,13.29,15.72,15.80,12.73,14.66,16.18,15.31,14.98,16.80,14.03,13.21,14.71,15.18,16.34,14.85,13.80,13.87,13.77,15.29,13.58,15.65,16.24,14.17
2031,14.62,14.62,13.74,13.30,15.80,15.84,12.72,14.72,16.44,15.20,14.82,17.06,14.02,13.21,14.80,15.25,16.45,14.68,13.52,13.65,13.78,15.37,13.40,15.64,16.47,14.11
2032,14.77,14.72,13.96,13.60,15.68,15.81,13.15,14.61,16.20,15.64,15.04,16.81,14.13,13.78,14.82,15.29,16.67,14.71,14.08,13.74,14.20,15.61,14.03,16.13,16.33,14.39
2033,14.70,14.65,13.94,13.37,15.77,15.92,12.85,14.75,16.24,15.34,14.96,16.90,14.08,13.30,14.89,15.18,16.43,14.67,13.76,13.82,13.90,15.47,13.57,15.72,16.39,14.24
2034,14.56,14.55,13.85,13.50,15.55,15.53,12.92,14.30,16.08,15.53,14.78,16.67,14.01,13.47,14.38,15.02,16.33,14.47,13.96,13.56,14.05,15.40,13.81,15.92,16.22,14.25
2035,14.62,14.57,13.72,13.41,15.81,15.92,12.80,14.67,16.20,15.25,15.02,16.91,13.82,13.25,14.97,15.23,16.61,14.66,13.65,13.59,13.78,15.35,13.53,15.75,16.39,13.98
2036,14.98,15.02,14.27,13.71,15.98,16.06,13.20,14.84,16.44,15.81,15.26,16.94,14.48,13.62,15.03,15.48,16.74,14.95,14.14,14.03,14.32,15.95,13.97,16.07,16.54,14.69
2037,14.71,14.62,13.97,13.47,15.76,15.88,13.01,14.64,16.27,15.44,14.91,17.08,14.08,13.55,14.77,15.17,16.46,14.68,13.89,13.73,14.03,15.40,13.79,15.96,16.46,14.30
2038,14.93,14.76,14.24,13.56,16.05,16.30,13.12,14.85,16.61,15.64,15.07,17.08,14.31,13.59,15.17,15.41,16.63,14.86,14.15,13.86,14.16,15.51,13.91,16.09,16.84,14.56
2039,14.94,15.00,14.31,13.64,16.02,16.03,13.11,14.86,16.56,15.60,15.26,17.16,14.39,13.61,14.96,15.45,16.75,14.98,14.01,14.07,14.16,15.71,13.80,16.06,16.68,14.45
2040,15.17,15.11,14.56,13.93,16.30,16.34,13.28,15.25,16.60,15.80,15.41,17.02,14.60,13.80,15.34,15.53,16.85,15.39,14.25,14.38,14.42,15.74,14.07,16.19,16.84,14.65
2041,14.98,14.96,14.36,13.83,15.83,16.01,13.30,14.81,16.32,15.83,15.12,17.03,14.47,13.80,15.05,15.27,16.74,14.94,14.30,14.00,14.39,15.90,14.07,16.22,16.50,14.70
2042,14.62,14.53,13.78,13.64,15.55,15.63,13.03,14.40,16.23,15.65,14.79,16.86,13.96,13.61,14.63,15.07,16.41,14.50,14.03,13.52,14.18,15.51,13.86,15.99,16.24,14.31
2043,15.27,15.24,14.49,14.02,16.33,16.36,13.47,15.20,16.63,16.05,15.57,17.21,14.70,13.95,15.35,15.69,17.03,15.32,14.52,14.37,14.57,16.12,14.24,16.36,16.95,14.95
