Variable:,tasmax
,Uruguay,Artigas,Canelones,"Cerro Largo",Colonia,Durazno,Flores,Florida,Lavalleja,Maldonado,Montevideo,Paysandu,"Rio Negro",Rivera,Rocha,Salto,"San Jose",Soriano,Tacuarembo,"Treinta Y Tres"
2015,23.46,25.19,20.81,23.28,22.60,22.80,22.45,21.96,21.46,21.06,21.42,24.19,23.83,24.20,21.59,24.56,21.62,22.89,23.68,22.53
2016,23.37,25.11,20.76,23.26,22.34,22.74,22.36,21.89,21.45,21.04,21.36,24.04,23.72,24.04,21.58,24.35,21.54,22.69,23.58,22.53
2017,23.31,25.05,20.55,23.11,22.30,22.72,22.47,21.87,21.36,20.87,21.15,24.00,23.66,24.00,21.45,24.38,21.37,22.87,23.53,22.43
2018,23.51,25.26,20.71,23.39,22.42,22.86,22.52,21.99,21.48,21.02,21.36,24.19,23.85,24.27,21.61,24.54,21.56,22.82,23.73,22.63
2019,23.59,25.27,20.87,23.44,22.54,23.01,22.60,22.12,21.61,21.12,21.51,24.21,23.80,24.36,21.66,24.65,21.71,22.85,23.90,22.69
2020,23.56,25.25,20.94,23.47,22.59,22.98,22.59,22.15,21.70,21.23,21.51,24.15,23.86,24.21,21.78,24.46,21.71,22.90,23.78,22.78
2021,23.57,25.28,20.82,23.43,22.65,22.97,22.61,22.12,21.58,21.10,21.46,24.27,23.92,24.23,21.70,24.61,21.68,22.96,23.78,22.69
2022,23.41,25.15,20.59,23.30,22.22,22.79,22.37,21.91,21.45,20.92,21.15,24.10,23.69,24.10,21.58,24.50,21.36,22.63,23.65,22.59
2023,23.64,25.48,20.75,23.52,22.57,23.03,22.66,22.13,21.58,21.05,21.32,24.32,23.92,24.33,21.65,24.74,21.57,22.94,23.86,22.73
2024,23.53,25.41,20.72,23.42,22.43,22.86,22.46,21.98,21.54,21.06,21.30,24.20,23.82,24.16,21.71,24.57,21.51,22.79,23.71,22.71
2025,23.72,25.35,21.09,23.56,22.87,23.23,22.94,22.39,21.84,21.30,21.68,24.46,24.17,24.35,21.83,24.75,21.90,23.32,23.97,22.87
2026,23.63,25.38,20.91,23.48,22.63,22.98,22.64,22.18,21.68,21.15,21.54,24.32,23.88,24.38,21.76,24.78,21.74,22.96,23.84,22.78
2027,23.67,25.50,20.77,23.49,22.76,23.01,22.73,22.11,21.57,21.11,21.42,24.42,24.07,24.42,21.71,24.77,21.66,23.14,23.88,22.73
2028,23.63,25.38,20.96,23.48,22.71,23.05,22.68,22.22,21.73,21.20,21.56,24.36,23.98,24.24,21.78,24.73,21.77,22.98,23.85,22.80
2029,23.56,25.22,20.74,23.46,22.55,22.99,22.60,22.04,21.52,21.00,21.36,24.24,23.96,24.27,21.63,24.49,21.58,22.97,23.83,22.68
2030,23.78,25.61,21.03,23.57,22.83,23.13,22.83,22.23,21.76,21.29,21.62,24.59,24.25,24.45,21.86,24.92,21.84,23.21,24.00,22.85
2031,23.56,25.29,20.84,23.44,22.57,22.89,22.51,22.00,21.56,21.14,21.42,24.24,23.87,24.32,21.73,24.62,21.62,22.88,23.80,22.69
2032,23.83,25.61,20.99,23.75,22.66,23.15,22.72,22.27,21.83,21.35,21.56,24.45,24.08,24.57,21.97,24.86,21.77,23.05,24.06,23.00
2033,23.80,25.57,21.12,23.63,22.98,23.15,22.89,22.31,21.80,21.35,21.74,24.52,24.16,24.45,21.91,24.91,21.95,23.34,23.97,22.90
2034,23.75,25.43,20.92,23.64,22.70,23.14,22.76,22.24,21.75,21.27,21.57,24.48,24.11,24.42,21.88,24.85,21.78,23.10,24.01,22.91
2035,23.94,25.79,21.07,23.79,22.77,23.26,22.87,22.36,21.88,21.36,21.69,24.74,24.31,24.63,21.97,25.15,21.89,23.23,24.16,23.04
2036,23.88,25.79,21.02,23.73,22.86,23.23,22.82,22.30,21.77,21.30,21.59,24.62,24.27,24.63,21.88,25.00,21.82,23.18,24.14,22.92
2037,23.97,25.80,21.16,23.85,22.79,23.33,22.85,22.41,21.96,21.44,21.69,24.64,24.22,24.74,22.05,25.05,21.90,23.13,24.24,23.10
2038,23.92,25.72,21.12,23.77,22.80,23.25,22.85,22.37,21.90,21.43,21.72,24.61,24.22,24.63,22.05,25.02,21.92,23.17,24.16,23.05
2039,23.81,25.56,21.07,23.71,22.82,23.16,22.73,22.29,21.86,21.34,21.65,24.49,24.12,24.48,21.97,24.90,21.85,23.12,24.06,23.00
2040,24.04,25.94,21.21,23.89,23.18,23.38,23.07,22.49,21.99,21.42,21.85,24.87,24.51,24.67,22.07,25.22,22.08,23.49,24.24,23.16
2041,23.94,25.69,21.15,23.86,22.79,23.28,22.80,22.39,21.94,21.44,21.73,24.63,24.28,24.67,22.01,25.02,21.92,23.17,24.20,23.08
2042,23.78,25.58,20.95,23.76,22.71,23.07,22.64,22.17,21.72,21.24,21.59,24.45,24.04,24.50,21.87,24.89,21.79,23.00,24.01,22.95
2043,23.86,25.62,20.91,23.80,22.80,23.18,22.75,22.21,21.78,21.31,21.42,24.54,24.18,24.62,21.93,24.95,21.67,23.19,24.14,22.99
2044,24.04,25.88,21.27,23.95,23.01,23.43,23.05,22.53,22.05,21.60,21.85,24.79,24.41,24.66,22.13,25.18,22.07,23.39,24.28,23.19
2045,24.20,26.00,21.39,24.05,23.23,23.57,23.16,22.63,22.13,21.67,22.01,25.06,24.70,24.85,22.22,25.38,22.23,23.56,24.47,23.26
2046,24.21,26.15,21.29,24.08,23.02,23.49,23.01,22.61,22.14,21.64,21.95,24.93,24.49,24.99,22.20,25.40,22.14,23.37,24.47,23.29
2047,24.14,25.99,21.28,24.02,23.04,23.48,23.05,22.56,22.08,21.63,21.92,24.86,24.49,24.88,22.24,25.23,22.13,23.40,24.39,23.25
2048,24.05,25.98,21.21,23.90,22.87,23.30,22.87,22.40,22.00,21.57,21.74,24.79,24.38,24.79,22.16,25.22,21.94,23.26,24.26,23.15
2049,24.22,26.01,21.36,24.09,23.03,23.58,23.16,22.65,22.18,21.62,21.92,24.91,24.56,24.94,22.24,25.29,22.13,23.51,24.48,23.33
2050,24.13,25.88,21.35,24.03,22.97,23.45,22.97,22.56,22.18,21.75,21.83,24.77,24.43,24.90,22.31,25.12,22.04,23.32,24.37,23.29
2051,24.27,26.22,21.45,24.13,23.13,23.58,23.14,22.70,22.24,21.76,22.02,24.97,24.53,24.95,22.33,25.44,22.22,23.48,24.49,23.37
2052,24.50,26.26,21.68,24.36,23.40,23.93,23.58,23.01,22.47,21.90,22.27,25.24,24.91,25.22,22.48,25.58,22.49,23.88,24.77,23.59
2053,24.30,26.07,21.40,24.23,23.12,23.62,23.14,22.68,22.20,21.73,21.98,25.04,24.65,25.08,22.36,25.41,22.19,23.48,24.59,23.41
2054,24.42,26.20,21.63,24.31,23.42,23.82,23.42,22.95,22.39,21.88,22.30,25.20,24.87,25.11,22.48,25.52,22.51,23.70,24.66,23.53
2055,24.20,26.17,21.35,24.01,23.18,23.49,23.08,22.56,22.09,21.64,21.94,25.07,24.66,24.87,22.25,25.48,22.16,23.46,24.45,23.24
2056,24.27,26.31,21.50,24.07,23.29,23.47,23.19,22.66,22.20,21.81,22.09,24.97,24.54,25.00,22.39,25.47,22.30,23.59,24.38,23.32
2057,24.31,26.15,21.49,24.18,23.23,23.59,23.18,22.69,22.20,21.77,22.10,25.06,24.65,25.11,22.32,25.49,22.30,23.52,24.57,23.36
2058,24.28,26.15,21.31,24.15,23.18,23.66,23.24,22.72,22.20,21.65,21.88,25.03,24.63,24.99,22.30,25.43,22.13,23.54,24.55,23.38
2059,24.38,26.29,21.55,24.24,23.27,23.67,23.26,22.78,22.33,21.89,22.14,25.05,24.67,25.11,22.50,25.47,22.35,23.59,24.58,23.49
2060,24.32,26.18,21.41,24.14,23.26,23.63,23.30,22.68,22.18,21.77,22.06,25.10,24.65,25.09,22.40,25.58,22.28,23.65,24.58,23.36
2061,24.53,26.56,21.59,24.32,23.40,23.84,23.51,22.89,22.42,21.89,22.20,25.32,24.90,25.17,22.53,25.75,22.43,23.88,24.74,23.59
2062,24.31,26.28,21.42,24.15,23.34,23.61,23.37,22.70,22.21,21.72,22.03,25.04,24.68,25.03,22.30,25.45,22.28,23.74,24.48,23.38
2063,24.52,26.44,21.64,24.30,23.36,23.96,23.57,23.05,22.51,21.91,22.22,25.30,24.94,25.12,22.51,25.67,22.45,23.84,24.78,23.60
2064,24.59,26.41,21.58,24.51,23.45,23.91,23.50,22.94,22.43,21.87,22.22,25.39,24.96,25.39,22.48,25.82,22.45,23.85,24.88,23.67
2065,24.60,26.43,21.66,24.55,23.50,23.89,23.42,23.02,22.55,21.95,22.27,25.18,24.80,25.39,22.64,25.62,22.49,23.73,24.81,23.78
