Variable:,tasmax
,"Virgin Islands","Saint Croix (County Equivalent)","Saint John (County Equivalent)","Saint Thomas (County Equivalent)"
2015,29.99,28.33,29.99,29.95
2016,29.99,28.29,29.99,29.96
2017,30.07,28.40,30.07,30.04
2018,30.02,28.29,30.02,29.99
2019,30.06,28.40,30.06,30.02
2020,30.06,28.40,30.06,30.03
2021,30.13,28.45,30.13,30.09
2022,30.22,28.55,30.22,30.18
2023,30.27,28.53,30.27,30.24
2024,30.37,28.66,30.37,30.34
2025,30.30,28.60,30.30,30.27
2026,30.31,28.62,30.31,30.28
2027,30.26,28.59,30.26,30.23
2028,30.34,28.69,30.34,30.30
2029,30.29,28.62,30.29,30.26
2030,30.32,28.64,30.32,30.29
2031,30.47,28.83,30.47,30.43
2032,30.50,28.78,30.50,30.47
2033,30.43,28.78,30.43,30.40
2034,30.45,28.74,30.45,30.42
2035,30.44,28.74,30.44,30.40
2036,30.42,28.71,30.42,30.39
2037,30.62,28.91,30.62,30.58
2038,30.55,28.91,30.55,30.52
2039,30.55,28.90,30.55,30.52
2040,30.60,28.89,30.60,30.57
2041,30.54,28.79,30.54,30.50
2042,30.69,28.99,30.69,30.65
2043,30.55,28.86,30.55,30.51
2044,30.55,28.83,30.55,30.52
2045,30.60,28.95,30.60,30.57
2046,30.63,28.96,30.63,30.60
2047,30.66,28.98,30.66,30.63
2048,30.85,29.13,30.85,30.82
2049,30.75,29.04,30.75,30.72
2050,30.67,28.94,30.67,30.63
2051,30.68,28.97,30.68,30.65
2052,30.96,29.23,30.96,30.93
2053,30.85,29.21,30.85,30.82
2054,30.86,29.15,30.86,30.83
2055,30.92,29.19,30.92,30.89
2056,30.82,29.11,30.82,30.79
2057,31.02,29.31,31.02,30.99
2058,30.97,29.26,30.97,30.94
2059,30.97,29.25,30.97,30.94
2060,31.05,29.31,31.05,31.01
2061,30.95,29.28,30.95,30.92
2062,30.93,29.19,30.93,30.90
2063,31.16,29.46,31.16,31.13
2064,31.05,29.31,31.05,31.02
2065,31.15,29.42,31.15,31.12
2066,31.17,29.49,31.17,31.14
2067,31.05,29.34,31.05,31.02
2068,31.12,29.39,31.12,31.09
2069,31.11,29.42,31.11,31.08
2070,31.17,29.45,31.17,31.14
2071,31.08,29.40,31.08,31.05
2072,31.18,29.42,31.18,31.15
2073,31.27,29.53,31.27,31.25
2074,31.14,29.45,31.14,31.10
2075,31.25,29.54,31.25,31.22
2076,31.30,29.58,31.30,31.27
2077,31.35,29.65,31.35,31.32
2078,31.20,29.53,31.20,31.17
2079,31.21,29.49,31.21,31.18
2080,31.17,29.48,31.17,31.15
2081,31.26,29.57,31.26,31.23
2082,31.23,29.54,31.23,31.20
2083,31.33,29.62,31.33,31.30
2084,31.43,29.75,31.43,31.40
2085,31.40,29.72,31.40,31.36
2086,31.44,29.79,31.44,31.40
2087,31.47,29.78,31.47,31.44
2088,31.27,29.51,31.27,31.24
2089,31.49,29.79,31.49,31.46
2090,31.52,29.81,31.52,31.49
2091,31.38,29.65,31.38,31.36
2092,31.39,29.69,31.39,31.36
2093,31.45,29.72,31.45,31.42
2094,31.40,29.69,31.40,31.37
2095,31.60,29.87,31.60,31.56
2096,31.35,29.66,31.35,31.33
2097,31.36,29.72,31.36,31.33
2098,31.45,29.73,31.45,31.42
2099,31.52,29.77,31.52,31.49
2100,31.47,29.75,31.47,31.43
