Variable:,tasmax
,"Wallis and Futuna","Administrative unit not available"
2015,29.20,28.51
2016,29.17,28.49
2017,29.30,28.60
2018,29.20,28.52
2019,29.32,28.67
2020,29.33,28.65
2021,29.36,28.67
2022,29.38,28.71
2023,29.37,28.69
2024,29.52,28.84
2025,29.44,28.78
2026,29.50,28.83
2027,29.48,28.82
2028,29.44,28.79
2029,29.53,28.81
2030,29.54,28.87
2031,29.49,28.81
2032,29.51,28.82
2033,29.62,28.96
2034,29.54,28.83
2035,29.70,29.01
2036,29.65,28.93
2037,29.65,28.96
2038,29.76,29.04
2039,29.81,29.11
2040,29.74,29.02
2041,29.77,29.09
2042,29.82,29.10
2043,29.82,29.16
2044,29.81,29.11
2045,29.91,29.26
2046,29.89,29.21
2047,29.95,29.24
2048,29.91,29.16
2049,30.00,29.26
2050,29.91,29.17
2051,29.95,29.24
2052,30.06,29.33
2053,30.11,29.42
2054,30.05,29.35
2055,30.05,29.32
2056,30.13,29.39
2057,30.13,29.44
2058,30.12,29.38
2059,30.15,29.41
2060,30.13,29.40
2061,30.10,29.42
2062,30.20,29.51
2063,30.18,29.49
2064,30.24,29.58
2065,30.20,29.51
2066,30.19,29.46
2067,30.19,29.50
2068,30.28,29.50
2069,30.36,29.60
2070,30.32,29.64
2071,30.29,29.60
2072,30.25,29.50
2073,30.29,29.52
2074,30.27,29.58
2075,30.31,29.67
2076,30.39,29.71
2077,30.46,29.74
2078,30.43,29.79
2079,30.40,29.66
2080,30.35,29.59
2081,30.41,29.64
2082,30.39,29.70
2083,30.49,29.77
2084,30.43,29.66
2085,30.47,29.79
2086,30.53,29.80
2087,30.38,29.65
2088,30.40,29.69
2089,30.50,29.74
2090,30.49,29.75
2091,30.62,29.86
2092,30.49,29.77
2093,30.54,29.90
2094,30.63,29.96
2095,30.55,29.79
2096,30.50,29.82
2097,30.49,29.76
2098,30.41,29.68
2099,30.61,29.98
2100,30.73,30.02
