Variable:,tasmax
,Zimbabwe,Bulawayo,Harare,Manicaland,"Mashonaland Central","Mashonaland West",Masvingo,"Matabeleland South",Midlands,"Matabeleland North","Mashonaland East"
2015,29.07,29.06,27.53,27.97,28.09,29.59,29.98,29.70,28.65,29.98,27.06
2016,29.26,29.32,27.68,28.08,28.19,29.82,30.17,30.00,28.91,30.21,27.17
2017,29.22,29.18,27.65,28.07,28.13,29.74,30.15,29.95,28.89,30.23,27.19
2018,29.33,29.37,27.76,28.06,28.32,29.91,30.24,30.07,28.94,30.42,27.21
2019,29.35,29.34,27.86,28.13,28.39,29.91,30.15,30.05,29.03,30.41,27.32
2020,29.22,29.15,27.84,28.05,28.38,29.83,29.99,29.75,28.79,30.08,27.23
2021,28.97,29.03,27.39,27.86,27.81,29.42,29.94,29.80,28.63,30.03,26.89
2022,29.37,29.46,27.81,28.15,28.35,29.95,30.26,30.09,29.03,30.32,27.27
2023,29.42,29.48,27.90,28.25,28.44,30.03,30.20,30.12,29.02,30.44,27.36
2024,29.46,29.32,27.82,28.25,28.40,30.08,30.46,30.11,29.14,30.31,27.35
2025,29.13,29.27,27.64,27.92,28.14,29.69,30.03,29.92,28.72,30.05,27.09
2026,29.54,29.52,28.04,28.27,28.59,30.13,30.43,30.25,29.20,30.56,27.42
2027,29.67,29.46,28.24,28.41,28.72,30.29,30.44,30.20,29.31,30.72,27.70
2028,29.62,29.64,28.16,28.41,28.60,30.14,30.47,30.27,29.24,30.71,27.59
2029,29.87,29.77,28.38,28.76,28.87,30.44,30.84,30.49,29.51,30.73,27.83
2030,29.68,29.58,28.21,28.46,28.66,30.27,30.53,30.33,29.33,30.68,27.64
2031,29.63,29.57,28.06,28.41,28.61,30.16,30.53,30.27,29.28,30.75,27.52
2032,29.71,29.86,28.09,28.51,28.68,30.25,30.63,30.46,29.32,30.76,27.58
2033,29.96,30.05,28.44,28.72,28.96,30.53,30.92,30.72,29.64,30.94,27.87
2034,29.81,29.69,28.36,28.62,28.87,30.47,30.61,30.40,29.42,30.71,27.81
2035,29.81,29.56,28.38,28.78,28.93,30.43,30.53,30.22,29.36,30.67,27.86
2036,29.70,29.71,28.19,28.52,28.73,30.23,30.58,30.42,29.31,30.67,27.66
2037,29.92,29.71,28.51,28.86,28.85,30.47,30.83,30.44,29.54,30.76,27.96
2038,30.27,30.34,28.91,29.13,29.39,30.78,31.12,30.95,29.90,31.16,28.31
2039,29.94,30.01,28.32,28.77,28.88,30.42,30.92,30.66,29.59,30.88,27.85
2040,29.71,29.44,28.29,28.52,28.80,30.34,30.59,30.26,29.34,30.58,27.70
2041,29.76,29.82,28.43,28.54,28.91,30.41,30.44,30.39,29.33,30.77,27.83
2042,30.22,30.36,28.68,28.88,29.25,30.88,31.04,30.99,29.89,31.26,28.13
2043,30.06,30.28,28.45,28.86,29.07,30.57,31.00,30.89,29.63,31.11,27.91
