Variable:,tasmin
,"Burkina Faso","Boucle Du Mouhoun",Cascades,Centre,Centre-est,Centre-nord,Centre-ouest,Centre-sud,Est,Hauts-bassins,Nord,"Plateau Central",Sahel,Sud-ouest
2015,22.39,22.01,21.52,22.26,22.63,22.36,22.35,22.49,22.40,21.48,22.45,22.34,22.71,22.12
2016,22.19,21.78,21.43,22.07,22.50,22.22,22.17,22.29,22.28,21.28,22.22,22.16,22.47,21.96
2017,22.74,22.36,21.80,22.69,23.00,22.83,22.70,22.79,22.83,21.77,22.95,22.77,22.93,22.34
2018,22.46,22.10,21.73,22.37,22.69,22.49,22.46,22.56,22.49,21.59,22.54,22.48,22.66,22.29
2019,22.34,21.97,21.42,22.34,22.69,22.37,22.33,22.50,22.44,21.37,22.42,22.43,22.58,21.95
2020,23.15,22.78,22.29,23.11,23.39,23.18,23.14,23.27,23.20,22.22,23.22,23.20,23.42,22.82
2021,22.74,22.44,21.74,22.68,22.92,22.72,22.70,22.76,22.78,21.83,22.84,22.74,22.99,22.31
2022,22.86,22.43,22.01,22.61,23.18,22.82,22.87,22.92,23.02,21.97,22.87,22.76,23.11,22.57
2023,22.82,22.47,21.99,22.73,23.10,22.80,22.75,22.90,22.96,21.93,22.83,22.82,23.02,22.48
2024,22.78,22.45,21.95,22.69,23.09,22.73,22.81,22.93,22.85,21.88,22.82,22.77,22.97,22.50
2025,22.84,22.53,22.04,22.76,23.20,22.81,22.87,23.01,22.94,21.93,22.87,22.85,23.01,22.60
2026,23.09,22.68,22.14,23.05,23.45,23.15,22.96,23.23,23.21,22.07,23.13,23.15,23.39,22.64
2027,22.89,22.45,21.85,22.79,23.18,22.93,22.82,22.98,23.01,21.77,23.05,22.89,23.20,22.46
2028,22.85,22.49,22.07,22.68,23.16,22.85,22.78,22.92,22.97,21.98,22.89,22.81,23.08,22.58
2029,23.02,22.63,22.08,22.95,23.34,23.10,22.94,23.09,23.12,21.99,23.15,23.04,23.33,22.55
2030,22.82,22.41,21.90,22.75,23.03,22.84,22.74,22.83,22.94,21.85,22.85,22.84,23.11,22.49
2031,23.24,22.85,22.27,23.17,23.50,23.31,23.13,23.26,23.33,22.28,23.34,23.25,23.53,22.80
2032,22.71,22.28,21.87,22.64,23.26,22.66,22.77,23.02,22.83,21.84,22.71,22.78,22.90,22.39
2033,22.94,22.59,22.08,22.89,23.14,22.85,22.91,22.96,23.00,22.05,22.97,22.96,23.16,22.62
2034,23.06,22.67,22.17,22.93,23.20,23.01,23.03,23.09,23.12,22.08,23.12,22.98,23.35,22.73
2035,23.17,22.84,22.28,23.15,23.39,23.18,23.15,23.26,23.26,22.22,23.21,23.21,23.41,22.81
2036,22.93,22.69,22.25,22.71,23.19,22.81,22.90,22.89,23.01,22.20,22.94,22.83,23.11,22.75
2037,23.12,22.82,22.16,22.98,23.23,23.15,23.07,23.09,23.24,22.23,23.17,23.10,23.35,22.72
2038,23.05,22.67,22.33,22.94,23.31,23.05,23.01,23.12,23.15,22.11,23.11,23.06,23.25,22.80
2039,23.06,22.69,22.27,22.90,23.23,23.06,22.94,23.03,23.14,22.13,23.11,23.00,23.32,22.74
2040,23.06,22.55,22.15,22.82,23.34,23.04,22.90,23.09,23.28,22.00,22.98,22.98,23.35,22.62
2041,23.35,22.96,22.41,23.23,23.54,23.38,23.24,23.35,23.40,22.37,23.41,23.33,23.67,22.94
2042,23.01,22.62,22.30,22.79,23.36,22.97,22.90,23.03,23.14,22.21,23.01,22.91,23.31,22.76
2043,22.82,22.54,21.83,22.74,22.95,22.87,22.74,22.81,22.81,21.85,22.96,22.81,23.08,22.38
2044,23.13,22.86,22.19,23.12,23.38,23.09,23.15,23.26,23.16,22.20,23.25,23.16,23.36,22.71
2045,23.48,23.20,22.41,23.53,23.68,23.47,23.47,23.51,23.59,22.53,23.62,23.60,23.66,23.02
2046,23.26,22.97,22.46,23.09,23.54,23.17,23.30,23.41,23.21,22.44,23.25,23.17,23.56,23.06
2047,23.32,22.87,22.43,23.20,23.57,23.32,23.26,23.40,23.40,22.34,23.38,23.30,23.58,22.99
2048,23.26,22.82,22.62,22.79,23.29,23.16,23.02,23.12,23.30,22.48,23.09,22.92,23.67,23.09
2049,23.04,22.67,22.16,23.04,23.32,23.09,22.98,23.10,23.13,22.07,23.24,23.13,23.25,22.68
2050,23.28,23.02,22.42,23.14,23.48,23.22,23.27,23.33,23.30,22.51,23.37,23.22,23.51,22.96
2051,23.26,22.86,22.41,23.19,23.46,23.28,23.23,23.29,23.44,22.31,23.22,23.28,23.50,22.96
2052,23.10,22.71,22.11,23.06,23.40,23.18,23.08,23.21,23.23,22.07,23.25,23.15,23.35,22.66
2053,23.08,22.73,22.11,23.01,23.44,23.05,23.03,23.22,23.27,22.08,23.04,23.12,23.25,22.65
2054,23.19,22.74,22.19,23.09,23.39,23.29,23.00,23.16,23.32,22.11,23.28,23.21,23.51,22.70
2055,22.98,22.62,22.21,22.84,23.24,22.95,22.92,23.08,23.07,22.10,23.00,22.94,23.21,22.69
2056,23.06,22.72,22.28,23.03,23.39,23.08,23.04,23.21,23.18,22.17,23.12,23.10,23.18,22.84
2057,23.04,22.63,22.10,22.93,23.30,23.14,22.89,23.02,23.13,22.01,23.07,23.06,23.39,22.64
2058,23.20,22.88,22.39,23.08,23.45,23.18,23.16,23.24,23.31,22.33,23.19,23.19,23.38,22.93
2059,23.33,22.94,22.35,23.27,23.60,23.36,23.24,23.36,23.49,22.27,23.39,23.37,23.58,22.87
2060,22.75,22.35,22.13,22.61,23.09,22.67,22.76,22.92,22.86,21.95,22.69,22.70,22.91,22.67
2061,22.86,22.43,22.07,22.67,23.00,22.84,22.67,22.78,22.93,21.91,22.88,22.77,23.18,22.51
2062,23.11,22.75,22.35,23.05,23.42,23.13,23.09,23.23,23.22,22.22,23.16,23.15,23.30,22.81
2063,23.18,22.89,22.28,23.12,23.44,23.14,23.14,23.26,23.20,22.24,23.28,23.18,23.41,22.84
2064,23.07,22.78,22.19,23.07,23.16,23.12,22.99,23.05,23.07,22.14,23.19,23.12,23.28,22.71
2065,22.69,22.41,21.79,22.70,23.05,22.65,22.76,22.89,22.88,21.88,22.70,22.77,22.72,22.41
2066,22.71,22.35,22.10,22.60,23.29,22.61,22.71,23.03,22.97,21.99,22.56,22.74,22.76,22.51
2067,23.14,22.85,22.44,23.02,23.36,23.09,23.06,23.17,23.14,22.37,23.19,23.10,23.34,22.99
2068,23.09,22.63,22.20,22.97,23.41,23.11,22.98,23.18,23.26,22.11,23.04,23.10,23.36,22.71
2069,23.09,22.70,22.16,22.93,23.30,23.06,22.98,23.07,23.12,22.12,23.11,23.02,23.43,22.73
2070,23.24,22.89,22.33,23.21,23.56,23.28,23.18,23.29,23.36,22.30,23.27,23.31,23.43,22.92
2071,23.05,22.75,22.27,22.94,23.34,23.06,23.00,23.13,23.14,22.23,23.07,23.06,23.23,22.76
2072,22.76,22.35,21.87,22.75,23.05,22.77,22.72,22.80,22.96,21.72,22.85,22.86,22.94,22.44
2073,22.83,22.52,21.99,22.76,23.00,22.79,22.89,22.89,22.90,21.89,22.86,22.82,23.05,22.59
2074,23.30,22.92,22.52,23.15,23.59,23.32,23.22,23.37,23.39,22.45,23.31,23.26,23.54,23.02
2075,22.94,22.49,21.95,22.89,23.22,22.98,22.86,23.03,23.03,21.88,22.98,22.99,23.25,22.47
2076,22.97,22.62,22.11,22.99,23.06,22.98,22.93,22.93,23.01,22.07,23.08,23.06,23.18,22.63
2077,22.99,22.69,22.22,22.96,23.19,23.00,22.91,23.00,23.03,22.14,23.05,23.03,23.26,22.65
2078,23.03,22.82,22.13,22.90,23.13,23.08,22.92,22.97,22.97,22.09,23.26,22.96,23.36,22.54
2079,23.11,22.80,22.11,23.06,23.35,23.15,23.13,23.21,23.14,22.14,23.23,23.14,23.34,22.76
2080,23.00,22.63,22.21,22.99,23.23,23.02,22.94,23.04,23.04,22.08,23.09,23.04,23.28,22.66
2081,23.07,22.67,22.23,23.00,23.36,23.03,23.05,23.18,23.22,22.23,23.02,23.09,23.29,22.78
2082,23.14,22.85,22.05,23.06,23.21,23.12,22.95,23.00,23.18,22.02,23.34,23.12,23.50,22.59
2083,22.92,22.53,22.09,22.80,23.19,22.89,22.88,23.00,23.01,22.01,22.95,22.90,23.18,22.64
2084,22.96,22.60,21.99,22.89,23.10,23.06,22.84,22.89,22.99,21.95,23.07,22.97,23.29,22.56
2085,22.80,22.49,21.91,22.73,23.01,22.79,22.75,22.82,22.84,21.84,22.90,22.81,23.02,22.45
2086,22.93,22.53,21.84,22.77,23.10,22.97,22.71,22.84,23.02,21.83,23.04,22.87,23.28,22.40
2087,23.01,22.72,22.32,22.92,23.19,22.97,22.96,23.04,23.02,22.22,23.05,22.99,23.22,22.79
2088,22.69,22.43,21.81,22.57,22.92,22.54,22.53,22.67,22.83,21.62,22.71,22.69,22.91,22.27
2089,22.52,22.10,21.59,22.32,22.71,22.50,22.38,22.51,22.60,21.62,22.58,22.42,22.88,22.12
2090,22.97,22.75,22.10,23.01,23.21,22.94,22.93,23.04,23.10,22.03,23.05,23.07,23.06,22.64
2091,23.05,22.76,22.01,22.99,23.23,23.12,23.05,22.97,23.11,22.03,23.23,23.03,23.34,22.65
2092,22.95,22.58,21.91,22.97,23.04,23.03,22.77,22.83,23.06,21.91,23.08,23.04,23.22,22.46
2093,22.69,22.42,21.88,22.57,22.92,22.60,22.70,22.78,22.65,21.91,22.74,22.63,22.97,22.36
2094,22.98,22.61,22.09,22.92,23.26,22.98,22.90,22.98,23.09,22.05,23.06,22.97,23.24,22.62
2095,22.94,22.59,22.00,22.87,23.21,22.97,22.89,23.01,23.07,22.00,22.98,22.98,23.19,22.42
2096,22.81,22.61,21.85,22.87,23.04,22.74,22.81,22.91,22.82,21.90,22.93,22.89,23.02,22.42
2097,22.56,22.13,21.74,22.61,22.96,22.48,22.55,22.74,22.71,21.61,22.52,22.64,22.74,22.22
2098,22.76,22.40,22.01,22.64,23.17,22.64,22.71,22.90,22.96,21.88,22.68,22.74,22.96,22.46
2099,22.67,22.40,21.88,22.64,22.91,22.69,22.59,22.69,22.80,21.75,22.81,22.71,22.79,22.40
2100,22.97,22.66,22.24,22.81,23.25,22.88,22.96,23.08,23.05,22.17,22.99,22.90,23.13,22.78
