Variable:,tasmin
,Bulgaria,Blagoevgrad,Burgas,Dobrich,Gabrovo,Haskovo,Jambol,Kardzhali,Kustendil,Lovech,Montana,Pazardzhik,Pernik,Pleven,Plovdiv,Razgrad,Ruse,Shumen,Silistra,Sliven,Smoljan,Sofia,Sofia-city,"Stara Zagora",Targovishte,Varna,"Veliko Tarnovo",Vidin,Vratca
2015,6.94,8.49,8.98,8.93,6.00,8.91,8.25,9.53,5.95,5.43,5.65,5.99,6.07,5.95,5.83,6.48,6.08,7.48,7.42,7.92,8.56,5.01,4.85,6.37,6.50,8.26,5.95,6.23,5.63
2016,6.71,8.19,8.88,8.88,5.77,8.68,8.14,9.23,5.63,5.14,5.25,5.75,5.74,5.60,5.61,6.11,5.72,7.32,7.28,7.81,8.32,4.71,4.55,6.20,6.13,8.22,5.64,5.75,5.25
2017,7.09,8.60,8.87,8.83,6.26,8.88,8.25,9.48,6.21,5.77,5.93,6.22,6.33,6.33,6.06,6.64,6.33,7.52,7.48,7.96,8.70,5.28,5.11,6.58,6.65,8.20,6.25,6.47,5.94
2018,6.97,8.43,9.17,9.14,5.97,8.95,8.31,9.50,6.04,5.37,5.64,5.96,6.16,5.89,5.79,6.51,6.05,7.58,7.52,7.97,8.60,5.05,4.91,6.37,6.53,8.42,5.90,6.21,5.61
2019,6.82,8.33,8.83,8.71,5.90,8.75,8.16,9.30,5.82,5.31,5.64,5.83,5.95,5.87,5.67,6.32,5.98,7.29,7.26,7.83,8.44,4.85,4.66,6.26,6.34,8.03,5.89,6.26,5.60
2020,6.97,8.38,8.85,8.84,6.07,8.68,8.14,9.22,6.02,5.53,5.69,5.98,6.14,6.10,5.82,6.53,6.21,7.44,7.42,7.84,8.41,5.08,4.92,6.38,6.54,8.15,6.10,6.21,5.70
2021,6.72,8.14,8.78,8.54,5.85,8.72,8.11,9.27,5.79,5.26,5.51,5.77,5.91,5.78,5.64,6.10,5.78,7.10,7.09,7.78,8.33,4.84,4.67,6.25,6.12,7.86,5.73,6.03,5.50
2022,7.20,8.70,9.29,9.03,6.28,9.13,8.50,9.68,6.22,5.74,6.04,6.23,6.34,6.32,6.07,6.71,6.35,7.64,7.61,8.17,8.81,5.30,5.12,6.64,6.73,8.38,6.24,6.58,6.03
2023,6.79,8.57,8.73,8.71,5.92,8.74,8.03,9.36,6.10,5.34,5.70,5.94,6.22,5.86,5.74,6.29,5.92,7.26,7.17,7.72,8.50,5.06,4.92,6.30,6.31,8.01,5.82,6.32,5.65
2024,7.42,8.95,9.42,9.27,6.57,9.32,8.71,9.88,6.51,5.99,6.29,6.50,6.63,6.54,6.35,6.84,6.52,7.82,7.76,8.40,9.03,5.56,5.38,6.95,6.86,8.58,6.47,6.86,6.27
