Variable:,tasmin
,"Bosnia and Herzegovina","Federacija Bosne I Hercegovine","Republika Srpska"
2015,6.27,8.05,6.82
2016,5.86,7.73,6.46
2017,6.43,8.17,6.97
2018,6.33,8.20,6.93
2019,6.40,8.25,7.02
2020,5.91,7.78,6.54
2021,6.20,8.08,6.81
2022,6.65,8.43,7.26
2023,6.28,8.17,6.90
2024,6.69,8.46,7.24
2025,6.48,8.32,7.07
2026,6.62,8.47,7.20
2027,6.83,8.64,7.42
2028,6.81,8.61,7.37
2029,6.54,8.44,7.17
2030,6.22,8.01,6.79
2031,7.02,8.77,7.55
2032,6.79,8.67,7.39
2033,6.88,8.62,7.39
2034,7.00,8.86,7.60
2035,6.88,8.71,7.44
2036,6.75,8.58,7.33
2037,7.39,9.14,7.94
2038,6.71,8.51,7.25
2039,6.97,8.78,7.54
2040,6.66,8.50,7.24
2041,6.54,8.34,7.12
2042,6.23,8.06,6.83
2043,6.87,8.72,7.49
2044,6.23,8.08,6.86
2045,6.94,8.68,7.48
2046,7.04,8.88,7.64
2047,6.59,8.43,7.21
2048,6.74,8.52,7.30
2049,6.39,8.24,6.99
2050,6.72,8.58,7.35
2051,6.68,8.59,7.29
2052,6.71,8.46,7.23
2053,6.60,8.38,7.19
2054,6.83,8.68,7.41
2055,6.80,8.51,7.34
2056,6.78,8.70,7.42
2057,6.57,8.42,7.17
2058,6.80,8.62,7.38
2059,6.88,8.80,7.53
2060,6.42,8.35,7.07
2061,6.81,8.70,7.44
2062,6.86,8.75,7.49
2063,7.09,8.89,7.67
2064,6.66,8.58,7.28
2065,6.91,8.75,7.50
2066,6.32,8.13,6.88
2067,6.65,8.44,7.15
2068,7.06,8.82,7.58
2069,6.63,8.45,7.23
2070,7.01,8.87,7.58
2071,6.66,8.49,7.24
2072,6.98,8.80,7.57
2073,6.77,8.64,7.38
2074,6.48,8.32,7.07
2075,6.48,8.46,7.13
2076,7.00,8.82,7.60
2077,6.73,8.51,7.29
2078,7.03,8.91,7.60
2079,6.16,7.97,6.71
2080,6.93,8.75,7.49
2081,7.06,8.86,7.61
2082,6.46,8.43,7.13
2083,6.31,8.20,6.95
2084,6.71,8.44,7.24
2085,6.66,8.49,7.23
2086,6.73,8.56,7.33
2087,6.22,8.12,6.89
2088,6.70,8.61,7.32
2089,6.79,8.74,7.45
2090,6.76,8.60,7.35
2091,6.63,8.41,7.20
2092,6.62,8.47,7.24
2093,6.82,8.66,7.42
2094,6.12,8.03,6.73
2095,6.50,8.33,7.10
2096,6.41,8.31,7.03
2097,6.81,8.67,7.44
2098,6.49,8.35,7.11
2099,6.31,8.20,6.93
2100,6.33,8.11,6.91
