Variable:,tasmin
,Brunei,Belait,"Brunei and Muara",Temburong,Tutong
2015,22.76,22.95,22.93,20.78,22.95
2016,22.70,22.91,22.88,20.76,22.91
2017,22.92,23.14,23.11,20.97,23.14
2018,22.88,23.08,23.05,20.93,23.08
2019,22.79,22.96,22.94,20.84,22.96
2020,22.90,23.09,23.06,20.98,23.09
2021,22.92,23.09,23.07,20.94,23.09
2022,22.97,23.14,23.12,20.97,23.14
2023,22.96,23.14,23.12,21.04,23.14
2024,22.98,23.17,23.15,21.05,23.17
2025,22.98,23.22,23.19,21.05,23.22
2026,23.04,23.25,23.22,21.06,23.25
2027,22.90,23.08,23.06,20.86,23.08
2028,23.17,23.34,23.32,21.19,23.34
2029,23.24,23.47,23.44,21.26,23.47
2030,23.09,23.29,23.26,21.19,23.29
2031,23.21,23.40,23.38,21.36,23.40
2032,23.18,23.27,23.26,21.18,23.27
2033,23.17,23.40,23.37,21.24,23.40
2034,23.17,23.35,23.33,21.23,23.35
2035,23.30,23.45,23.43,21.31,23.45
2036,23.22,23.41,23.39,21.31,23.41
2037,23.23,23.44,23.41,21.24,23.44
2038,23.38,23.59,23.56,21.42,23.59
2039,23.28,23.45,23.43,21.31,23.45
2040,23.21,23.41,23.38,21.24,23.41
2041,23.37,23.47,23.46,21.34,23.47
2042,23.35,23.51,23.49,21.41,23.51
2043,23.05,23.21,23.19,21.05,23.21
2044,23.26,23.43,23.41,21.28,23.43
2045,23.43,23.64,23.61,21.49,23.64
2046,23.34,23.56,23.53,21.39,23.56
2047,23.33,23.51,23.49,21.38,23.51
2048,23.38,23.59,23.56,21.41,23.59
2049,23.21,23.40,23.38,21.26,23.40
2050,23.25,23.42,23.40,21.30,23.42
2051,23.29,23.41,23.40,21.22,23.41
2052,23.30,23.47,23.45,21.21,23.47
2053,23.29,23.50,23.47,21.31,23.50
2054,23.28,23.46,23.44,21.28,23.46
2055,23.19,23.40,23.37,21.24,23.40
2056,23.21,23.35,23.34,21.25,23.35
2057,23.22,23.46,23.43,21.22,23.46
2058,23.30,23.50,23.47,21.32,23.50
2059,23.31,23.48,23.46,21.36,23.48
2060,23.30,23.49,23.47,21.35,23.49
2061,23.30,23.53,23.50,21.24,23.53
2062,23.26,23.46,23.43,21.26,23.46
2063,23.27,23.49,23.46,21.38,23.49
2064,23.29,23.45,23.43,21.32,23.45
2065,23.10,23.22,23.21,21.17,23.22
2066,23.18,23.40,23.37,21.23,23.40
2067,23.32,23.50,23.48,21.32,23.50
2068,23.27,23.43,23.41,21.31,23.43
2069,23.20,23.40,23.37,21.19,23.40
2070,23.13,23.34,23.31,21.19,23.34
2071,23.37,23.59,23.56,21.41,23.59
2072,23.16,23.36,23.33,21.23,23.36
2073,23.11,23.28,23.26,21.14,23.28
2074,23.31,23.52,23.49,21.37,23.52
2075,23.11,23.29,23.27,21.02,23.29
2076,23.18,23.35,23.33,21.19,23.35
2077,23.24,23.41,23.39,21.23,23.41
2078,23.14,23.32,23.30,21.17,23.32
2079,23.05,23.22,23.20,21.05,23.22
2080,23.29,23.47,23.45,21.35,23.47
2081,23.13,23.36,23.33,21.16,23.36
2082,23.10,23.27,23.25,21.11,23.27
2083,23.21,23.42,23.39,21.26,23.42
2084,23.18,23.34,23.32,21.22,23.34
2085,23.11,23.29,23.27,21.07,23.29
2086,23.02,23.20,23.18,20.98,23.20
2087,23.22,23.43,23.40,21.28,23.43
2088,23.14,23.38,23.35,21.15,23.38
2089,22.92,23.12,23.09,20.89,23.12
2090,23.15,23.34,23.32,21.16,23.34
2091,23.14,23.40,23.36,21.24,23.40
2092,23.06,23.31,23.27,21.06,23.31
2093,22.98,23.15,23.13,21.07,23.15
2094,23.06,23.30,23.27,21.13,23.30
2095,23.09,23.29,23.26,21.11,23.29
2096,23.09,23.27,23.25,21.04,23.27
2097,22.93,23.15,23.12,20.83,23.15
2098,23.04,23.22,23.20,21.10,23.22
2099,23.10,23.29,23.27,21.15,23.29
2100,23.11,23.34,23.31,21.09,23.34
