Variable:,tasmin
,Cameroon,Adamaoua,Centre,Est,"Extrême - Nord",Littoral,Nord,"Nord - Ouest",Ouest,Sud,"Sud - Ouest"
2015,19.59,17.85,20.37,19.33,21.09,22.34,19.06,19.04,19.83,20.85,21.90
2016,19.63,17.89,20.47,19.39,20.99,22.40,19.10,18.96,19.88,20.95,21.96
2017,19.94,18.30,20.66,19.67,21.42,22.55,19.48,19.20,20.04,21.14,22.11
2018,19.77,18.07,20.52,19.49,21.28,22.42,19.34,19.15,19.90,21.02,21.96
2019,19.62,17.82,20.43,19.36,21.14,22.46,19.15,18.97,19.80,20.98,21.94
2020,20.21,18.44,20.95,19.94,21.70,22.82,19.79,19.59,20.35,21.40,22.40
2021,19.96,18.10,20.73,19.72,21.53,22.65,19.49,19.27,20.21,21.20,22.24
2022,19.89,18.07,20.65,19.62,21.48,22.57,19.45,19.22,20.07,21.16,22.12
2023,19.92,18.12,20.66,19.67,21.54,22.57,19.40,19.30,20.10,21.12,22.14
2024,20.01,18.30,20.71,19.71,21.51,22.63,19.59,19.42,20.14,21.17,22.21
2025,20.12,18.39,20.77,19.80,21.77,22.70,19.81,19.43,20.22,21.27,22.27
2026,20.24,18.48,20.96,20.03,21.84,22.79,19.77,19.52,20.38,21.38,22.38
2027,19.93,18.24,20.63,19.61,21.57,22.57,19.56,19.29,20.04,21.11,22.20
2028,20.15,18.37,20.87,19.93,21.78,22.76,19.68,19.45,20.25,21.34,22.31
2029,20.16,18.44,20.90,19.88,21.67,22.84,19.74,19.52,20.33,21.38,22.37
2030,20.10,18.35,20.83,19.81,21.72,22.74,19.68,19.47,20.21,21.30,22.28
2031,20.34,18.51,21.08,20.05,21.81,22.99,19.97,19.73,20.52,21.54,22.56
2032,19.96,18.14,20.71,19.78,21.40,22.74,19.44,19.34,20.17,21.35,22.34
2033,20.20,18.50,20.94,19.97,21.66,22.77,19.74,19.48,20.29,21.40,22.31
2034,20.14,18.39,20.88,19.84,21.71,22.79,19.70,19.57,20.33,21.32,22.37
2035,20.49,18.77,21.16,20.16,22.19,23.00,20.17,19.85,20.59,21.58,22.64
2036,20.30,18.52,21.05,20.12,21.83,22.91,19.78,19.59,20.46,21.52,22.46
2037,20.26,18.47,21.01,19.98,21.93,22.86,19.83,19.60,20.38,21.42,22.43
2038,20.39,18.64,21.11,20.19,21.76,23.01,20.01,19.69,20.40,21.60,22.54
2039,20.34,18.66,21.06,20.03,21.82,22.86,19.98,19.80,20.51,21.46,22.49
2040,20.35,18.58,21.07,20.09,21.98,22.91,19.90,19.68,20.49,21.52,22.54
2041,20.47,18.71,21.20,20.20,22.16,23.19,19.97,19.72,20.63,21.72,22.71
2042,20.21,18.46,20.95,19.92,21.72,22.89,19.80,19.49,20.26,21.44,22.41
2043,20.09,18.31,20.89,19.89,21.56,22.73,19.53,19.51,20.29,21.33,22.30
2044,20.28,18.52,20.96,19.98,21.97,22.87,19.94,19.61,20.41,21.43,22.45
2045,20.49,18.76,21.13,20.20,22.11,23.05,20.17,19.82,20.55,21.69,22.68
2046,20.30,18.52,21.03,20.06,21.79,22.99,19.85,19.67,20.47,21.58,22.54
2047,20.63,18.94,21.27,20.38,22.07,23.09,20.32,20.01,20.66,21.71,22.75
2048,20.50,18.60,21.31,20.32,22.20,23.16,19.91,19.76,20.66,21.76,22.68
2049,20.20,18.40,20.95,19.95,21.72,22.92,19.71,19.52,20.39,21.44,22.46
2050,20.37,18.58,21.01,20.13,22.13,22.98,19.99,19.55,20.36,21.51,22.51
2051,20.49,18.77,21.11,20.22,22.10,22.89,20.17,19.76,20.55,21.57,22.61
2052,20.18,18.46,20.85,20.00,21.73,22.89,19.71,19.52,20.31,21.46,22.44
2053,20.29,18.53,21.02,20.01,21.89,22.93,19.81,19.63,20.45,21.44,22.48
2054,20.32,18.63,21.04,20.02,21.86,22.91,19.92,19.71,20.49,21.47,22.51
2055,20.29,18.47,20.97,20.03,21.92,22.85,19.93,19.67,20.42,21.39,22.49
2056,20.31,18.56,21.05,20.09,21.86,22.88,19.87,19.64,20.38,21.56,22.50
2057,20.34,18.63,21.01,20.08,21.99,22.80,20.01,19.64,20.35,21.48,22.44
2058,20.24,18.50,20.94,19.92,21.92,22.87,19.83,19.66,20.36,21.40,22.48
2059,20.50,18.74,21.22,20.26,22.00,23.05,20.08,19.84,20.65,21.59,22.65
2060,20.16,18.40,20.83,19.80,21.82,22.80,19.85,19.44,20.18,21.41,22.34
2061,20.10,18.28,20.95,19.95,21.49,22.81,19.55,19.30,20.24,21.40,22.30
2062,20.31,18.67,21.07,20.02,21.68,22.89,19.86,19.81,20.49,21.48,22.52
2063,20.42,18.72,21.10,20.11,22.02,22.93,20.07,19.77,20.49,21.52,22.53
2064,20.21,18.47,20.82,19.89,21.89,22.84,19.84,19.62,20.31,21.40,22.46
2065,20.02,18.32,20.73,19.79,21.45,22.67,19.55,19.33,20.13,21.24,22.19
2066,20.20,18.35,20.91,19.94,21.93,22.75,19.78,19.60,20.35,21.37,22.39
2067,20.34,18.63,21.07,20.08,21.80,22.92,19.95,19.73,20.46,21.48,22.53
2068,20.39,18.65,21.14,20.14,21.78,23.03,19.95,19.82,20.58,21.53,22.62
2069,20.33,18.66,21.00,20.04,21.84,22.89,19.97,19.63,20.35,21.45,22.45
2070,20.27,18.58,20.92,19.99,21.91,22.79,19.90,19.63,20.38,21.32,22.41
2071,20.53,18.81,21.27,20.28,21.98,23.13,20.12,19.97,20.69,21.65,22.70
2072,20.12,18.35,20.88,19.83,21.51,22.84,19.73,19.55,20.35,21.36,22.41
2073,20.16,18.42,20.90,19.91,21.68,22.80,19.66,19.45,20.24,21.41,22.31
2074,20.40,18.69,21.11,20.07,21.97,22.97,20.02,19.80,20.57,21.56,22.56
2075,20.07,18.34,20.79,19.83,21.59,22.77,19.63,19.37,20.15,21.32,22.29
2076,20.26,18.49,21.05,20.02,21.74,22.92,19.74,19.70,20.54,21.40,22.49
2077,20.21,18.51,20.95,19.97,21.80,22.82,19.67,19.47,20.34,21.42,22.38
2078,19.99,18.26,20.77,19.73,21.50,22.51,19.60,19.32,20.07,21.20,22.08
2079,20.23,18.59,20.90,19.83,21.91,22.73,19.89,19.68,20.34,21.26,22.34
2080,20.20,18.40,20.95,19.97,21.62,23.01,19.65,19.70,20.40,21.45,22.60
2081,20.12,18.42,20.79,19.80,21.81,22.72,19.70,19.50,20.18,21.25,22.31
2082,20.24,18.48,20.90,19.90,21.89,22.82,19.92,19.63,20.36,21.37,22.41
2083,20.15,18.33,20.92,19.87,21.72,22.91,19.64,19.59,20.44,21.47,22.45
2084,20.13,18.37,20.84,19.83,21.80,22.77,19.72,19.51,20.33,21.37,22.37
2085,19.92,18.17,20.64,19.64,21.59,22.54,19.49,19.29,20.08,21.16,22.15
2086,20.22,18.42,20.94,19.92,21.83,22.87,19.78,19.59,20.35,21.51,22.47
2087,20.27,18.45,21.02,20.01,21.88,22.96,19.81,19.65,20.47,21.45,22.52
2088,20.02,18.26,20.79,19.73,21.53,22.75,19.50,19.45,20.24,21.25,22.33
2089,19.91,18.12,20.69,19.67,21.42,22.63,19.43,19.20,20.08,21.17,22.15
2090,20.10,18.28,20.85,19.79,21.77,22.79,19.72,19.48,20.28,21.37,22.39
2091,20.25,18.44,21.00,19.96,21.98,22.92,19.79,19.62,20.35,21.51,22.52
2092,20.02,18.22,20.83,19.74,21.54,22.73,19.48,19.42,20.17,21.29,22.29
2093,19.96,18.24,20.72,19.66,21.31,22.65,19.58,19.35,20.13,21.20,22.20
2094,20.10,18.36,20.84,19.78,21.65,22.81,19.73,19.45,20.23,21.38,22.35
2095,20.05,18.29,20.75,19.75,21.63,22.71,19.70,19.43,20.17,21.22,22.27
2096,19.94,18.17,20.64,19.66,21.38,22.61,19.60,19.35,20.06,21.17,22.25
2097,19.94,18.16,20.65,19.62,21.60,22.57,19.56,19.28,20.14,21.16,22.20
2098,19.97,18.23,20.64,19.63,21.62,22.58,19.61,19.36,20.07,21.17,22.18
2099,19.98,18.25,20.73,19.73,21.41,22.60,19.51,19.33,20.08,21.24,22.16
2100,20.23,18.52,20.94,19.94,21.82,22.75,19.84,19.54,20.25,21.35,22.35
