Variable:,tasmin
,Cuba,Camaguey,"Ciego De Avila",Cienfuegos,"Ciudad De La Habana",Granma,Guantanamo,Holguin,"Isla De La Juventud","La Habana","Las Tunas",Matanzas,"Pinar Del Rio","Sancti Spiritus","Santiago De Cuba","Villa Clara"
2015,21.65,22.56,22.32,21.57,22.34,22.37,22.26,21.49,24.29,22.64,22.34,22.29,23.00,22.80,21.95,20.83
2016,21.78,22.62,22.41,21.82,22.61,22.40,22.30,21.57,24.39,22.80,22.41,22.47,23.13,22.98,22.00,21.09
2017,21.86,22.71,22.50,21.87,22.63,22.55,22.40,21.67,24.45,22.87,22.50,22.53,23.18,23.03,22.12,21.13
2018,21.69,22.61,22.39,21.66,22.42,22.33,22.25,21.47,24.38,22.73,22.34,22.36,23.06,22.93,21.92,20.94
2019,21.82,22.66,22.46,21.79,22.48,22.51,22.41,21.65,24.43,22.83,22.49,22.51,23.13,23.01,22.09,21.04
2020,21.89,22.78,22.49,21.79,22.64,22.59,22.45,21.71,24.50,22.96,22.59,22.58,23.28,23.03,22.15,21.04
2021,21.86,22.82,22.56,21.86,22.61,22.51,22.30,21.59,24.47,22.89,22.55,22.55,23.21,23.10,22.04,21.14
2022,22.09,22.97,22.76,22.10,22.79,22.69,22.53,21.81,24.64,23.11,22.73,22.79,23.46,23.31,22.24,21.41
2023,21.99,22.90,22.67,21.96,22.66,22.66,22.57,21.81,24.51,22.97,22.68,22.65,23.25,23.21,22.25,21.26
2024,22.01,22.88,22.67,21.99,22.84,22.64,22.49,21.75,24.69,23.12,22.64,22.75,23.46,23.21,22.20,21.26
2025,22.11,23.06,22.79,22.03,22.78,22.79,22.67,21.93,24.69,23.08,22.81,22.74,23.42,23.31,22.36,21.31
2026,22.02,22.90,22.68,22.03,22.74,22.70,22.53,21.80,24.73,23.11,22.68,22.75,23.45,23.25,22.25,21.30
2027,22.11,23.03,22.78,22.12,22.88,22.74,22.55,21.84,24.82,23.22,22.79,22.86,23.57,23.33,22.27,21.36
2028,22.05,22.89,22.68,22.02,22.83,22.66,22.55,21.80,24.69,23.12,22.67,22.76,23.44,23.23,22.25,21.30
2029,22.05,22.95,22.76,22.10,22.74,22.72,22.57,21.85,24.74,23.15,22.68,22.82,23.44,23.30,22.31,21.36
2030,22.19,23.10,22.88,22.21,22.93,22.82,22.66,21.92,24.87,23.28,22.83,22.94,23.57,23.43,22.37,21.50
2031,22.12,22.91,22.73,22.18,22.94,22.71,22.58,21.87,24.74,23.24,22.69,22.89,23.59,23.31,22.30,21.44
2032,22.14,23.06,22.87,22.16,22.81,22.78,22.57,21.89,24.58,23.12,22.80,22.84,23.34,23.39,22.31,21.47
2033,22.13,23.09,22.79,22.07,22.81,22.93,22.69,22.02,24.78,23.14,22.92,22.80,23.42,23.31,22.46,21.34
2034,22.26,23.17,22.95,22.19,22.97,22.90,22.79,22.07,24.83,23.25,22.93,22.91,23.57,23.44,22.50,21.48
2035,22.26,23.17,22.94,22.26,23.02,22.88,22.74,22.02,24.88,23.29,22.91,22.94,23.59,23.48,22.46,21.56
2036,22.19,23.06,22.84,22.35,22.99,22.79,22.63,21.94,24.79,23.24,22.81,22.95,23.52,23.39,22.37,21.55
2037,22.28,23.24,22.95,22.36,22.99,22.97,22.72,22.05,24.84,23.28,23.00,22.97,23.61,23.48,22.49,21.61
2038,22.29,23.16,22.91,22.23,23.04,23.06,22.86,22.15,24.90,23.31,23.01,22.96,23.60,23.45,22.60,21.49
