Variable:,tasmin
,France,Alsace,Aquitaine,Auvergne,Basse-Normandie,Bourgogne,Bretagne,Centre,Champagne-Ardenne,Corse,Franche-Comte,Haute-Normandie,Ile-de-France,Languedoc-Rousillon,Limousin,Lorraine,Midi-Pyrenees,Nord-Pas-de-Calais,Pays-de-la-Loire,Picardie,Poitou-Charentes,Provence-Alpes-Cote-d'Azur,Rhone-Alpes,Cayenne,Saint-laurent-du-maroni,"Administrative unit not available","Administrative unit not available",Arrondissement_du_vent,Arrondissement_souse_le_vent,Fort-de-France,"La Trinite","Le Marin",Saint-Pierre
2015,7.78,5.78,9.13,6.21,8.31,7.07,9.86,7.69,7.67,12.52,6.79,7.95,8.07,8.63,7.76,6.87,7.47,8.44,9.24,8.59,9.37,11.02,6.81,21.98,21.94,24.58,23.81,21.48,22.32,24.89,24.75,24.28,25.11
2016,7.90,5.73,9.41,6.42,8.39,7.21,9.99,7.95,7.81,12.34,6.82,8.03,8.23,8.89,8.03,6.89,7.71,8.44,9.48,8.70,9.66,11.12,6.82,21.98,21.94,24.29,23.77,21.46,22.31,24.66,24.52,24.05,24.89
2017,7.62,5.60,9.18,6.06,8.10,6.96,9.69,7.65,7.43,12.45,6.52,7.71,7.92,8.48,7.75,6.60,7.42,8.09,9.22,8.34,9.46,10.81,6.52,22.23,22.23,24.57,23.95,21.46,22.30,24.94,24.80,24.32,25.17
2018,7.56,5.49,9.09,5.97,8.06,6.83,9.65,7.51,7.42,12.47,6.54,7.74,7.79,8.43,7.64,6.55,7.32,8.12,9.05,8.37,9.27,10.81,6.56,22.16,22.14,24.48,23.81,21.58,22.45,24.91,24.77,24.29,25.14
2019,7.96,5.96,9.59,6.41,8.53,7.23,10.00,7.97,7.72,12.68,6.90,8.09,8.18,8.83,8.09,6.96,7.80,8.38,9.53,8.62,9.76,11.20,6.90,22.21,22.15,24.49,23.70,21.31,22.15,24.84,24.70,24.23,25.07
2020,7.63,5.55,9.20,6.08,8.12,6.89,9.74,7.60,7.38,12.46,6.52,7.68,7.83,8.62,7.72,6.58,7.53,8.26,9.13,8.25,9.36,10.95,6.56,22.43,22.38,24.87,23.93,21.79,22.66,25.25,25.11,24.64,25.47
2021,7.70,5.79,9.30,6.23,8.08,7.06,9.68,7.65,7.53,12.49,6.80,7.66,7.88,8.70,7.80,6.73,7.56,8.02,9.18,8.30,9.48,11.00,6.76,22.20,22.16,24.58,23.97,21.56,22.41,25.00,24.86,24.39,25.23
2022,8.20,6.01,9.80,6.66,8.71,7.51,10.21,8.26,7.97,12.85,7.13,8.26,8.46,9.19,8.38,7.09,8.07,8.52,9.85,8.85,10.11,11.42,7.19,22.19,22.12,24.65,23.88,21.64,22.48,25.05,24.91,24.44,25.27
2023,7.71,5.57,9.33,6.18,8.23,6.97,9.72,7.70,7.50,12.54,6.59,7.82,7.99,8.71,7.79,6.64,7.71,8.09,9.26,8.40,9.47,10.88,6.68,22.29,22.26,24.59,24.02,21.64,22.47,24.96,24.82,24.35,25.19
2024,7.75,5.76,9.21,6.06,8.41,7.03,9.90,7.70,7.69,12.50,6.68,8.03,8.07,8.62,7.77,6.87,7.56,8.40,9.31,8.59,9.44,10.91,6.57,22.35,22.34,24.70,24.06,21.75,22.57,25.07,24.93,24.46,25.29
