Variable:,tasmin
,Hungary,Bacs-kiskun,Baranya,Bekes,Borsod-abauj-zemplen,Budapest,Csongrad,Fejer,Gyor-moson-sopron,Hajdu-bihar,Heves,Jasz-nagykun-szolnok,Komarom-esztergom,Nograd,Pest,Somogy,Szabolcs-szatmar-bereg,Tolna,Vas,Veszprem,Zala
2015,6.53,7.19,7.00,7.81,5.75,6.56,7.74,6.69,6.75,7.05,6.61,7.06,6.65,5.81,6.58,6.96,6.43,6.88,6.61,6.93,7.42
2016,6.18,6.65,6.54,7.23,5.46,6.21,7.14,6.37,6.49,6.59,6.15,6.53,6.40,5.50,6.24,6.54,6.13,6.42,6.36,6.63,7.09
2017,6.70,7.30,7.16,7.90,5.96,6.74,7.81,6.87,6.82,7.23,6.73,7.15,6.82,5.97,6.76,7.17,6.66,7.07,6.71,7.05,7.66
2018,6.58,7.11,6.97,7.67,5.84,6.62,7.61,6.81,6.88,6.98,6.60,7.00,6.83,5.93,6.65,7.02,6.41,6.86,6.77,7.05,7.60
2019,6.63,7.37,7.17,7.85,5.77,6.74,7.87,6.96,7.02,6.95,6.63,7.06,6.93,5.95,6.77,7.22,6.34,7.14,6.89,7.19,7.69
2020,6.35,6.84,6.69,7.43,5.60,6.39,7.31,6.58,6.66,6.73,6.32,6.70,6.59,5.65,6.42,6.76,6.30,6.66,6.50,6.82,7.26
2021,6.47,7.00,6.79,7.59,5.93,6.46,7.50,6.48,6.51,7.08,6.59,6.98,6.42,5.77,6.47,6.75,6.49,6.70,6.44,6.66,7.21
2022,6.82,7.33,7.22,7.97,6.14,6.85,7.84,6.97,6.94,7.39,6.85,7.25,6.94,6.08,6.87,7.25,6.86,7.11,6.85,7.15,7.75
2023,6.52,7.07,6.95,7.61,5.79,6.52,7.54,6.75,6.90,6.90,6.46,6.85,6.76,5.78,6.55,7.01,6.39,6.85,6.72,7.06,7.51
2024,7.13,7.68,7.46,8.32,6.46,7.20,8.21,7.33,7.12,7.64,7.18,7.58,7.31,6.48,7.23,7.43,7.11,7.40,6.87,7.40,7.79
2025,6.81,7.39,7.22,7.99,5.95,6.87,7.89,7.08,7.26,7.24,6.81,7.24,7.09,6.09,6.90,7.33,6.64,7.18,7.10,7.41,7.88
2026,6.96,7.57,7.33,8.17,6.25,7.05,8.08,7.12,7.02,7.54,7.09,7.50,7.09,6.31,7.07,7.27,6.94,7.24,6.86,7.24,7.75
2027,7.15,7.76,7.45,8.33,6.40,7.23,8.30,7.31,7.44,7.64,7.20,7.62,7.33,6.44,7.25,7.50,7.08,7.38,7.22,7.61,8.02
2028,7.20,7.82,7.58,8.45,6.41,7.30,8.34,7.41,7.37,7.80,7.27,7.70,7.40,6.49,7.32,7.55,7.12,7.53,7.12,7.59,7.96
2029,6.70,7.32,7.19,7.93,5.92,6.72,7.85,6.95,6.99,7.19,6.68,7.10,6.93,5.95,6.75,7.25,6.60,7.10,6.83,7.20,7.71
