Variable:,tasmin
,"Sri Lanka",Central,Eastern,"North Central","North Western",Northern,Sabaragamuwa,Southern,Uva,Western
2015,23.93,23.93,22.59,24.17,24.45,24.79,24.32,24.47,23.33,24.62
2016,23.94,23.94,22.62,24.17,24.45,24.77,24.35,24.49,23.35,24.63
2017,24.06,24.11,22.72,24.33,24.60,24.92,24.48,24.59,23.43,24.77
2018,24.04,24.08,22.73,24.33,24.57,24.88,24.42,24.55,23.44,24.70
2019,23.96,23.93,22.61,24.16,24.45,24.84,24.29,24.41,23.29,24.59
2020,24.18,24.18,22.87,24.49,24.69,25.07,24.56,24.69,23.57,24.85
2021,24.11,24.13,22.78,24.35,24.64,24.99,24.51,24.64,23.50,24.79
2022,24.15,24.20,22.83,24.38,24.69,24.95,24.55,24.68,23.55,24.84
2023,24.16,24.16,22.83,24.40,24.67,25.01,24.56,24.70,23.55,24.85
2024,24.12,24.15,22.78,24.36,24.65,24.96,24.56,24.70,23.53,24.85
2025,24.24,24.28,22.94,24.50,24.80,25.05,24.68,24.81,23.67,24.97
2026,24.25,24.27,22.94,24.50,24.76,25.09,24.68,24.82,23.67,24.96
2027,24.02,24.05,22.70,24.24,24.54,24.84,24.43,24.56,23.42,24.71
2028,24.36,24.40,23.04,24.62,24.90,25.25,24.77,24.90,23.76,25.06
2029,24.24,24.21,22.93,24.45,24.74,25.08,24.64,24.82,23.69,24.95
2030,24.27,24.23,22.94,24.54,24.77,25.15,24.64,24.79,23.65,24.94
2031,24.41,24.42,23.07,24.66,24.91,25.27,24.78,24.91,23.77,25.07
2032,24.28,24.30,22.98,24.53,24.80,25.12,24.61,24.71,23.63,24.90
2033,24.45,24.43,23.08,24.70,24.97,25.37,24.83,24.96,23.80,25.12
2034,24.35,24.40,23.01,24.58,24.92,25.20,24.79,24.93,23.78,25.09
2035,24.44,24.47,23.10,24.71,25.03,25.34,24.80,24.91,23.80,25.12
2036,24.41,24.44,23.03,24.68,24.95,25.36,24.75,24.85,23.72,25.04
2037,24.40,24.36,23.07,24.60,24.87,25.24,24.81,24.97,23.82,25.10
2038,24.61,24.67,23.29,24.90,25.15,25.47,24.96,25.06,23.96,25.24
2039,24.38,24.40,23.01,24.64,24.91,25.31,24.79,24.92,23.75,25.08
2040,24.46,24.48,23.11,24.71,25.01,25.35,24.86,24.98,23.82,25.16
2041,24.55,24.58,23.24,24.79,25.09,25.40,24.97,25.11,23.97,25.26
2042,24.30,24.31,23.01,24.53,24.82,25.11,24.72,24.88,23.76,25.01
2043,24.29,24.29,22.97,24.52,24.78,25.13,24.69,24.84,23.71,24.97
2044,24.37,24.40,23.04,24.58,24.90,25.23,24.78,24.89,23.75,25.07
2045,24.56,24.63,23.24,24.78,25.11,25.38,24.97,25.09,23.96,25.26
2046,24.44,24.46,23.13,24.67,24.97,25.31,24.83,24.95,23.83,25.12
2047,24.52,24.53,23.20,24.75,25.04,25.39,24.93,25.07,23.93,25.21
2048,24.55,24.58,23.24,24.78,25.08,25.37,24.99,25.14,23.99,25.29
2049,24.46,24.47,23.15,24.69,24.97,25.29,24.85,24.99,23.88,25.13
2050,24.40,24.40,23.07,24.63,24.91,25.26,24.78,24.92,23.79,25.07
2051,24.47,24.47,23.14,24.72,24.99,25.34,24.86,24.99,23.85,25.16
2052,24.39,24.38,23.06,24.59,24.88,25.22,24.79,24.95,23.82,25.08
