Variable:,tasmin
,Morocco,"Meknès - Tafilalet",Oriental,"Chaouia - Ouardigha","Doukkala - Abda","Fès - Boulemane","Gharb - Chrarda - Béni Hssen","Grand Casablanca","Guelmim - Es-Semara","Laâyoune - Boujdour - Sakia El Hamra","Marrakech - Tensift - Al Haouz","Rabat - Salé - Zemmour - Zaer","Souss - Massa - Draâ","Tadla - Azilal","Tanger - Tétouan","Taza - Al Hoceima - Taounate"
2015,12.28,11.40,11.65,13.11,14.11,8.90,13.30,13.72,15.79,17.19,12.53,12.00,13.15,10.24,12.97,10.86
2016,12.36,11.35,11.64,13.17,14.20,8.87,13.47,13.86,16.07,17.37,12.69,12.08,13.31,10.24,13.08,10.96
2017,12.37,11.54,11.76,13.15,14.14,9.07,13.40,13.74,15.96,17.30,12.68,12.02,13.31,10.35,12.95,10.95
2018,12.40,11.41,11.74,13.26,14.33,8.95,13.57,13.89,16.10,17.49,12.72,12.13,13.33,10.31,13.06,10.98
2019,12.54,11.51,11.87,13.35,14.30,9.10,13.72,14.06,16.16,17.53,12.80,12.32,13.42,10.45,13.33,11.23
2020,12.48,11.51,11.81,13.24,14.28,9.04,13.63,13.91,16.19,17.47,12.74,12.22,13.38,10.31,13.22,11.13
2021,12.71,11.86,12.29,13.46,14.38,9.62,13.66,14.05,16.15,17.48,12.90,12.42,13.53,10.67,13.19,11.43
2022,12.84,11.94,12.05,13.62,14.52,9.57,13.89,14.06,16.38,17.75,13.23,12.41,13.86,11.00,13.43,11.45
2023,12.45,11.58,11.82,13.11,14.15,8.93,13.47,13.72,16.26,17.62,12.60,12.00,13.40,10.28,13.11,10.91
2024,12.65,11.78,12.02,13.36,14.31,9.24,13.54,13.98,16.37,17.60,12.87,12.18,13.60,10.59,13.16,11.18
2025,12.93,12.05,12.38,13.49,14.60,9.57,13.86,14.17,16.60,17.93,13.11,12.39,13.84,10.72,13.55,11.53
2026,12.92,12.07,12.27,13.64,14.57,9.58,13.89,14.20,16.56,17.74,13.20,12.53,13.89,10.85,13.47,11.47
2027,12.79,11.84,12.11,13.66,14.63,9.45,13.98,14.35,16.45,17.78,13.07,12.63,13.61,10.69,13.54,11.46
2028,12.87,12.03,12.16,13.65,14.55,9.59,13.92,14.23,16.56,17.85,13.13,12.63,13.78,10.79,13.51,11.49
2029,12.67,11.79,11.94,13.50,14.36,9.31,13.75,14.10,16.36,17.47,12.96,12.49,13.63,10.63,13.26,11.22
2030,12.80,11.84,12.13,13.58,14.58,9.39,14.00,14.23,16.40,17.67,13.13,12.56,13.68,10.68,13.58,11.43
2031,12.97,12.11,12.39,13.79,14.64,9.69,14.02,14.37,16.49,17.63,13.20,12.72,13.83,10.91,13.55,11.64
2032,12.63,11.65,11.96,13.33,14.33,9.19,13.68,14.07,16.42,17.72,12.81,12.25,13.58,10.45,13.35,11.24
2033,12.91,12.01,12.24,13.65,14.63,9.64,13.86,14.20,16.49,17.71,13.16,12.53,13.85,10.90,13.44,11.60
2034,12.91,11.94,12.36,13.72,14.69,9.59,14.01,14.38,16.51,17.85,13.18,12.61,13.77,10.75,13.64,11.58
2035,12.95,11.98,12.33,13.72,14.71,9.62,14.07,14.39,16.60,17.81,13.19,12.66,13.87,10.86,13.63,11.62
