Variable:,tasmin
,"Myanmar (Burma)",Rakhine,Chin,Ayeyawaddy,Kachin,Kayin,Kayar,Magway,Mandalay,Mon,Sagaing,Taninthayi,Yangon,"Bago (E)","Bago (W)","Shan (E)","Shan (N)","Shan (S)"
2015,18.64,23.45,19.28,23.63,16.30,21.92,19.76,20.33,21.34,24.18,18.32,24.10,23.27,22.29,22.32,17.01,17.07,18.00
2016,18.73,23.51,19.37,23.74,16.32,21.93,19.91,20.49,21.45,24.14,18.32,23.87,23.47,22.53,22.57,17.19,17.21,18.23
2017,18.60,23.55,19.30,23.75,16.21,21.94,19.77,20.29,21.19,24.19,18.21,24.09,23.40,22.46,22.46,16.93,16.96,17.98
2018,18.77,23.62,19.44,23.74,16.38,22.05,19.82,20.40,21.50,24.26,18.41,24.15,23.34,22.47,22.39,17.16,17.22,18.24
2019,18.72,23.55,19.29,23.90,16.16,22.25,20.10,20.37,21.36,24.45,18.22,24.20,23.56,22.69,22.57,17.32,17.08,18.25
2020,18.97,23.66,19.55,23.94,16.59,22.23,20.07,20.64,21.76,24.41,18.64,24.25,23.57,22.73,22.72,17.48,17.44,18.44
2021,18.82,23.63,19.42,23.88,16.42,22.17,20.08,20.49,21.46,24.37,18.43,24.18,23.53,22.63,22.55,17.27,17.27,18.27
2022,18.70,23.55,19.27,23.85,16.24,22.13,19.87,20.35,21.40,24.36,18.24,24.31,23.52,22.63,22.50,17.14,17.04,18.12
2023,18.83,23.70,19.48,23.92,16.44,22.19,20.03,20.55,21.57,24.43,18.45,24.33,23.53,22.67,22.62,17.17,17.20,18.32
2024,18.90,23.69,19.54,23.93,16.55,22.23,20.09,20.57,21.59,24.48,18.56,24.21,23.57,22.70,22.63,17.31,17.25,18.34
2025,18.98,23.84,19.58,24.09,16.62,22.37,20.08,20.64,21.64,24.60,18.64,24.36,23.77,22.82,22.78,17.37,17.32,18.44
2026,19.07,23.86,19.61,24.04,16.70,22.44,20.22,20.78,21.81,24.68,18.73,24.49,23.74,22.84,22.80,17.50,17.45,18.49
2027,19.08,23.74,19.68,23.86,16.78,22.27,20.38,20.70,21.76,24.37,18.80,24.14,23.56,22.84,22.69,17.47,17.56,18.58
2028,19.11,23.88,19.75,24.10,16.72,22.49,20.28,20.80,21.78,24.68,18.71,24.44,23.80,22.96,22.86,17.51,17.50,18.53
2029,19.24,24.03,19.73,24.31,16.86,22.65,20.56,20.94,21.98,24.87,18.81,24.52,23.99,23.14,23.03,17.66,17.62,18.78
2030,19.14,23.92,19.78,24.03,16.85,22.35,20.33,20.81,21.83,24.51,18.87,24.30,23.70,22.86,22.82,17.57,17.54,18.61
2031,19.14,23.92,19.89,23.94,16.98,22.23,20.04,20.79,21.81,24.41,19.04,24.32,23.56,22.65,22.63,17.44,17.60,18.40
2032,19.10,23.90,19.67,24.05,16.73,22.43,20.28,20.81,21.80,24.64,18.76,24.48,23.73,22.92,22.90,17.46,17.48,18.50
2033,19.13,23.98,19.83,24.06,16.76,22.37,20.19,20.89,21.90,24.64,18.76,24.53,23.69,22.80,22.73,17.62,17.54,18.61
2034,19.26,24.02,19.94,24.23,16.95,22.55,20.44,20.90,21.91,24.78,18.94,24.59,23.94,23.04,23.00,17.63,17.66,18.67
2035,19.36,24.07,19.89,24.29,17.01,22.60,20.44,21.01,22.11,24.79,19.03,24.67,23.95,23.08,23.07,17.77,17.81,18.82
