Variable:,tasmin
,"French Polynesia","Administrative unit not available"
2015,23.41,23.62
2016,23.51,23.71
2017,23.52,23.72
2018,23.58,23.80
2019,23.52,23.72
2020,23.68,23.88
2021,23.63,23.83
2022,23.64,23.86
2023,23.63,23.85
2024,23.61,23.82
2025,23.77,23.96
2026,23.71,23.94
2027,23.59,23.81
2028,23.80,24.01
2029,23.83,24.04
2030,23.73,23.92
2031,23.76,23.96
2032,23.57,23.81
2033,23.65,23.89
2034,23.84,24.05
2035,23.75,23.96
2036,23.75,23.97
2037,23.82,24.03
2038,23.88,24.07
2039,23.84,24.03
2040,23.82,24.05
2041,23.89,24.10
2042,23.93,24.13
2043,23.68,23.90
2044,23.90,24.10
2045,23.89,24.09
2046,23.96,24.16
2047,23.77,23.99
2048,23.83,24.05
2049,23.75,23.96
2050,23.80,23.99
2051,23.83,24.02
2052,23.91,24.11
2053,23.85,24.06
2054,23.89,24.10
2055,23.73,23.94
2056,23.96,24.14
2057,23.85,24.07
2058,23.93,24.10
2059,23.83,24.04
2060,23.87,24.07
2061,23.88,24.09
2062,23.96,24.15
2063,23.94,24.12
2064,23.81,24.01
2065,23.68,23.90
2066,23.88,24.09
2067,23.89,24.10
2068,23.83,24.04
2069,23.77,23.99
2070,23.79,24.00
2071,23.85,24.07
2072,23.74,23.95
2073,23.61,23.83
2074,23.88,24.08
2075,23.87,24.08
2076,23.81,24.01
2077,23.78,24.00
2078,23.91,24.12
2079,23.77,23.97
2080,23.83,24.03
2081,23.86,24.06
2082,23.87,24.06
2083,23.75,23.96
2084,23.84,24.05
2085,23.78,23.99
2086,23.81,24.01
2087,23.87,24.08
2088,23.74,23.93
2089,23.69,23.90
2090,23.91,24.11
2091,23.91,24.10
2092,23.84,24.03
2093,23.73,23.93
2094,23.89,24.07
2095,23.79,23.97
2096,23.72,23.92
2097,23.61,23.84
2098,23.71,23.90
2099,23.70,23.90
2100,23.69,23.89
