Variable:,tasmin
,Romania,Alba,Arad,Arges,Bacau,Bihor,Bistrita-nasaud,Botosani,Braila,Brasov,Bucuresti,Buzau,Calarasi,Caras-severin,Cluj,Constanta,Covasna,Dimbovita,Dolj,Galati,Giurgiu,Gorj,Harghita,Hunedoara,Ialomita,Iasi,Maramures,Mehedinti,Mures,Neamt,Olt,Prahova,Salaj,"Satu Mare",Sibiu,Suceava,Teleorman,Timis,Tulcea,Vaslui,Vilcea,Vrancea
2015,5.33,4.47,7.53,5.97,3.00,6.84,4.01,3.07,7.14,4.24,7.30,5.82,7.36,7.47,4.27,8.60,3.94,6.35,7.50,6.66,7.07,6.71,2.62,5.92,7.41,4.41,4.15,7.07,3.49,2.02,7.57,5.58,4.78,5.52,4.46,1.14,6.78,8.37,8.39,5.28,5.90,5.53
2016,5.14,4.11,6.95,5.67,3.02,6.36,3.90,3.04,7.08,4.07,7.07,5.69,7.24,6.80,3.94,8.65,3.83,6.10,7.00,6.61,6.79,6.18,2.55,5.37,7.33,4.42,3.93,6.46,3.35,1.98,7.12,5.40,4.44,5.16,4.20,1.02,6.44,7.69,8.47,5.31,5.53,5.44
2017,5.55,4.78,7.65,6.30,3.16,7.00,4.42,3.35,7.10,4.60,7.57,5.93,7.47,7.59,4.57,8.50,4.19,6.72,7.68,6.65,7.40,6.90,2.97,6.11,7.49,4.67,4.44,7.22,3.92,2.28,7.78,5.84,4.99,5.72,4.85,1.48,7.12,8.47,8.37,5.39,6.20,5.59
2018,5.34,4.44,7.36,5.96,3.03,6.69,4.05,3.09,7.21,4.37,7.36,5.86,7.44,7.23,4.24,8.82,4.03,6.36,7.32,6.73,7.06,6.50,2.78,5.72,7.50,4.45,4.07,6.86,3.65,2.06,7.38,5.65,4.64,5.38,4.53,1.15,6.70,8.15,8.67,5.33,5.84,5.56
2019,5.32,4.48,7.49,5.99,3.02,6.72,4.01,3.10,7.04,4.36,7.28,5.80,7.29,7.43,4.23,8.52,4.00,6.37,7.42,6.58,7.03,6.70,2.73,5.92,7.33,4.46,4.02,6.99,3.60,2.06,7.42,5.62,4.60,5.33,4.57,1.15,6.72,8.36,8.40,5.27,5.93,5.49
2020,5.48,4.53,7.23,6.32,3.29,6.61,4.26,3.37,7.15,4.66,7.52,6.12,7.42,7.16,4.31,8.57,4.34,6.72,7.55,6.75,7.33,6.70,3.02,5.81,7.45,4.78,4.22,6.93,3.82,2.33,7.82,5.94,4.70,5.39,4.73,1.43,7.04,7.93,8.44,5.50,6.15,5.77
2021,5.23,4.29,7.25,5.85,2.99,6.66,4.06,3.06,6.88,4.14,7.31,5.70,7.17,7.19,4.08,8.28,3.88,6.26,7.32,6.50,7.00,6.51,2.66,5.68,7.18,4.39,4.04,6.82,3.45,2.03,7.39,5.50,4.59,5.38,4.35,1.17,6.64,8.08,8.28,5.22,5.76,5.40
2022,5.69,4.95,7.76,6.37,3.40,7.17,4.57,3.41,7.36,4.73,7.65,6.16,7.62,7.70,4.75,8.75,4.38,6.74,7.81,6.93,7.41,7.04,3.15,6.26,7.65,4.73,4.61,7.36,4.03,2.43,7.86,5.98,5.18,5.90,4.95,1.56,7.10,8.51,8.61,5.65,6.30,5.86
2023,5.13,4.34,7.35,5.84,2.82,6.67,3.86,2.85,6.79,4.21,7.07,5.60,7.07,7.34,4.12,8.30,3.86,6.21,7.35,6.32,6.87,6.52,2.65,5.74,7.10,4.14,3.90,6.94,3.50,1.88,7.33,5.44,4.53,5.31,4.42,1.02,6.61,8.20,8.10,4.94,5.77,5.28
2024,5.77,5.15,8.06,6.50,3.31,7.42,4.51,3.40,7.42,4.77,7.73,6.20,7.74,7.95,4.92,8.98,4.37,6.83,8.05,6.92,7.53,7.30,3.06,6.50,7.78,4.74,4.64,7.60,4.08,2.33,8.02,6.03,5.34,6.09,5.11,1.36,7.27,8.80,8.75,5.51,6.48,5.85
