Variable:,tasmin
,Tokelau,"Administrative unit not available"
2015,25.74,25.56
2016,25.73,25.58
2017,25.82,25.66
2018,25.71,25.53
2019,25.78,25.60
2020,25.94,25.77
2021,25.92,25.75
2022,25.87,25.72
2023,25.94,25.77
2024,25.94,25.76
2025,26.11,25.95
2026,26.03,25.87
2027,25.90,25.68
2028,26.10,25.92
2029,26.02,25.86
2030,26.04,25.86
2031,25.92,25.77
2032,26.05,25.86
2033,26.06,25.88
2034,26.12,25.91
2035,26.00,25.82
2036,25.99,25.79
2037,26.17,25.99
2038,26.16,25.99
2039,26.17,26.01
2040,26.12,25.94
2041,26.15,25.97
2042,26.16,25.96
2043,25.99,25.83
2044,26.13,25.96
2045,26.24,26.09
2046,26.10,25.94
2047,26.25,26.08
2048,26.07,25.88
2049,26.09,25.92
2050,26.13,25.96
2051,26.18,25.99
2052,26.09,25.89
2053,26.03,25.85
2054,26.12,25.92
2055,25.99,25.82
2056,26.09,25.91
2057,26.12,25.95
2058,26.19,26.01
2059,26.08,25.92
2060,26.18,25.98
2061,26.19,26.01
2062,26.14,25.98
2063,26.05,25.86
2064,26.16,25.98
2065,25.95,25.78
2066,26.05,25.87
2067,26.17,25.98
2068,26.18,25.98
2069,26.19,26.01
2070,26.14,25.94
2071,26.13,25.97
2072,26.00,25.82
2073,26.04,25.87
2074,26.02,25.85
2075,26.07,25.90
2076,26.13,25.96
2077,26.24,26.06
2078,26.11,25.92
2079,26.08,25.91
2080,25.93,25.73
2081,25.85,25.65
2082,26.01,25.86
2083,26.03,25.84
2084,26.07,25.90
2085,25.93,25.76
2086,26.07,25.87
2087,26.19,26.00
2088,25.93,25.76
2089,25.92,25.74
2090,25.97,25.79
2091,26.08,25.88
2092,25.85,25.68
2093,26.03,25.84
2094,26.11,25.90
2095,25.97,25.79
2096,25.93,25.74
2097,25.96,25.78
2098,26.06,25.88
2099,25.98,25.79
2100,25.96,25.74
