Variable:,tasmin
,Tunisia,Ariana,"Ben Arous",Bizerte,Beja,Gabes,Gafsa,Jendouba,Kairouan,Kasserine,Kebili,"Le Kef",Mahdia,Manouba,Monastir,Medenine,Nabeul,Sfax,"Sidi Bouz",Siliana,Sousse,Tataouine,Tozeur,Tunis,Zaghouan
2015,14.89,13.59,13.45,12.70,11.39,16.07,15.44,10.02,12.67,12.20,16.21,10.40,14.20,11.56,14.06,16.35,13.67,15.49,14.26,11.58,13.84,16.32,15.91,13.45,12.41
2016,14.59,13.27,13.13,12.29,11.02,15.84,15.20,9.61,12.31,11.91,15.99,10.05,13.91,11.20,13.76,16.04,13.35,15.18,13.93,11.20,13.53,16.04,15.77,13.13,12.07
2017,14.69,13.32,13.18,12.36,11.11,15.98,15.33,9.70,12.35,11.93,16.12,10.09,13.93,11.28,13.78,16.18,13.41,15.31,14.07,11.27,13.56,16.15,15.84,13.18,12.13
2018,14.86,13.43,13.27,12.51,11.24,16.17,15.49,9.90,12.57,12.19,16.31,10.33,14.07,11.41,13.92,16.35,13.50,15.48,14.30,11.45,13.69,16.35,16.01,13.27,12.24
2019,15.00,13.72,13.58,12.74,11.49,16.19,15.69,10.12,12.70,12.34,16.42,10.51,14.25,11.66,14.10,16.29,13.80,15.62,14.45,11.64,13.91,16.51,16.21,13.58,12.53
2020,14.81,13.46,13.29,12.51,11.14,16.09,15.37,9.72,12.48,11.99,16.34,10.12,14.13,11.31,13.99,16.28,13.52,15.42,14.11,11.32,13.75,16.29,16.02,13.29,12.20
2021,15.35,14.07,13.98,13.17,12.00,16.55,15.88,10.60,13.16,12.75,16.75,11.00,14.66,12.17,14.52,16.77,14.18,15.87,14.68,12.14,14.33,16.77,16.53,13.98,12.98
2022,15.26,13.90,13.81,12.93,11.74,16.56,15.90,10.38,13.03,12.64,16.67,10.81,14.52,11.92,14.38,16.74,14.02,15.84,14.73,11.94,14.17,16.69,16.45,13.81,12.77
2023,15.20,13.76,13.60,12.91,11.64,16.51,15.77,10.28,12.85,12.47,16.68,10.66,14.37,11.80,14.22,16.71,13.82,15.84,14.56,11.80,14.00,16.68,16.38,13.60,12.61
2024,15.10,13.59,13.47,12.66,11.52,16.41,15.76,10.24,12.83,12.44,16.58,10.63,14.34,11.69,14.19,16.63,13.68,15.72,14.53,11.74,13.94,16.62,16.28,13.47,12.49
2025,15.31,13.88,13.73,13.02,11.77,16.56,16.02,10.42,12.94,12.60,16.82,10.78,14.48,11.93,14.33,16.75,13.95,15.88,14.68,11.91,14.11,16.92,16.59,13.73,12.74
2026,15.41,13.90,13.79,12.90,11.72,16.73,16.03,10.35,13.04,12.66,16.99,10.77,14.61,11.90,14.46,16.98,14.01,15.94,14.76,11.92,14.22,17.09,16.73,13.79,12.75
2027,15.18,13.95,13.83,12.98,11.74,16.33,15.69,10.35,12.98,12.50,16.55,10.73,14.53,11.92,14.38,16.57,14.05,15.75,14.55,11.91,14.18,16.64,16.30,13.83,12.78
2028,15.31,13.76,13.61,12.82,11.49,16.75,15.98,10.16,12.91,12.55,16.95,10.62,14.48,11.66,14.33,16.89,13.83,15.94,14.70,11.72,14.08,16.82,16.63,13.61,12.54
2029,15.14,13.78,13.64,12.86,11.66,16.37,15.82,10.30,12.92,12.52,16.52,10.69,14.42,11.83,14.28,16.56,13.86,15.78,14.56,11.85,14.05,16.55,16.30,13.64,12.64
2030,15.18,13.79,13.69,12.83,11.65,16.44,15.81,10.35,12.95,12.55,16.59,10.74,14.38,11.83,14.23,16.66,13.90,15.76,14.63,11.87,14.04,16.69,16.34,13.69,12.66
2031,15.42,13.96,13.86,12.97,11.81,16.70,16.05,10.46,13.11,12.69,16.92,10.85,14.67,11.99,14.53,16.93,14.07,16.03,14.83,12.01,14.29,17.04,16.66,13.86,12.83
2032,15.17,13.82,13.71,12.79,11.60,16.46,15.84,10.20,12.83,12.43,16.67,10.59,14.42,11.79,14.28,16.64,13.92,15.75,14.55,11.75,14.08,16.71,16.42,13.71,12.65
2033,15.17,13.80,13.66,12.93,11.69,16.37,15.80,10.36,12.96,12.58,16.58,10.77,14.42,11.85,14.27,16.59,13.88,15.75,14.58,11.88,14.05,16.63,16.35,13.66,12.66
2034,15.59,14.23,14.12,13.23,12.08,16.81,16.22,10.73,13.35,12.94,16.97,11.12,14.86,12.26,14.72,17.02,14.33,16.20,15.00,12.27,14.50,17.12,16.70,14.12,13.09
2035,15.34,13.96,13.87,12.96,11.83,16.55,15.79,10.53,13.14,12.63,16.82,10.89,14.73,12.01,14.59,16.79,14.08,15.89,14.57,12.02,14.34,16.94,16.50,13.87,12.84
2036,15.37,14.07,13.93,13.15,11.83,16.59,15.85,10.44,12.99,12.57,16.79,10.81,14.61,12.00,14.45,16.87,14.15,15.94,14.63,11.94,14.26,16.89,16.40,13.93,12.87
2037,15.51,14.16,14.02,13.15,11.89,16.85,16.27,10.49,13.21,12.86,17.04,10.94,14.72,12.07,14.57,16.98,14.25,16.13,14.95,12.10,14.37,16.90,16.80,14.02,12.95
2038,15.29,14.06,13.94,13.04,11.80,16.44,15.99,10.46,13.07,12.63,16.71,10.81,14.64,11.98,14.50,16.60,14.15,15.85,14.72,11.97,14.29,16.74,16.52,13.94,12.86
2039,15.34,14.05,13.88,13.11,11.80,16.52,15.97,10.52,13.04,12.59,16.73,10.83,14.64,11.96,14.49,16.69,14.12,16.07,14.76,11.95,14.27,16.79,16.55,13.88,12.83
2040,15.46,14.07,13.92,13.17,11.92,16.72,16.09,10.53,13.17,12.71,16.82,10.89,14.72,12.08,14.58,17.00,14.14,16.08,14.85,12.09,14.34,16.90,16.55,13.92,12.91
2041,15.40,13.94,13.80,13.00,11.74,16.71,16.12,10.42,13.03,12.75,16.98,10.86,14.55,11.91,14.40,16.90,14.02,15.94,14.80,11.93,14.18,16.99,16.70,13.80,12.76
