Variable:,tasmin
,Zimbabwe,Bulawayo,Harare,Manicaland,"Mashonaland Central","Mashonaland West",Masvingo,"Matabeleland South",Midlands,"Matabeleland North","Mashonaland East"
2015,15.34,13.97,13.56,14.65,14.74,16.54,14.91,14.62,14.95,15.46,13.54
2016,15.20,13.83,13.42,14.72,14.58,16.31,14.75,14.47,14.74,15.21,13.49
2017,15.44,14.03,13.75,14.88,14.89,16.59,14.95,14.63,15.02,15.49,13.77
2018,15.38,13.99,13.62,14.81,14.82,16.56,14.91,14.60,14.95,15.42,13.67
2019,15.15,13.96,13.32,14.60,14.45,16.27,14.85,14.53,14.74,15.17,13.39
2020,15.67,14.49,13.67,15.15,14.88,16.69,15.41,15.14,15.25,15.77,13.85
2021,15.32,14.11,13.48,14.63,14.68,16.51,14.91,14.68,14.93,15.42,13.51
2022,15.51,14.24,13.71,14.91,14.90,16.69,15.05,14.84,15.12,15.59,13.73
2023,15.43,14.38,13.52,14.80,14.69,16.51,15.12,14.96,15.02,15.57,13.60
2024,15.33,14.04,13.48,14.74,14.65,16.44,14.97,14.68,14.96,15.37,13.53
2025,15.66,14.38,13.88,15.06,15.00,16.83,15.27,15.01,15.25,15.70,13.89
2026,15.79,14.66,13.92,15.25,15.03,16.90,15.54,15.29,15.41,15.85,14.00
2027,15.38,13.99,13.68,14.83,14.86,16.59,14.92,14.66,14.90,15.35,13.68
2028,15.65,14.13,13.83,15.14,14.98,16.82,15.19,14.82,15.25,15.81,13.90
2029,15.86,14.75,14.07,15.34,15.14,16.98,15.54,15.27,15.48,15.89,14.08
2030,15.82,14.74,13.98,15.21,15.08,16.97,15.47,15.24,15.47,15.92,13.99
2031,15.76,14.52,13.91,15.19,15.03,16.82,15.44,15.07,15.36,15.99,14.01
2032,15.64,14.50,13.77,15.05,14.92,16.73,15.34,15.12,15.24,15.73,13.83
2033,15.79,14.27,14.03,15.18,15.18,16.97,15.38,14.99,15.35,15.87,14.02
2034,15.54,14.34,13.75,14.97,14.89,16.65,15.13,14.94,15.12,15.66,13.79
2035,15.84,14.63,13.97,15.32,15.09,16.98,15.55,15.26,15.42,15.84,14.03
2036,15.89,14.59,14.03,15.32,15.20,17.04,15.54,15.21,15.55,15.92,14.08
2037,15.59,14.22,13.83,14.96,15.03,16.78,15.17,14.87,15.09,15.62,13.85
2038,15.72,14.40,13.94,15.25,15.07,16.82,15.36,15.08,15.28,15.68,14.00
2039,15.85,14.41,14.04,15.27,15.17,16.99,15.48,15.16,15.43,15.85,14.05
2040,15.79,14.54,13.95,15.21,15.15,16.93,15.48,15.20,15.38,15.82,14.02
2041,15.99,14.91,14.23,15.28,15.22,17.15,15.71,15.50,15.65,16.16,14.14
2042,15.76,14.55,13.84,15.17,14.97,16.85,15.39,15.12,15.39,15.94,13.92
2043,15.64,14.44,13.75,14.97,15.00,16.76,15.25,15.00,15.26,15.78,13.79
2044,15.58,14.64,13.68,14.85,14.76,16.64,15.33,15.23,15.25,15.83,13.70
2045,15.82,14.74,13.95,15.12,15.13,16.96,15.41,15.32,15.33,16.16,13.93
2046,15.97,14.66,14.25,15.46,15.40,17.09,15.54,15.25,15.48,15.99,14.24
2047,15.90,14.68,14.15,15.23,15.34,17.09,15.42,15.30,15.44,16.00,14.19
2048,15.88,14.60,14.02,15.37,15.15,16.98,15.59,15.23,15.46,15.91,14.07
2049,15.74,14.42,13.92,15.11,15.06,16.96,15.31,15.03,15.39,15.78,13.94
