Variable:,tasmin
,Bolivia,Pando,Beni,Chuquisaca,Cochabamba,"La Paz",Oruro,Potosi,"Santa Cruz",Tarija
2015,14.83,20.92,20.30,8.69,7.08,8.05,0.59,0.79,18.14,10.07
2016,14.72,20.87,20.22,8.55,6.97,7.95,0.36,0.55,18.02,9.87
2017,14.82,20.92,20.26,8.65,7.04,8.01,0.57,0.75,18.17,10.03
2018,14.77,20.84,20.21,8.58,7.04,8.07,0.65,0.78,18.07,9.88
2019,15.00,21.06,20.43,8.89,7.27,8.27,0.85,1.06,18.31,10.24
2020,14.98,21.10,20.42,8.88,7.24,8.22,0.83,1.00,18.25,10.22
2021,15.04,21.22,20.51,8.92,7.29,8.24,0.76,1.07,18.31,10.23
2022,15.04,21.06,20.47,8.90,7.28,8.23,0.88,1.04,18.36,10.26
2023,15.04,21.20,20.55,8.77,7.24,8.29,0.70,0.86,18.34,10.12
2024,15.16,21.32,20.57,9.00,7.38,8.38,0.99,1.18,18.48,10.29
2025,15.32,21.42,20.79,9.15,7.45,8.46,1.08,1.25,18.68,10.55
2026,15.29,21.36,20.71,9.08,7.43,8.41,0.97,1.18,18.72,10.38
2027,15.23,21.31,20.70,9.04,7.49,8.45,1.00,1.15,18.55,10.36
2028,15.25,21.29,20.72,9.12,7.50,8.49,1.06,1.18,18.56,10.38
2029,15.33,21.43,20.83,9.14,7.56,8.51,1.13,1.29,18.63,10.32
2030,15.20,21.29,20.66,9.04,7.41,8.38,1.06,1.22,18.52,10.36
2031,15.41,21.59,20.87,9.28,7.54,8.53,1.15,1.35,18.76,10.57
2032,15.30,21.39,20.82,9.15,7.44,8.50,0.96,1.15,18.64,10.44
2033,15.27,21.42,20.74,9.15,7.49,8.54,1.12,1.26,18.54,10.44
2034,15.36,21.54,20.87,9.16,7.49,8.51,1.08,1.23,18.69,10.43
2035,15.36,21.51,20.81,9.19,7.56,8.53,1.08,1.31,18.70,10.53
2036,15.45,21.59,20.92,9.29,7.73,8.74,1.25,1.45,18.72,10.54
2037,15.46,21.52,20.95,9.26,7.61,8.66,1.25,1.40,18.81,10.62
2038,15.43,21.52,20.91,9.32,7.63,8.60,1.20,1.42,18.73,10.70
2039,15.65,21.71,21.16,9.48,7.81,8.81,1.36,1.55,18.99,10.72
2040,15.40,21.51,20.90,9.20,7.62,8.57,1.05,1.24,18.73,10.53
2041,15.52,21.61,20.97,9.43,7.68,8.67,1.38,1.53,18.84,10.69
2042,15.54,21.63,21.06,9.37,7.78,8.77,1.31,1.47,18.82,10.65
2043,15.59,21.70,21.11,9.30,7.73,8.75,1.34,1.49,18.93,10.63
2044,15.52,21.58,20.98,9.34,7.70,8.71,1.33,1.45,18.89,10.63
2045,15.66,21.74,21.15,9.47,7.83,8.80,1.33,1.54,19.03,10.75
2046,15.81,21.99,21.35,9.69,7.91,8.95,1.49,1.67,19.12,10.97
2047,15.60,21.62,21.06,9.40,7.82,8.81,1.40,1.64,18.94,10.74
2048,15.69,21.84,21.18,9.46,7.85,8.84,1.41,1.60,19.03,10.79
2049,15.77,21.86,21.22,9.55,7.85,8.91,1.50,1.66,19.15,10.89
2050,15.88,21.93,21.43,9.65,8.06,9.04,1.59,1.71,19.22,10.91
2051,15.72,21.85,21.24,9.50,7.92,8.86,1.45,1.65,19.04,10.82
2052,15.63,21.74,21.17,9.38,7.82,8.78,1.38,1.53,18.94,10.62
2053,15.72,21.90,21.24,9.50,7.92,8.86,1.46,1.62,19.03,10.75
2054,15.55,21.64,21.06,9.34,7.78,8.71,1.35,1.50,18.86,10.64
2055,15.62,21.71,21.09,9.55,7.96,8.89,1.48,1.65,18.88,10.79
2056,15.77,21.87,21.30,9.54,7.99,9.00,1.64,1.69,19.06,10.81
2057,15.70,21.80,21.21,9.46,7.80,8.86,1.42,1.45,19.08,10.78
2058,15.75,21.79,21.21,9.61,7.96,8.93,1.49,1.68,19.10,10.86
2059,15.83,21.83,21.30,9.59,7.95,8.98,1.61,1.74,19.22,10.88
2060,15.81,21.90,21.30,9.50,7.89,8.91,1.60,1.71,19.17,10.78
2061,15.64,21.74,21.11,9.48,7.81,8.87,1.45,1.65,18.95,10.73
2062,15.70,21.78,21.22,9.46,7.80,8.79,1.36,1.62,19.05,10.80
2063,15.65,21.72,21.14,9.35,7.73,8.71,1.23,1.42,19.10,10.74
2064,15.83,21.85,21.34,9.61,8.03,8.97,1.61,1.75,19.19,10.86
2065,15.73,21.73,21.24,9.56,7.79,8.78,1.48,1.69,19.11,10.92
2066,15.82,21.94,21.31,9.59,7.96,8.99,1.48,1.70,19.19,10.87
2067,15.87,21.97,21.35,9.68,8.00,9.00,1.60,1.78,19.21,10.88
2068,15.72,21.86,21.25,9.49,7.90,8.95,1.51,1.63,18.99,10.74
2069,15.67,21.83,21.21,9.47,7.87,8.89,1.48,1.62,18.93,10.71
2070,15.81,21.96,21.39,9.56,7.93,8.97,1.48,1.61,19.13,10.86
2071,15.77,21.83,21.27,9.52,7.86,8.96,1.58,1.70,19.12,10.81
2072,15.75,21.75,21.19,9.57,7.85,8.83,1.54,1.73,19.17,10.81
2073,15.94,21.95,21.42,9.67,7.96,9.02,1.66,1.82,19.36,11.03
2074,15.82,21.93,21.31,9.51,7.95,8.97,1.48,1.66,19.21,10.78
2075,15.70,21.75,21.12,9.47,7.89,8.88,1.48,1.67,19.09,10.74
2076,15.74,21.82,21.24,9.50,7.77,8.87,1.51,1.64,19.09,10.77
2077,15.82,22.08,21.34,9.56,7.90,8.90,1.46,1.60,19.17,10.71
2078,15.81,21.96,21.32,9.51,7.91,8.93,1.52,1.61,19.18,10.75
2079,15.81,21.86,21.21,9.51,7.94,9.00,1.59,1.75,19.21,10.89
2080,15.78,21.80,21.21,9.56,7.81,8.84,1.42,1.58,19.25,10.97
2081,15.81,21.83,21.31,9.50,7.86,8.89,1.48,1.61,19.27,10.85
2082,16.00,22.00,21.55,9.73,8.14,9.09,1.63,1.79,19.40,10.97
2083,15.76,21.73,21.27,9.48,7.89,8.91,1.42,1.65,19.15,10.81
2084,15.76,21.87,21.30,9.41,7.94,8.94,1.36,1.53,19.13,10.68
2085,15.74,21.80,21.22,9.56,7.86,8.87,1.44,1.64,19.12,10.91
2086,15.87,21.90,21.27,9.64,8.02,9.03,1.54,1.68,19.33,10.89
2087,15.57,21.67,21.09,9.37,7.88,8.79,1.31,1.52,18.85,10.62
2088,15.66,21.59,21.17,9.42,7.84,8.86,1.50,1.64,18.99,10.66
2089,15.57,21.53,21.04,9.40,7.76,8.75,1.31,1.49,18.97,10.72
2090,15.66,21.73,21.12,9.44,7.84,8.80,1.37,1.56,19.04,10.73
2091,15.77,21.83,21.24,9.54,7.89,8.92,1.48,1.57,19.18,10.88
2092,15.59,21.63,21.00,9.41,7.81,8.83,1.46,1.53,18.96,10.74
2093,15.57,21.64,21.04,9.32,7.72,8.74,1.20,1.32,18.95,10.62
2094,15.74,21.72,21.24,9.40,7.92,8.88,1.30,1.47,19.21,10.68
2095,15.59,21.62,21.01,9.37,7.82,8.79,1.39,1.54,18.95,10.70
2096,15.64,21.58,21.12,9.41,7.68,8.72,1.31,1.52,19.05,10.75
2097,15.62,21.76,21.17,9.44,7.87,8.84,1.41,1.56,18.88,10.64
2098,15.71,21.89,21.29,9.41,7.89,8.85,1.38,1.50,19.03,10.64
2099,15.64,21.83,21.19,9.29,7.72,8.77,1.41,1.51,19.00,10.59
2100,15.65,21.64,21.11,9.42,7.80,8.84,1.49,1.60,19.01,10.76
