Variable:,tasmin
,Switzerland,Aargau,"Appenzell Ausser-rhoden","Appenzell Inner-rhoden",Basel-landschaft,Basel-stadt,Bern,Fribourg,Geneve,Glarus,Graubunden,Jura,Luzern,Neuchatel,Nidwalden,Obwalden,"Sankt Gallen",Schaffhausen,Schwyz,Solothurn,Thurgau,Ticino,Uri,Valais,Vaud,Zug,Zurich
2015,3.77,4.74,3.08,3.08,5.41,5.41,2.82,3.07,6.25,3.97,4.51,5.55,4.08,6.11,2.43,2.36,3.44,4.56,3.97,5.41,3.68,3.22,2.36,2.29,5.34,4.56,4.56
2016,3.16,4.13,2.35,2.35,4.85,4.85,2.23,2.50,5.72,3.32,3.94,5.00,3.47,5.59,1.78,1.71,2.74,3.94,3.35,4.85,2.99,2.59,1.71,1.71,4.80,3.94,3.94
2017,3.33,4.29,2.65,2.65,4.94,4.94,2.33,2.58,5.78,3.52,4.09,5.10,3.61,5.67,1.91,1.84,3.01,4.11,3.51,4.94,3.24,2.72,1.84,1.80,4.85,4.11,4.11
2018,3.50,4.44,2.79,2.79,5.12,5.12,2.47,2.67,5.87,3.74,4.36,5.27,3.77,5.79,2.17,2.10,3.17,4.26,3.69,5.12,3.38,2.98,2.10,1.92,4.95,4.26,4.26
2019,3.20,4.20,2.41,2.41,4.77,4.77,2.26,2.53,5.70,3.40,3.99,4.93,3.54,5.57,1.90,1.83,2.80,4.05,3.46,4.77,3.07,2.70,1.83,1.76,4.80,4.05,4.05
2020,3.50,4.44,2.84,2.84,5.08,5.08,2.46,2.68,5.86,3.69,4.24,5.24,3.76,5.79,2.09,2.02,3.19,4.27,3.67,5.08,3.42,2.89,2.02,1.91,4.95,4.27,4.27
2021,3.55,4.54,2.83,2.83,5.16,5.16,2.55,2.79,6.01,3.73,4.28,5.33,3.86,5.92,2.18,2.11,3.20,4.38,3.78,5.16,3.45,2.97,2.11,2.01,5.08,4.38,4.38
2022,3.32,4.24,2.64,2.64,4.90,4.90,2.32,2.61,5.83,3.51,4.09,5.07,3.57,5.70,1.90,1.83,3.00,4.06,3.47,4.90,3.21,2.72,1.83,1.82,4.91,4.06,4.06
2023,3.70,4.66,3.02,3.02,5.32,5.32,2.65,2.87,6.09,3.90,4.48,5.47,3.97,6.00,2.30,2.23,3.38,4.48,3.88,5.32,3.61,3.11,2.23,2.10,5.17,4.48,4.48
2024,3.46,4.36,2.80,2.80,4.98,4.98,2.38,2.57,5.71,3.72,4.38,5.15,3.69,5.67,2.09,2.02,3.17,4.20,3.62,4.98,3.36,2.91,2.02,1.84,4.79,4.20,4.20
2025,3.83,4.79,3.12,3.12,5.44,5.44,2.87,3.12,6.28,4.03,4.62,5.58,4.13,6.14,2.50,2.43,3.49,4.61,4.03,5.44,3.72,3.29,2.43,2.35,5.37,4.61,4.61
2026,3.64,4.52,2.93,2.93,5.27,5.27,2.65,2.89,6.08,3.82,4.43,5.43,3.87,5.98,2.22,2.15,3.29,4.32,3.74,5.27,3.49,3.03,2.15,2.11,5.16,4.32,4.32
2027,3.54,4.51,2.84,2.84,5.17,5.17,2.51,2.73,5.93,3.74,4.31,5.33,3.82,5.86,2.14,2.07,3.21,4.33,3.73,5.17,3.44,2.95,2.07,1.97,5.01,4.33,4.33
2028,3.68,4.62,3.01,3.01,5.23,5.23,2.64,2.90,6.14,3.92,4.53,5.38,3.95,5.99,2.32,2.25,3.38,4.46,3.87,5.23,3.59,3.14,2.25,2.13,5.21,4.46,4.46
2029,3.67,4.62,2.93,2.93,5.28,5.28,2.68,2.94,6.16,3.88,4.49,5.44,3.95,6.03,2.33,2.26,3.31,4.44,3.86,5.28,3.54,3.14,2.26,2.16,5.24,4.44,4.44
2030,3.78,4.67,3.11,3.11,5.29,5.29,2.77,3.05,6.25,4.00,4.61,5.46,4.02,6.11,2.45,2.38,3.47,4.50,3.94,5.29,3.67,3.25,2.38,2.28,5.33,4.50,4.50
