Variable:,tasmin
,"Cook Islands","Administrative unit not available"
2015,22.32,22.72
2016,22.36,22.73
2017,22.30,22.69
2018,22.19,22.57
2019,22.42,22.79
2020,22.31,22.68
2021,22.43,22.77
2022,22.42,22.81
2023,22.47,22.87
2024,22.58,22.97
2025,22.61,23.00
2026,22.53,22.93
2027,22.57,22.96
2028,22.52,22.90
2029,22.51,22.91
2030,22.66,23.04
2031,22.71,23.09
2032,22.61,23.00
2033,22.52,22.94
2034,22.67,23.03
2035,22.82,23.19
2036,22.67,23.06
2037,22.74,23.12
2038,22.70,23.07
2039,22.84,23.21
2040,22.81,23.22
2041,22.70,23.09
2042,22.69,23.10
2043,22.72,23.08
2044,22.81,23.22
2045,22.79,23.14
2046,22.72,23.10
2047,22.85,23.23
2048,22.82,23.22
2049,22.85,23.23
2050,22.51,22.92
2051,22.81,23.21
2052,22.88,23.26
2053,22.83,23.22
2054,22.79,23.19
2055,22.84,23.21
2056,22.80,23.19
2057,22.85,23.25
2058,22.82,23.21
2059,22.75,23.17
2060,22.94,23.32
2061,22.85,23.24
2062,22.82,23.22
2063,22.76,23.15
2064,22.93,23.31
2065,22.76,23.16
2066,22.76,23.17
2067,22.79,23.23
2068,22.84,23.25
2069,23.00,23.38
2070,22.90,23.29
2071,22.93,23.32
2072,22.79,23.22
2073,22.78,23.17
2074,22.82,23.21
2075,22.80,23.19
2076,22.78,23.17
2077,22.76,23.17
2078,22.78,23.15
2079,22.90,23.26
2080,22.82,23.22
2081,22.70,23.12
2082,22.82,23.20
2083,22.87,23.26
2084,22.88,23.25
2085,22.70,23.09
2086,22.63,23.04
2087,22.83,23.20
2088,22.94,23.31
2089,22.90,23.29
2090,22.64,23.05
2091,22.85,23.24
2092,22.81,23.22
2093,22.84,23.23
2094,22.81,23.20
2095,22.87,23.28
2096,22.89,23.26
2097,22.75,23.14
2098,22.79,23.19
2099,22.83,23.19
2100,22.77,23.17
