Variable:,tasmin
,Djibouti,"Ali Sabieh",Dikhil,Djibouti,Obock,Tadjourah
2015,23.14,22.66,22.19,22.90,23.28,22.55
2016,23.21,22.65,22.14,22.90,23.39,22.58
2017,23.12,22.60,22.10,22.85,23.28,22.52
2018,23.35,22.88,22.40,23.10,23.49,22.79
2019,23.44,22.89,22.41,23.14,23.61,22.83
2020,23.40,22.83,22.31,23.09,23.59,22.77
2021,23.47,22.99,22.51,23.22,23.62,22.89
2022,23.44,22.84,22.38,23.06,23.65,22.84
2023,23.37,22.88,22.39,23.12,23.51,22.78
2024,23.56,23.06,22.58,23.30,23.71,22.95
2025,23.55,22.98,22.48,23.23,23.73,22.95
2026,23.59,23.13,22.64,23.34,23.73,23.03
2027,23.56,23.11,22.63,23.34,23.70,23.01
2028,23.65,23.18,22.70,23.42,23.79,23.07
2029,23.64,23.13,22.65,23.36,23.80,23.05
2030,23.62,23.11,22.60,23.36,23.78,23.02
2031,23.77,23.27,22.79,23.50,23.93,23.21
2032,23.79,23.27,22.79,23.49,23.97,23.21
2033,23.71,23.22,22.73,23.45,23.86,23.13
2034,23.88,23.42,22.92,23.65,24.02,23.31
2035,23.70,23.21,22.72,23.45,23.84,23.11
2036,23.88,23.42,22.95,23.62,24.02,23.35
2037,23.94,23.50,23.03,23.71,24.06,23.42
2038,24.01,23.54,23.09,23.75,24.17,23.43
2039,24.02,23.58,23.14,23.78,24.15,23.50
2040,23.75,23.24,22.76,23.50,23.89,23.15
2041,23.79,23.28,22.77,23.52,23.96,23.18
2042,24.06,23.61,23.13,23.84,24.19,23.50
2043,23.94,23.45,22.95,23.70,24.09,23.36
2044,23.91,23.43,22.94,23.69,24.04,23.30
2045,23.90,23.38,22.91,23.61,24.07,23.29
2046,24.16,23.62,23.16,23.85,24.33,23.55
2047,23.92,23.45,22.96,23.68,24.06,23.35
2048,24.13,23.60,23.13,23.83,24.30,23.56
2049,24.15,23.70,23.23,23.91,24.27,23.60
2050,24.10,23.64,23.18,23.86,24.23,23.53
2051,24.15,23.68,23.14,23.93,24.29,23.58
2052,24.04,23.51,23.01,23.75,24.21,23.46
2053,23.89,23.36,22.88,23.61,24.05,23.29
2054,24.04,23.56,23.07,23.78,24.19,23.46
2055,24.00,23.54,23.09,23.74,24.13,23.48
2056,23.98,23.53,23.07,23.76,24.11,23.42
2057,24.00,23.51,23.03,23.73,24.16,23.44
2058,24.14,23.69,23.21,23.93,24.27,23.52
2059,24.18,23.72,23.27,23.95,24.32,23.60
2060,24.20,23.72,23.20,23.98,24.34,23.61
2061,24.09,23.61,23.14,23.81,24.25,23.55
2062,24.16,23.70,23.23,23.91,24.31,23.60
2063,24.08,23.65,23.19,23.84,24.21,23.57
2064,24.04,23.67,23.19,23.88,24.13,23.51
2065,24.12,23.63,23.14,23.87,24.27,23.56
2066,24.25,23.78,23.29,24.02,24.38,23.67
2067,24.20,23.60,23.10,23.86,24.40,23.58
2068,23.99,23.45,22.96,23.70,24.16,23.38
2069,24.33,23.80,23.35,24.03,24.50,23.75
2070,24.25,23.79,23.32,24.02,24.38,23.69
2071,24.15,23.66,23.20,23.86,24.30,23.60
2072,24.05,23.52,23.07,23.75,24.22,23.47
2073,24.27,23.82,23.33,24.04,24.40,23.74
2074,24.04,23.55,23.06,23.78,24.19,23.47
2075,24.05,23.59,23.11,23.83,24.18,23.49
2076,24.15,23.63,23.11,23.88,24.32,23.51
2077,24.13,23.61,23.13,23.84,24.30,23.55
2078,24.14,23.62,23.14,23.86,24.30,23.53
2079,24.09,23.64,23.14,23.88,24.22,23.50
2080,24.03,23.54,23.05,23.77,24.17,23.47
2081,24.13,23.70,23.25,23.91,24.24,23.59
2082,24.15,23.72,23.26,23.94,24.28,23.61
2083,24.05,23.56,23.10,23.78,24.21,23.48
2084,24.21,23.80,23.32,24.01,24.32,23.70
2085,24.13,23.64,23.12,23.87,24.28,23.55
2086,24.16,23.66,23.20,23.87,24.32,23.63
2087,23.95,23.43,22.99,23.65,24.12,23.37
2088,24.30,23.76,23.26,24.02,24.47,23.68
2089,23.99,23.53,23.05,23.75,24.13,23.43
2090,23.93,23.56,23.09,23.79,24.01,23.37
2091,24.21,23.67,23.18,23.91,24.39,23.57
2092,24.18,23.75,23.27,23.98,24.30,23.64
2093,24.00,23.57,23.05,23.81,24.11,23.41
2094,24.09,23.47,23.03,23.71,24.31,23.46
2095,24.05,23.64,23.13,23.89,24.16,23.48
2096,24.03,23.59,23.07,23.82,24.16,23.45
2097,24.02,23.56,23.01,23.82,24.15,23.44
2098,24.03,23.61,23.13,23.82,24.15,23.47
2099,24.18,23.73,23.28,23.95,24.31,23.64
2100,24.02,23.67,23.17,23.87,24.11,23.51
