Variable:,tasmin
,Jordan,Ajloon,Balqa,Aqaba,Karak,Amman,Tafiela,Irbid,Jarash,Ma'an,Madaba,Mafraq,Zarqa
2015,12.72,14.59,14.75,14.67,14.38,12.82,14.52,14.44,14.59,13.23,14.98,12.45,12.77
2016,12.82,14.88,14.96,14.71,14.47,12.85,14.65,14.72,14.88,13.30,15.09,12.58,12.85
2017,12.81,14.70,14.88,14.79,14.53,12.92,14.73,14.55,14.70,13.32,15.15,12.56,12.89
2018,12.87,14.73,14.89,14.80,14.54,12.97,14.73,14.59,14.73,13.37,15.14,12.63,12.94
2019,12.91,14.73,14.90,14.84,14.55,12.95,14.71,14.59,14.73,13.40,15.16,12.68,12.98
2020,12.92,14.83,15.02,14.82,14.67,13.02,14.76,14.67,14.83,13.43,15.31,12.68,12.98
2021,13.00,14.88,15.02,14.93,14.63,13.07,14.82,14.73,14.88,13.48,15.23,12.77,13.04
2022,13.00,14.91,15.05,14.86,14.64,13.08,14.75,14.76,14.91,13.43,15.25,12.80,13.07
2023,13.15,14.99,15.15,15.09,14.80,13.20,15.04,14.85,14.99,13.68,15.40,12.88,13.20
2024,13.12,14.90,15.09,15.07,14.78,13.22,15.00,14.76,14.90,13.67,15.37,12.84,13.18
2025,13.28,15.09,15.29,15.13,14.96,13.34,15.08,14.96,15.09,13.72,15.60,13.07,13.35
2026,13.23,15.08,15.22,15.06,14.82,13.26,14.94,14.93,15.08,13.71,15.42,13.01,13.28
2027,13.18,15.05,15.23,15.16,14.87,13.26,15.02,14.90,15.05,13.67,15.49,12.93,13.23
2028,13.34,15.16,15.30,15.24,14.93,13.37,15.15,15.02,15.16,13.86,15.51,13.09,13.37
2029,13.18,15.03,15.20,15.14,14.84,13.24,15.02,14.89,15.03,13.69,15.45,12.94,13.25
2030,13.41,15.19,15.33,15.22,14.95,13.41,15.06,15.04,15.19,13.86,15.55,13.21,13.45
2031,13.44,15.23,15.35,15.41,14.97,13.46,15.26,15.09,15.23,13.93,15.54,13.21,13.47
2032,13.33,15.18,15.38,15.24,15.05,13.43,15.18,15.03,15.18,13.82,15.67,13.10,13.38
2033,13.44,15.25,15.42,15.35,15.08,13.48,15.29,15.10,15.25,13.93,15.68,13.21,13.50
2034,13.38,15.22,15.42,15.41,15.13,13.53,15.32,15.07,15.22,13.97,15.73,13.06,13.47
2035,13.50,15.22,15.41,15.41,15.11,13.57,15.29,15.08,15.22,14.03,15.69,13.24,13.57
2036,13.56,15.34,15.53,15.52,15.23,13.70,15.39,15.20,15.34,14.08,15.82,13.27,13.66
2037,13.51,15.22,15.43,15.42,15.13,13.52,15.34,15.09,15.22,14.00,15.74,13.27,13.53
2038,13.44,15.09,15.33,15.42,15.11,13.56,15.34,14.95,15.09,13.98,15.70,13.15,13.49
2039,13.40,15.19,15.35,15.34,14.99,13.43,15.15,15.04,15.19,13.89,15.59,13.18,13.44
2040,13.57,15.32,15.52,15.48,15.21,13.62,15.37,15.18,15.32,14.09,15.81,13.30,13.60
2041,13.47,15.35,15.53,15.41,15.17,13.56,15.25,15.20,15.35,13.96,15.80,13.23,13.52
2042,13.46,15.11,15.31,15.37,15.02,13.47,15.23,14.98,15.11,13.92,15.61,13.27,13.49
2043,13.47,15.28,15.46,15.41,15.11,13.50,15.30,15.13,15.28,13.98,15.72,13.20,13.51
2044,13.32,15.22,15.36,15.29,14.96,13.37,15.11,15.07,15.22,13.83,15.57,13.06,13.36
2045,13.63,15.43,15.62,15.60,15.30,13.69,15.55,15.28,15.43,14.20,15.91,13.36,13.66
2046,13.82,15.44,15.60,15.72,15.30,13.81,15.58,15.31,15.44,14.29,15.85,13.60,13.85
2047,13.61,15.40,15.55,15.61,15.21,13.65,15.51,15.25,15.40,14.15,15.78,13.34,13.66
2048,13.58,15.33,15.50,15.58,15.17,13.60,15.44,15.19,15.33,14.11,15.75,13.33,13.62
2049,13.75,15.56,15.73,15.71,15.39,13.80,15.63,15.41,15.56,14.26,15.98,13.49,13.79
2050,13.72,15.46,15.68,15.66,15.39,13.80,15.55,15.32,15.46,14.22,16.00,13.45,13.78
2051,13.64,15.44,15.62,15.59,15.28,13.71,15.43,15.30,15.44,14.13,15.89,13.39,13.69
2052,13.88,15.64,15.81,15.75,15.45,13.88,15.60,15.50,15.64,14.35,16.06,13.69,13.89
2053,13.57,15.39,15.55,15.46,15.18,13.58,15.35,15.25,15.39,14.05,15.79,13.37,13.61
2054,13.82,15.62,15.80,15.78,15.46,13.88,15.65,15.48,15.62,14.34,16.06,13.57,13.88
2055,13.81,15.48,15.68,15.76,15.40,13.84,15.62,15.35,15.48,14.34,15.98,13.56,13.85
2056,13.73,15.57,15.74,15.72,15.38,13.75,15.58,15.43,15.57,14.23,16.00,13.49,13.76
2057,13.83,15.50,15.69,15.68,15.38,13.83,15.57,15.36,15.50,14.33,15.97,13.60,13.86
2058,13.75,15.68,15.83,15.74,15.45,13.87,15.63,15.52,15.68,14.29,16.05,13.47,13.83
2059,13.67,15.44,15.65,15.65,15.36,13.76,15.60,15.30,15.44,14.24,15.96,13.37,13.74
2060,13.88,15.75,15.91,15.86,15.54,13.97,15.73,15.60,15.75,14.39,16.14,13.64,13.96
2061,13.76,15.59,15.73,15.73,15.36,13.83,15.60,15.44,15.59,14.28,15.94,13.52,13.81
2062,13.97,15.71,15.88,15.79,15.55,14.00,15.73,15.57,15.71,14.44,16.14,13.76,14.01
2063,13.86,15.41,15.62,15.80,15.38,13.88,15.59,15.27,15.41,14.42,15.94,13.62,13.90
2064,13.87,15.58,15.78,15.82,15.50,13.93,15.74,15.44,15.58,14.41,16.09,13.61,13.91
2065,13.65,15.29,15.49,15.60,15.22,13.71,15.43,15.15,15.29,14.20,15.78,13.40,13.67
