Variable:,tasmin
,Kenya,Central,Coast,Eastern,Nairobi,"North Eastern",Nyanza,"Rift Valley",Western
2015,19.35,12.33,20.79,18.62,16.52,22.33,16.49,15.77,16.78
2016,19.38,12.31,20.78,18.63,16.40,22.42,16.42,15.74,16.81
2017,19.29,12.18,20.77,18.55,16.37,22.33,16.36,15.62,16.66
2018,19.48,12.41,20.93,18.74,16.56,22.50,16.52,15.83,16.88
2019,19.48,12.38,20.90,18.76,16.60,22.46,16.63,15.88,16.98
2020,19.52,12.52,20.95,18.79,16.71,22.54,16.57,15.91,16.91
2021,19.48,12.32,20.93,18.70,16.51,22.53,16.54,15.83,16.88
2022,19.53,12.51,20.93,18.78,16.64,22.55,16.68,15.90,17.01
2023,19.59,12.48,21.03,18.82,16.59,22.65,16.60,15.94,16.96
2024,19.71,12.68,21.18,18.93,16.76,22.73,16.80,16.11,17.17
2025,19.77,12.77,21.20,19.05,16.84,22.78,16.73,16.14,17.14
2026,19.70,12.68,21.09,18.93,16.87,22.69,16.76,16.15,17.18
2027,19.63,12.53,21.00,18.89,16.64,22.69,16.57,15.96,17.00
2028,19.79,12.74,21.20,19.06,16.94,22.78,16.89,16.20,17.22
2029,19.83,12.78,21.22,19.10,16.97,22.81,16.96,16.26,17.31
2030,19.70,12.66,21.16,18.96,16.91,22.70,16.88,16.10,17.21
2031,19.79,12.79,21.19,19.05,16.92,22.78,16.98,16.20,17.32
2032,19.79,12.65,21.17,19.05,16.84,22.86,16.81,16.13,17.15
2033,19.88,12.85,21.28,19.18,17.10,22.78,16.90,16.33,17.32
2034,19.76,12.57,21.16,19.00,16.83,22.82,16.86,16.12,17.22
2035,19.86,12.84,21.30,19.13,17.08,22.89,16.97,16.25,17.29
2036,19.91,12.86,21.32,19.14,17.03,22.94,17.01,16.31,17.41
2037,19.92,12.93,21.38,19.17,17.10,22.94,17.01,16.27,17.30
2038,19.93,12.80,21.30,19.19,16.96,22.96,17.02,16.31,17.41
2039,20.00,12.99,21.38,19.26,17.19,22.95,17.11,16.46,17.51
2040,19.88,12.72,21.27,19.15,16.94,22.94,16.98,16.23,17.32
2041,19.93,12.88,21.30,19.18,17.11,22.97,17.05,16.32,17.38
2042,20.12,13.03,21.49,19.35,17.26,23.16,17.19,16.50,17.61
2043,20.06,12.98,21.46,19.31,17.11,23.06,17.14,16.48,17.51
2044,19.93,12.86,21.38,19.20,17.04,22.98,16.95,16.28,17.30
2045,20.06,13.08,21.48,19.33,17.25,23.02,17.09,16.51,17.49
2046,20.09,12.99,21.51,19.35,17.18,23.10,17.11,16.49,17.45
2047,20.03,12.86,21.43,19.30,17.02,23.08,17.10,16.35,17.42
2048,20.01,12.98,21.37,19.28,17.10,22.99,17.13,16.44,17.56
2049,20.07,13.05,21.43,19.32,17.23,23.05,17.27,16.52,17.55
2050,20.20,13.12,21.57,19.46,17.29,23.22,17.24,16.59,17.63
2051,20.11,13.00,21.56,19.36,17.23,23.18,17.17,16.45,17.49
2052,20.04,12.96,21.44,19.30,17.11,23.06,17.09,16.41,17.52
2053,20.03,13.01,21.42,19.30,17.14,23.00,17.11,16.44,17.52
2054,20.07,12.96,21.45,19.37,17.17,23.12,17.07,16.39,17.42
2055,20.07,12.97,21.47,19.33,17.10,23.07,17.01,16.44,17.53
2056,20.07,12.98,21.47,19.32,17.08,23.08,17.09,16.44,17.54
2057,20.11,12.99,21.43,19.40,17.12,23.14,17.19,16.48,17.56
2058,20.24,13.13,21.60,19.53,17.36,23.30,17.28,16.55,17.64
2059,20.14,13.03,21.56,19.37,17.23,23.15,17.25,16.54,17.57
2060,20.17,13.11,21.56,19.43,17.23,23.16,17.18,16.58,17.55
2061,20.03,13.00,21.43,19.31,17.25,23.04,17.17,16.41,17.56
2062,20.10,13.10,21.47,19.40,17.20,23.11,17.15,16.49,17.48
2063,20.03,12.95,21.46,19.31,17.19,23.03,17.23,16.39,17.55
2064,20.08,13.00,21.51,19.34,17.16,23.09,17.15,16.43,17.69
2065,20.03,12.96,21.46,19.30,17.07,23.07,17.06,16.36,17.51
2066,20.11,12.96,21.53,19.36,17.16,23.12,17.08,16.47,17.45
2067,20.18,13.06,21.53,19.47,17.23,23.20,17.21,16.54,17.63
2068,20.19,13.03,21.57,19.45,17.20,23.23,17.20,16.53,17.61
2069,20.16,13.07,21.45,19.46,17.19,23.20,17.19,16.51,17.56
2070,20.21,13.15,21.59,19.48,17.29,23.16,17.13,16.62,17.61
2071,20.17,12.98,21.59,19.46,17.21,23.30,17.09,16.42,17.50
2072,20.07,12.85,21.47,19.34,16.99,23.16,17.02,16.37,17.46
2073,20.15,13.10,21.57,19.41,17.28,23.19,17.21,16.54,17.58
2074,20.08,13.01,21.52,19.31,17.18,23.10,17.29,16.49,17.66
2075,20.17,13.12,21.51,19.46,17.30,23.19,17.25,16.55,17.56
2076,20.11,12.97,21.50,19.35,17.18,23.11,17.17,16.51,17.56
2077,20.20,13.00,21.56,19.47,17.16,23.25,17.21,16.52,17.56
2078,20.16,13.08,21.53,19.41,17.31,23.16,17.33,16.60,17.71
2079,20.10,13.05,21.62,19.31,17.25,23.13,17.29,16.47,17.59
2080,20.01,12.88,21.39,19.27,17.01,23.05,17.09,16.35,17.57
2081,20.05,12.84,21.43,19.27,17.02,23.09,17.08,16.44,17.56
2082,20.18,13.00,21.55,19.42,17.26,23.19,17.26,16.62,17.65
2083,20.09,12.95,21.53,19.34,17.18,23.16,17.06,16.39,17.50
2084,20.08,13.01,21.50,19.33,17.17,23.14,17.13,16.44,17.48
2085,19.92,12.72,21.33,19.17,16.94,22.98,17.09,16.27,17.44
2086,20.07,13.03,21.51,19.34,17.23,23.00,17.19,16.53,17.55
2087,20.08,13.04,21.48,19.35,17.16,23.10,17.06,16.45,17.36
2088,20.03,12.76,21.47,19.32,16.98,23.13,16.98,16.22,17.31
2089,19.89,12.73,21.33,19.15,16.86,22.94,16.98,16.19,17.30
2090,20.07,12.92,21.46,19.36,17.05,23.13,17.03,16.39,17.46
